gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
g16981,0,44,39,40,38,5,5,7,6,22,25
g16980,2,4,0,4,2,0,2,0,0,1,2
g16983,0,0,0,0,0,1,0,0,0,0,0
adi2mcaRNA10886_R1,4,0,5,12,14,4,7,6,5,26,27
g16985,2,2,2,1,1,0,1,1,1,4,4
g16984,2,3,4,6,4,1,2,0,1,0,1
g16987,0,0,0,0,0,0,0,1,0,0,0
g16986,0,0,0,0,0,0,0,0,0,0,0
g16989,1,0,0,1,1,1,1,1,0,0,0
g16988,10,25,29,47,50,18,8,8,30,136,130
adi2mcaRNA17502_R0,449,1020,1011,1009,1001,502,350,250,426,1295,1293
g47168,71,107,108,114,117,44,49,34,60,137,149
g21716,174,421,407,763,752,130,258,273,162,484,476
g21717,6,18,18,0,0,4,2,0,5,21,25
g21714,54,123,123,194,194,39,59,54,28,108,110
g21715,0,0,0,0,0,0,0,0,4,0,0
g51269,1,0,0,0,0,0,1,1,1,0,1
g21713,132,424,438,407,405,132,175,151,135,420,437
g21710,143,357,353,657,618,149,204,180,121,707,697
g21711,1,0,0,0,0,1,1,1,1,4,4
adi2mcaRNA14205_R5,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA14205_R4,0,0,0,0,0,0,0,1,0,0,0
adi2mcaRNA14205_R6,0,0,0,0,0,0,0,0,0,0,0
adi2mcaRNA14205_R3,1,0,0,11,0,0,0,2,0,0,0
g66605,0,0,0,0,0,0,0,0,0,0,0
g53688,1,0,0,1,0,0,0,0,0,0,0
adi2mcaRNA13045_R0,108,232,242,284,298,80,105,79,70,209,218
