Species,Shared GO terms
A.cervicornis + M.cavernosa + M.capitata,positive regulation of skeletal muscle tissue development (GO:0048643)
M.capitata + M.cavernosa + P.acuta,riboflavin transport (GO:0032218)
M.capitata + P.acuta + P.lobata,Microtubule-based process (GO:0007017)
A.cervicornis + M.cavernosa ,cellular response to exogenous dsRNA (GO:0071360); cellular response to platelet-derived growth factor stimulus (GO:0036120); diadenosine tetraphosphate biosynthetic process (GO:0015966); negative regulation of chondrocyte proliferation (GO:1902731); negative regulation of histone H4-K16 acetylation (GO:2000619); ovarian cumulus expansion (GO:0001550); plasma membrane raft assembly (GO:0044854); positive regulation of cell junction assembly (GO:1901890); positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043); regulation of neurotransmitter uptake (GO:0051580); regulation of Rho protein signal transduction (GO:0035023)
A.cervicornis + O.faveolata,chondrocyte development (GO:0002063); positive regulation of signal transduction (GO:0009967)
A.cervicornis + M.capitata,positive regulation of adipose tissue development (GO:1904179)
A.cervicornis + P.acuta,cellular response to starvation (GO:0009267); maintenance of gastrointestinal epithelium (GO:0030277); mesenchymal stem cell maintenance involved in nephron morphogenesis (GO:0072038); Mo-molybdopterin cofactor biosynthetic process (GO:0006777); Wnt receptor signaling pathway (GO:0016055)
A.cervicornis + P.lobata,DNA methylation-dependent heterochromatin assembly (GO:0006346); positive regulation of transcription by RNA polymerase II (GO:0045944)
M.capitata + M.cavernosa,negative regulation of mitochondrial membrane potential (GO:0010917); positive regulation of neuron projection development (GO:0010976); retina development in camera-type eye (GO:0060041); ventricular compact myocardium morphogenesis (GO:0003223)
M.cavernosa + P.acuta,anterior head development (GO:0097065); ectoderm development (GO:0007398)
M.cavernosa + P.lobata,regulation of cell junction assembly (GO:1901888); regulation of protein serine/threonine kinase activity (GO:0071900); somatic muscle development (GO:0007525)
O.faveolata + P.acuta,response to stimulus (GO:0050896)
M.capitata + P.acuta,angiotensin-activated signaling pathway (GO:0038166); blue light signaling pathway (GO:0009785); carbon dioxide transport (GO:0015670); cellular response to retinoic acid (GO:0071300); embryonic hindlimb morphogenesis (GO:0035116); heterophilic cell adhesion (GO:0007157); positive regulation of bone resorption (GO:0045780); positive regulation of cellular pH reduction (GO:0032849); positive regulation of dipeptide transmembrane transport (GO:2001150); positive regulation of mitochondrial membrane permeability (GO:0035794); positive regulation of osteoclast differentiation (GO:0045672); positive regulation of transcription factor activity (GO:0051091); negative regulation of glucocorticoid secretion (GO:2000850); oxidation reduction (GO:0055114); regulation of chloride transport (GO:2001225); response to activity (GO:0014823); response to glucagon stimulus (GO:0033762); response to pain (GO:0048265); response to pH (GO:0009268); secretion (GO:0046903)
P.acuta + P.lobata,canonical Wnt signaling pathway involved in neural crest cell differentiation (GO:0044335); cellular hypotonic response (GO:0071476); embryonic axis specification (GO:0000578); embryonic organ development (GO:0048568); endocardial cushion development (GO:0003197); eye development (GO:0001654); negative regulation of cardiac cell fate specification (GO:2000044); neural crest cell fate specification (GO:0014036); neural plate anterior/posterior regionalization (GO:0021999); regulation of circadian rhythm (GO:0042752); Spemann organizer formation (GO:0060061)
