gene_id,10_2.fastq.trim.fq.bam.merge.gtf,11_1.fastq.trim.fq.bam.merge.gtf,11_2.fastq.trim.fq.bam.merge.gtf,12_1.fastq.trim.fq.bam.merge.gtf,13_1.fastq.trim.fq.bam.merge.gtf,13_2.fastq.trim.fq.bam.merge.gtf,14_1.fastq.trim.fq.bam.merge.gtf,14_2.fastq.trim.fq.bam.merge.gtf,15_2.fastq.trim.fq.bam.merge.gtf,16_2.fastq.trim.fq.bam.merge.gtf,17_1.fastq.trim.fq.bam.merge.gtf,18_1.fastq.trim.fq.bam.merge.gtf,19_2.fastq.trim.fq.bam.merge.gtf,1_2.fastq.trim.fq.bam.merge.gtf,20_2.fastq.trim.fq.bam.merge.gtf,21_1.fastq.trim.fq.bam.merge.gtf,22_1.fastq.trim.fq.bam.merge.gtf,23_1.fastq.trim.fq.bam.merge.gtf,24_1.fastq.trim.fq.bam.merge.gtf,25_1.fastq.trim.fq.bam.merge.gtf,25_2.fastq.trim.fq.bam.merge.gtf,26_1.fastq.trim.fq.bam.merge.gtf,26_2.fastq.trim.fq.bam.merge.gtf,27_1.fastq.trim.fq.bam.merge.gtf,28_2.fastq.trim.fq.bam.merge.gtf,29_1.fastq.trim.fq.bam.merge.gtf,2_2.fastq.trim.fq.bam.merge.gtf,30_1.fastq.trim.fq.bam.merge.gtf,31_2.fastq.trim.fq.bam.merge.gtf,32_1.fastq.trim.fq.bam.merge.gtf,32_2.fastq.trim.fq.bam.merge.gtf,33_1.fastq.trim.fq.bam.merge.gtf,34_1.fastq.trim.fq.bam.merge.gtf,35_2.fastq.trim.fq.bam.merge.gtf,36_2.fastq.trim.fq.bam.merge.gtf,37_1.fastq.trim.fq.bam.merge.gtf,37_2.fastq.trim.fq.bam.merge.gtf,38_2.fastq.trim.fq.bam.merge.gtf,39_1.fastq.trim.fq.bam.merge.gtf,39_2.fastq.trim.fq.bam.merge.gtf,3_1.fastq.trim.fq.bam.merge.gtf,3_2.fastq.trim.fq.bam.merge.gtf,40_2.fastq.trim.fq.bam.merge.gtf,41_1.fastq.trim.fq.bam.merge.gtf,41_2.fastq.trim.fq.bam.merge.gtf,42_2.fastq.trim.fq.bam.merge.gtf,43_1.fastq.trim.fq.bam.merge.gtf,43_2.fastq.trim.fq.bam.merge.gtf,44_1.fastq.trim.fq.bam.merge.gtf,45_1.fastq.trim.fq.bam.merge.gtf,45_2.fastq.trim.fq.bam.merge.gtf,46_1.fastq.trim.fq.bam.merge.gtf,47_2.fastq.trim.fq.bam.merge.gtf,48_2.fastq.trim.fq.bam.merge.gtf,4_1.fastq.trim.fq.bam.merge.gtf,4_2.fastq.trim.fq.bam.merge.gtf,5_1.fastq.trim.fq.bam.merge.gtf,5_2.fastq.trim.fq.bam.merge.gtf,6_1.fastq.trim.fq.bam.merge.gtf,6_2.fastq.trim.fq.bam.merge.gtf,7_1.fastq.trim.fq.bam.merge.gtf,8_1.fastq.trim.fq.bam.merge.gtf,9_1.fastq.trim.fq.bam.merge.gtf,9_2.fastq.trim.fq.bam.merge.gtf
gene-LOC113681620|LOC113681620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC113685706|LOC113685706,0,65,66,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,28,0,33,0,0,0,0,0,0,43,29,0,0,45,104,89,0,0,0,76,67,37,0,0,0,0,0,0,36,0,57,54,0,0,0,0,0,0,0,0
gene-LOC113668116|LOC113668116,0,1215,1132,0,0,0,0,5,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,379,0,340,0,0,0,0,0,0,646,377,0,0,464,1122,1089,0,0,0,1134,1038,624,0,0,0,0,0,0,319,0,711,700,0,0,0,0,0,0,0,0
gene-LOC113682628|LOC113682628,0,333,299,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,135,0,71,0,0,0,0,0,0,187,130,0,0,201,332,329,0,0,0,317,273,169,0,0,0,0,0,0,182,0,553,497,0,0,0,0,0,0,0,0
gene-LOC113682481|LOC113682481,0,233,205,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,78,0,86,0,0,0,0,0,0,111,119,0,0,140,241,208,0,0,0,195,195,89,0,0,0,0,0,0,72,0,408,364,0,0,0,0,0,0,0,0
gene-LOC113671960|LOC113671960,0,99,84,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,50,0,32,0,0,0,0,0,0,63,64,0,0,49,127,107,0,0,0,110,93,52,2,2,0,0,0,0,28,0,98,90,0,0,0,0,0,0,0,0
gene-LOC113666304|LOC113666304,2,1120,1000,0,0,0,5,5,0,0,3,3,0,764,2,0,0,0,0,0,0,0,0,0,1080,3,540,0,0,0,0,0,0,785,782,5,0,779,1978,1850,7,5,0,1811,1644,973,0,0,0,0,0,0,747,4,1716,1548,0,0,0,0,0,0,5,5
gene-LOC113677076|LOC113677076,0,1015,936,0,0,0,8,8,0,0,2,0,0,452,0,0,0,0,0,0,0,4,4,0,459,0,223,0,0,0,0,0,0,573,299,0,0,592,1230,1119,0,0,0,1004,895,495,0,0,0,0,0,0,269,7,1178,1074,0,0,5,0,0,0,0,0
gene-LOC113670999|LOC113670999,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,18,9,0,0,12,0,0,0,0,0,34,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
gene-LOC113664458|LOC113664458,0,8,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,5,0,0,2,10,9,0,0,0,5,5,3,0,0,0,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0
