gene_id,Orthogroup,Species
Acerv_evm.TU.Segkk1022_pilon.1,OG0000150,A.cervicornis
Acerv_evm.TU.Segkk1038_pilon.1,OG0001930,A.cervicornis
Acerv_evm.TU.Segkk1040_pilon.15,OG0019471,A.cervicornis
Acerv_evm.TU.Segkk1078_pilon.63,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk1079_pilon.5,OG0000414,A.cervicornis
Acerv_evm.TU.Segkk1157_pilon.2,OG0001072,A.cervicornis
Acerv_evm.TU.Segkk119_pilon.17,OG0002427,A.cervicornis
Acerv_evm.TU.Segkk1235_pilon.8,OG0000464,A.cervicornis
Acerv_evm.TU.Segkk1268_pilon.2,OG0000165,A.cervicornis
Acerv_evm.TU.Segkk1271_pilon.4,OG0000034,A.cervicornis
Acerv_evm.TU.Segkk1291_pilon.1,OG0001711,A.cervicornis
Acerv_evm.TU.Segkk1303_pilon.10,OG0000445,A.cervicornis
Acerv_evm.TU.Segkk1318_pilon.7,OG0011190,A.cervicornis
Acerv_evm.TU.Segkk1350_pilon.5,OG0016483,A.cervicornis
Acerv_evm.TU.Segkk1375_pilon.15,OG0001386,A.cervicornis
Acerv_evm.TU.Segkk1386_pilon.25,OG0001387,A.cervicornis
Acerv_evm.TU.Segkk1411_pilon.4,OG0001874,A.cervicornis
Acerv_evm.TU.Segkk1416_pilon.3,OG0004420,A.cervicornis
Acerv_evm.TU.Segkk1424_pilon.6,OG0005897,A.cervicornis
Acerv_evm.TU.Segkk1466_pilon.9,OG0011284,A.cervicornis
Acerv_evm.TU.Segkk1480_pilon.1,OG0004547,A.cervicornis
Acerv_evm.TU.Segkk1497_pilon.2,OG0004553,A.cervicornis
Acerv_evm.TU.Segkk1509_pilon.11,OG0008019,A.cervicornis
Acerv_evm.TU.Segkk1560_pilon.6,OG0002134,A.cervicornis
Acerv_evm.TU.Segkk1575_pilon.7,OG0000989,A.cervicornis
Acerv_evm.TU.Segkk1579_pilon.3,OG0019583,A.cervicornis
Acerv_evm.TU.Segkk1593_pilon.6,OG0008062,A.cervicornis
Acerv_evm.TU.Segkk1630_pilon.6,OG0000106,A.cervicornis
Acerv_evm.TU.Segkk169_pilon.1,OG0010130,A.cervicornis
Acerv_evm.TU.Segkk1708_pilon.21,OG0011469,A.cervicornis
Acerv_evm.TU.Segkk1732_pilon.61,OG0008153,A.cervicornis
Acerv_evm.TU.Segkk1732_pilon.65,OG0000277,A.cervicornis
Acerv_evm.TU.Segkk1774_pilon.15,OG0001272,A.cervicornis
Acerv_evm.TU.Segkk1777_pilon.32,OG0004605,A.cervicornis
Acerv_evm.TU.Segkk1779_pilon.5,OG0001274,A.cervicornis
Acerv_evm.TU.Segkk1793_pilon.1,OG0001129,A.cervicornis
Acerv_evm.TU.Segkk1795_pilon.7,OG0014806,A.cervicornis
Acerv_evm.TU.Segkk1822_pilon.2,OG0003060,A.cervicornis
Acerv_evm.TU.Segkk1851_pilon.3,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk1858_pilon.11,OG0008234,A.cervicornis
Acerv_evm.TU.Segkk1883_pilon.14,OG0004635,A.cervicornis
Acerv_evm.TU.Segkk1895_pilon.6,OG0011630,A.cervicornis
Acerv_evm.TU.Segkk19_pilon.21,OG0007101,A.cervicornis
Acerv_evm.TU.Segkk1929_pilon.4,OG0006092,A.cervicornis
Acerv_evm.TU.Segkk1945_pilon.2,OG0014563,A.cervicornis
Acerv_evm.TU.Segkk1947_pilon.7,OG0008301,A.cervicornis
Acerv_evm.TU.Segkk1982_pilon.11,OG0002238,A.cervicornis
Acerv_evm.TU.Segkk1991_pilon.4,OG0011685,A.cervicornis
Acerv_evm.TU.Segkk20_pilon.1,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk2008_pilon.3,OG0000308,A.cervicornis
Acerv_evm.TU.Segkk2012_pilon.2,OG0004604,A.cervicornis
Acerv_evm.TU.Segkk2015_pilon.1,OG0003084,A.cervicornis
Acerv_evm.TU.Segkk2116_pilon.21,OG0016593,A.cervicornis
Acerv_evm.TU.Segkk2117_pilon.21,OG0003715,A.cervicornis
Acerv_evm.TU.Segkk2119_pilon.10,OG0011825,A.cervicornis
Acerv_evm.TU.Segkk2163_pilon.7,OG0011843,A.cervicornis
Acerv_evm.TU.Segkk2181_pilon.1,OG0001518,A.cervicornis
Acerv_evm.TU.Segkk2199_pilon.3,OG0000200,A.cervicornis
Acerv_evm.TU.Segkk2237_pilon.14,OG0001757,A.cervicornis
Acerv_evm.TU.Segkk2237_pilon.15,OG0001757,A.cervicornis
Acerv_evm.TU.Segkk2242_pilon.3,OG0000019,A.cervicornis
Acerv_evm.TU.Segkk2246_pilon.2,OG0011932,A.cervicornis
Acerv_evm.TU.Segkk2261_pilon.8,OG0000106,A.cervicornis
Acerv_evm.TU.Segkk227_pilon.2,OG0001123,A.cervicornis
Acerv_evm.TU.Segkk2328_pilon.2,OG0019797,A.cervicornis
Acerv_evm.TU.Segkk2334_pilon.1,OG0016614,A.cervicornis
Acerv_evm.TU.Segkk2335_pilon.20,OG0000003,A.cervicornis
Acerv_evm.TU.Segkk2370_pilon.2,OG0008561,A.cervicornis
Acerv_evm.TU.Segkk2424_pilon.11,OG0001151,A.cervicornis
Acerv_evm.TU.Segkk2518_pilon.2,OG0012158,A.cervicornis
Acerv_evm.TU.Segkk2521_pilon.10,OG0001506,A.cervicornis
Acerv_evm.TU.Segkk2537_pilon.1,OG0000127,A.cervicornis
Acerv_evm.TU.Segkk2537_pilon.25,OG0012176,A.cervicornis
Acerv_evm.TU.Segkk2551_pilon.2,OG0000090,A.cervicornis
Acerv_evm.TU.Segkk2585_pilon.5,OG0003132,A.cervicornis
Acerv_evm.TU.Segkk2595_pilon.2,OG0003771,A.cervicornis
Acerv_evm.TU.Segkk2611_pilon.2,OG0000015,A.cervicornis
Acerv_evm.TU.Segkk2634_pilon.14,OG0000135,A.cervicornis
Acerv_evm.TU.Segkk2634_pilon.20,OG0000135,A.cervicornis
Acerv_evm.TU.Segkk2701_pilon.2,OG0006352,A.cervicornis
Acerv_evm.TU.Segkk2725_pilon.8,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk2763_pilon.1,OG0001859,A.cervicornis
Acerv_evm.TU.Segkk2772_pilon.8,OG0012391,A.cervicornis
Acerv_evm.TU.Segkk2779_pilon.12,OG0012393,A.cervicornis
Acerv_evm.TU.Segkk2782_pilon.21,OG0006386,A.cervicornis
Acerv_evm.TU.Segkk2788_pilon.3,OG0001570,A.cervicornis
Acerv_evm.TU.Segkk2792_pilon.2,OG0011464,A.cervicornis
Acerv_evm.TU.Segkk2795_pilon.15,OG0012424,A.cervicornis
Acerv_evm.TU.Segkk2811_pilon.9,OG0003794,A.cervicornis
Acerv_evm.TU.Segkk2834_pilon.11,OG0004834,A.cervicornis
Acerv_evm.TU.Segkk2838_pilon.7,OG0008302,A.cervicornis
Acerv_evm.TU.Segkk2909_pilon.1,OG0006445,A.cervicornis
Acerv_evm.TU.Segkk2970_pilon.1,OG0000557,A.cervicornis
Acerv_evm.TU.Segkk30_pilon.11,OG0002101,A.cervicornis
Acerv_evm.TU.Segkk3047_pilon.14,OG0008921,A.cervicornis
Acerv_evm.TU.Segkk3052_pilon.15,OG0002904,A.cervicornis
Acerv_evm.TU.Segkk3059_pilon.1,OG0002830,A.cervicornis
Acerv_evm.TU.Segkk3087_pilon.2,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk3091_pilon.8,OG0000221,A.cervicornis
Acerv_evm.TU.Segkk3092_pilon.14,OG0008945,A.cervicornis
Acerv_evm.TU.Segkk3095_pilon.35,OG0001298,A.cervicornis
Acerv_evm.TU.Segkk3096_pilon.7,OG0000000,A.cervicornis
Acerv_evm.TU.Segkk3105_pilon.1,OG0002180,A.cervicornis
Acerv_evm.TU.Segkk315_pilon.1,OG0000150,A.cervicornis
Acerv_evm.TU.Segkk3158_pilon.3,OG0011235,A.cervicornis
Acerv_evm.TU.Segkk3159_pilon.11,OG0000990,A.cervicornis
Acerv_evm.TU.Segkk318_pilon.5,OG0000826,A.cervicornis
Acerv_evm.TU.Segkk3192_pilon.40,OG0002315,A.cervicornis
