"","gene_id","Orthogroup"
"1","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","OG0007679"
"2","Montipora_capitata_PredGene_adi2mcaRNA12_R8","OG0000148"
"3","Montipora_capitata_PredGene_adi2mcaRNA12026_R0","OG0002906"
"4","Montipora_capitata_PredGene_adi2mcaRNA15070_R6","OG0001044"
"5","Montipora_capitata_PredGene_adi2mcaRNA15384_R0","OG0010342"
"6","Montipora_capitata_PredGene_adi2mcaRNA21702_R1","OG0009538"
"7","Montipora_capitata_PredGene_adi2mcaRNA25316_R4","OG0000514"
"8","Montipora_capitata_PredGene_adi2mcaRNA26447_R5","OG0003431"
"9","Montipora_capitata_PredGene_adi2mcaRNA26986_R0","OG0000263"
"10","Montipora_capitata_PredGene_adi2mcaRNA26986_R2","OG0000263"
"11","Montipora_capitata_PredGene_adi2mcaRNA26986_R3","OG0000263"
"12","Montipora_capitata_PredGene_adi2mcaRNA34317_R1","OG0003887"
"13","Montipora_capitata_PredGene_adi2mcaRNA36296_R6","OG0001177"
"14","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","OG0000487"
"15","Montipora_capitata_PredGene_adi2mcaRNA38767_R7","OG0000008"
"16","Montipora_capitata_PredGene_adi2mcaRNA39968_R0","OG0006746"
"17","Montipora_capitata_PredGene_adi2mcaRNA4201_R8","OG0000027"
"18","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","OG0003152"
"19","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","OG0000003"
"20","Montipora_capitata_PredGene_adi2mcaRNA6000_R0","OG0001155"
"21","Montipora_capitata_PredGene_adi2mcaRNA6174_R8","OG0000982"
"22","Montipora_capitata_PredGene_adi2mcaRNA8620_R1","OG0007322"
"23","Montipora_capitata_PredGene_adi2mcaRNA9177_R0","OG0000500"
"24","Montipora_capitata_PredGene_adi2mcaRNA9790_R0","OG0002028"
"25","Montipora_capitata_PredGene_g10736","OG0010205"
"26","Montipora_capitata_PredGene_g12169","OG0004023"
"27","Montipora_capitata_PredGene_g13046","OG0000960"
"28","Montipora_capitata_PredGene_g15440","OG0007769"
"29","Montipora_capitata_PredGene_g15708","OG0015938"
"30","Montipora_capitata_PredGene_g17706","OG0010588"
"31","Montipora_capitata_PredGene_g1833","OG0008907"
"32","Montipora_capitata_PredGene_g18352","OG0013201"
"33","Montipora_capitata_PredGene_g18729","OG0013703"
"34","Montipora_capitata_PredGene_g19223","OG0001913"
