"","gene_id","Orthogroup"
"1","Acerv_evm.TU.Segkk1038_pilon.1","OG0001930"
"2","Acerv_evm.TU.Segkk1078_pilon.63","OG0000000"
"3","Acerv_evm.TU.Segkk1079_pilon.5","OG0000414"
"4","Acerv_evm.TU.Segkk1157_pilon.2","OG0001072"
"5","Acerv_evm.TU.Segkk119_pilon.17","OG0002427"
"6","Acerv_evm.TU.Segkk1235_pilon.8","OG0000464"
"7","Acerv_evm.TU.Segkk1291_pilon.1","OG0001711"
"8","Acerv_evm.TU.Segkk1303_pilon.10","OG0000445"
"9","Acerv_evm.TU.Segkk1318_pilon.7","OG0011190"
"10","Acerv_evm.TU.Segkk1375_pilon.15","OG0001386"
"11","Acerv_evm.TU.Segkk1386_pilon.25","OG0001387"
"12","Acerv_evm.TU.Segkk1411_pilon.4","OG0001874"
"13","Acerv_evm.TU.Segkk1424_pilon.6","OG0005897"
"14","Acerv_evm.TU.Segkk1497_pilon.2","OG0004553"
"15","Acerv_evm.TU.Segkk1509_pilon.11","OG0008019"
"16","Acerv_evm.TU.Segkk1560_pilon.6","OG0002134"
"17","Acerv_evm.TU.Segkk1575_pilon.7","OG0000989"
"18","Acerv_evm.TU.Segkk1593_pilon.6","OG0008062"
"19","Acerv_evm.TU.Segkk1774_pilon.15","OG0001272"
"20","Acerv_evm.TU.Segkk1777_pilon.32","OG0004605"
"21","Acerv_evm.TU.Segkk1779_pilon.5","OG0001274"
"22","Acerv_evm.TU.Segkk1822_pilon.2","OG0003060"
"23","Acerv_evm.TU.Segkk1851_pilon.3","OG0000000"
"24","Acerv_evm.TU.Segkk1858_pilon.11","OG0008234"
"25","Acerv_evm.TU.Segkk1895_pilon.6","OG0011630"
"26","Acerv_evm.TU.Segkk19_pilon.21","OG0007101"
"27","Acerv_evm.TU.Segkk1929_pilon.4","OG0006092"
"28","Acerv_evm.TU.Segkk1982_pilon.11","OG0002238"
"29","Acerv_evm.TU.Segkk1991_pilon.4","OG0011685"
"30","Acerv_evm.TU.Segkk20_pilon.1","OG0000000"
"31","Acerv_evm.TU.Segkk2012_pilon.2","OG0004604"
"32","Acerv_evm.TU.Segkk2015_pilon.1","OG0003084"
"33","Acerv_evm.TU.Segkk2117_pilon.21","OG0003715"
"34","Acerv_evm.TU.Segkk2119_pilon.10","OG0011825"
"35","Acerv_evm.TU.Segkk2163_pilon.7","OG0011843"
"36","Acerv_evm.TU.Segkk2237_pilon.14","OG0001757"
"37","Acerv_evm.TU.Segkk2237_pilon.15","OG0001757"
"38","Acerv_evm.TU.Segkk2246_pilon.2","OG0011932"
"39","Acerv_evm.TU.Segkk2335_pilon.20","OG0000003"
"40","Acerv_evm.TU.Segkk2370_pilon.2","OG0008561"
"41","Acerv_evm.TU.Segkk2518_pilon.2","OG0012158"
"42","Acerv_evm.TU.Segkk2521_pilon.10","OG0001506"
"43","Acerv_evm.TU.Segkk2537_pilon.1","OG0000127"
"44","Acerv_evm.TU.Segkk2551_pilon.2","OG0000090"
"45","Acerv_evm.TU.Segkk2585_pilon.5","OG0003132"
"46","Acerv_evm.TU.Segkk2611_pilon.2","OG0000015"
"47","Acerv_evm.TU.Segkk2634_pilon.14","OG0000135"
"48","Acerv_evm.TU.Segkk2634_pilon.20","OG0000135"
"49","Acerv_evm.TU.Segkk2725_pilon.8","OG0000000"
"50","Acerv_evm.TU.Segkk2763_pilon.1","OG0001859"
"51","Acerv_evm.TU.Segkk2772_pilon.8","OG0012391"
"52","Acerv_evm.TU.Segkk2779_pilon.12","OG0012393"
"53","Acerv_evm.TU.Segkk2782_pilon.21","OG0006386"
"54","Acerv_evm.TU.Segkk2788_pilon.3","OG0001570"
"55","Acerv_evm.TU.Segkk2834_pilon.11","OG0004834"
"56","Acerv_evm.TU.Segkk2838_pilon.7","OG0008302"
"57","Acerv_evm.TU.Segkk2909_pilon.1","OG0006445"
"58","Acerv_evm.TU.Segkk2970_pilon.1","OG0000557"
"59","Acerv_evm.TU.Segkk30_pilon.11","OG0002101"
"60","Acerv_evm.TU.Segkk3047_pilon.14","OG0008921"
"61","Acerv_evm.TU.Segkk3052_pilon.15","OG0002904"
"62","Acerv_evm.TU.Segkk3059_pilon.1","OG0002830"
"63","Acerv_evm.TU.Segkk3087_pilon.2","OG0000000"
"64","Acerv_evm.TU.Segkk3091_pilon.8","OG0000221"
"65","Acerv_evm.TU.Segkk3092_pilon.14","OG0008945"
"66","Acerv_evm.TU.Segkk3095_pilon.35","OG0001298"
"67","Acerv_evm.TU.Segkk3096_pilon.7","OG0000000"
"68","Acerv_evm.TU.Segkk3159_pilon.11","OG0000990"
"69","Acerv_evm.TU.Segkk318_pilon.5","OG0000826"
"70","Acerv_evm.TU.Segkk3192_pilon.40","OG0002315"
"71","Acerv_evm.TU.Segkk3264_pilon.11","OG0012773"
"72","Acerv_evm.TU.Segkk3306_pilon.14","OG0004944"
"73","Acerv_evm.TU.Segkk3327_pilon.18","OG0006571"
"74","Acerv_evm.TU.Segkk3363_pilon.30","OG0000124"
"75","Acerv_evm.TU.Segkk338_pilon.10","OG0000487"
"76","Acerv_evm.TU.Segkk3381_pilon.2","OG0012911"
"77","Acerv_evm.TU.Segkk3387_pilon.12","OG0000000"
"78","Acerv_evm.TU.Segkk3394_pilon.16","OG0000882"
"79","Acerv_evm.TU.Segkk3397_pilon.3","OG0000850"
"80","Acerv_evm.TU.Segkk3412_pilon.6","OG0004978"
"81","Acerv_evm.TU.Segkk3422_pilon.23","OG0000469"
"82","Acerv_evm.TU.Segkk3453_pilon.19","OG0000008"
"83","Acerv_evm.TU.Segkk3463_pilon.1","OG0000491"
"84","Acerv_evm.TU.Segkk3493_pilon.1","OG0000767"
"85","Acerv_evm.TU.Segkk3538_pilon.3","OG0000138"
"86","Acerv_evm.TU.Segkk3540_pilon.3","OG0000355"
"87","Acerv_evm.TU.Segkk3618_pilon.7","OG0000000"
"88","Acerv_evm.TU.Segkk3644_pilon.3","OG0013114"
"89","Acerv_evm.TU.Segkk3655_pilon.19","OG0007101"
"90","Acerv_evm.TU.Segkk3655_pilon.33","OG0000469"
"91","Acerv_evm.TU.Segkk384_pilon.7","OG0004255"
"92","Acerv_evm.TU.Segkk3844_pilon.1","OG0007349"
"93","Acerv_evm.TU.Segkk3858_pilon.8","OG0000882"
"94","Acerv_evm.TU.Segkk3903_pilon.2","OG0006755"
"95","Acerv_evm.TU.Segkk3937_pilon.25","OG0009461"
"96","Acerv_evm.TU.Segkk3940_pilon.21","OG0000850"
"97","Acerv_evm.TU.Segkk3996_pilon.1","OG0000000"
"98","Acerv_evm.TU.Segkk4025_pilon.2","OG0013433"
"99","Acerv_evm.TU.Segkk4047_pilon.16","OG0000127"
"100","Acerv_evm.TU.Segkk4113_pilon.15","OG0001808"
"101","Acerv_evm.TU.Segkk4124_pilon.10","OG0001073"
"102","Acerv_evm.TU.Segkk4124_pilon.11","OG0001073"
"103","Acerv_evm.TU.Segkk4124_pilon.2","OG0000272"
"104","Acerv_evm.TU.Segkk4124_pilon.3","OG0000272"
"105","Acerv_evm.TU.Segkk4263_pilon.5","OG0000865"
"106","Acerv_evm.TU.Segkk4265_pilon.3","OG0008220"
"107","Acerv_evm.TU.Segkk451_pilon.2","OG0007378"
"108","Acerv_evm.TU.Segkk539_pilon.1","OG0002149"
"109","Acerv_evm.TU.Segkk551_pilon.2","OG0000001"
"110","Acerv_evm.TU.Segkk575_pilon.2","OG0003466"
"111","Acerv_evm.TU.Segkk642_pilon.43","OG0004326"
"112","Acerv_evm.TU.Segkk669_pilon.5","OG0005597"
"113","Acerv_evm.TU.Segkk671_pilon.1","OG0005604"
"114","Acerv_evm.TU.Segkk68_pilon.68","OG0007132"
"115","Acerv_evm.TU.Segkk893_pilon.2","OG0002171"
"116","Acerv_evm.TU.Segkk905_pilon.19","OG0007569"
"117","Acerv_evm.TU.Segkk925_pilon.1","OG0002527"
"118","Acerv_evm.TU.Segkk984_pilon.10","OG0000030"
"119","Acerv_evm.TU.Segkk999_pilon.5","OG0005579"
