"","gene_id","Orthogroup"
"1","Acerv_evm.TU.Segkk1022_pilon.1","OG0000150"
"2","Acerv_evm.TU.Segkk1038_pilon.1","OG0001930"
"3","Acerv_evm.TU.Segkk1040_pilon.15","OG0019471"
"4","Acerv_evm.TU.Segkk1078_pilon.63","OG0000000"
"5","Acerv_evm.TU.Segkk1079_pilon.5","OG0000414"
"6","Acerv_evm.TU.Segkk1157_pilon.2","OG0001072"
"7","Acerv_evm.TU.Segkk119_pilon.17","OG0002427"
"8","Acerv_evm.TU.Segkk1235_pilon.8","OG0000464"
"9","Acerv_evm.TU.Segkk1268_pilon.2","OG0000165"
"10","Acerv_evm.TU.Segkk1271_pilon.4","OG0000034"
"11","Acerv_evm.TU.Segkk1291_pilon.1","OG0001711"
"12","Acerv_evm.TU.Segkk1303_pilon.10","OG0000445"
"13","Acerv_evm.TU.Segkk1318_pilon.7","OG0011190"
"14","Acerv_evm.TU.Segkk1350_pilon.5","OG0016483"
"15","Acerv_evm.TU.Segkk1375_pilon.15","OG0001386"
"16","Acerv_evm.TU.Segkk1386_pilon.25","OG0001387"
"17","Acerv_evm.TU.Segkk1411_pilon.4","OG0001874"
"18","Acerv_evm.TU.Segkk1416_pilon.3","OG0004420"
"19","Acerv_evm.TU.Segkk1424_pilon.6","OG0005897"
"20","Acerv_evm.TU.Segkk1466_pilon.9","OG0011284"
"21","Acerv_evm.TU.Segkk1480_pilon.1","OG0004547"
"22","Acerv_evm.TU.Segkk1497_pilon.2","OG0004553"
"23","Acerv_evm.TU.Segkk1509_pilon.11","OG0008019"
"24","Acerv_evm.TU.Segkk1560_pilon.6","OG0002134"
"25","Acerv_evm.TU.Segkk1575_pilon.7","OG0000989"
"26","Acerv_evm.TU.Segkk1579_pilon.3","OG0019583"
"27","Acerv_evm.TU.Segkk1593_pilon.6","OG0008062"
"28","Acerv_evm.TU.Segkk1630_pilon.6","OG0000106"
"29","Acerv_evm.TU.Segkk169_pilon.1","OG0010130"
"30","Acerv_evm.TU.Segkk1708_pilon.21","OG0011469"
"31","Acerv_evm.TU.Segkk1732_pilon.61","OG0008153"
"32","Acerv_evm.TU.Segkk1732_pilon.65","OG0000277"
"33","Acerv_evm.TU.Segkk1774_pilon.15","OG0001272"
"34","Acerv_evm.TU.Segkk1777_pilon.32","OG0004605"
"35","Acerv_evm.TU.Segkk1779_pilon.5","OG0001274"
"36","Acerv_evm.TU.Segkk1793_pilon.1","OG0001129"
"37","Acerv_evm.TU.Segkk1795_pilon.7","OG0014806"
"38","Acerv_evm.TU.Segkk1822_pilon.2","OG0003060"
"39","Acerv_evm.TU.Segkk1851_pilon.3","OG0000000"
"40","Acerv_evm.TU.Segkk1858_pilon.11","OG0008234"
"41","Acerv_evm.TU.Segkk1883_pilon.14","OG0004635"
"42","Acerv_evm.TU.Segkk1895_pilon.6","OG0011630"
"43","Acerv_evm.TU.Segkk19_pilon.21","OG0007101"
"44","Acerv_evm.TU.Segkk1929_pilon.4","OG0006092"
"45","Acerv_evm.TU.Segkk1945_pilon.2","OG0014563"
"46","Acerv_evm.TU.Segkk1947_pilon.7","OG0008301"
"47","Acerv_evm.TU.Segkk1982_pilon.11","OG0002238"
"48","Acerv_evm.TU.Segkk1991_pilon.4","OG0011685"
"49","Acerv_evm.TU.Segkk20_pilon.1","OG0000000"
"50","Acerv_evm.TU.Segkk2008_pilon.3","OG0000308"
"51","Acerv_evm.TU.Segkk2012_pilon.2","OG0004604"
"52","Acerv_evm.TU.Segkk2015_pilon.1","OG0003084"
"53","Acerv_evm.TU.Segkk2116_pilon.21","OG0016593"
"54","Acerv_evm.TU.Segkk2117_pilon.21","OG0003715"
"55","Acerv_evm.TU.Segkk2119_pilon.10","OG0011825"
"56","Acerv_evm.TU.Segkk2163_pilon.7","OG0011843"
"57","Acerv_evm.TU.Segkk2181_pilon.1","OG0001518"
"58","Acerv_evm.TU.Segkk2199_pilon.3","OG0000200"
"59","Acerv_evm.TU.Segkk2237_pilon.14","OG0001757"
"60","Acerv_evm.TU.Segkk2237_pilon.15","OG0001757"
"61","Acerv_evm.TU.Segkk2242_pilon.3","OG0000019"
"62","Acerv_evm.TU.Segkk2246_pilon.2","OG0011932"
"63","Acerv_evm.TU.Segkk2261_pilon.8","OG0000106"
"64","Acerv_evm.TU.Segkk227_pilon.2","OG0001123"
"65","Acerv_evm.TU.Segkk2328_pilon.2","OG0019797"
"66","Acerv_evm.TU.Segkk2334_pilon.1","OG0016614"
"67","Acerv_evm.TU.Segkk2335_pilon.20","OG0000003"
"68","Acerv_evm.TU.Segkk2370_pilon.2","OG0008561"
"69","Acerv_evm.TU.Segkk2424_pilon.11","OG0001151"
"70","Acerv_evm.TU.Segkk2518_pilon.2","OG0012158"
"71","Acerv_evm.TU.Segkk2521_pilon.10","OG0001506"
"72","Acerv_evm.TU.Segkk2537_pilon.1","OG0000127"
"73","Acerv_evm.TU.Segkk2537_pilon.25","OG0012176"
"74","Acerv_evm.TU.Segkk2551_pilon.2","OG0000090"
"75","Acerv_evm.TU.Segkk2585_pilon.5","OG0003132"
"76","Acerv_evm.TU.Segkk2595_pilon.2","OG0003771"
