"","gene_id","Orthogroup"
"1","Mcavernosa00001","OG0001072"
"2","Mcavernosa00103","OG0003177"
"3","Mcavernosa01252","OG0000741"
"4","Mcavernosa01732","OG0005778"
"5","Mcavernosa02339","OG0003987"
"6","Mcavernosa02620","OG0000164"
"7","Mcavernosa02621","OG0000164"
"8","Mcavernosa02761","OG0005584"
"9","Mcavernosa02968","OG0016074"
"10","Mcavernosa03157","OG0000867"
"11","Mcavernosa03628","OG0001771"
"12","Mcavernosa04010","OG0013205"
"13","Mcavernosa05091","OG0010186"
"14","Mcavernosa05196","OG0000854"
"15","Mcavernosa07006","OG0005196"
"16","Mcavernosa07053","OG0014122"
"17","Mcavernosa09510","OG0000121"
"18","Mcavernosa10311","OG0005656"
"19","Mcavernosa10782","OG0018077"
"20","Mcavernosa11724","OG0016542"
"21","Mcavernosa11839","OG0010282"
"22","Mcavernosa12043","OG0018851"
"23","Mcavernosa12089","OG0002494"
"24","Mcavernosa13005","OG0002677"
"25","Mcavernosa13241","OG0000948"
"26","Mcavernosa13780","OG0013947"
"27","Mcavernosa13828","OG0014114"
"28","Mcavernosa13956","OG0018840"
"29","Mcavernosa14558","OG0001393"
"30","Mcavernosa15302","OG0002799"
"31","Mcavernosa15503","OG0006986"
"32","Mcavernosa16456","OG0003557"
"33","Mcavernosa18273","OG0010016"
"34","Mcavernosa18489","OG0003181"
"35","Mcavernosa18547","OG0013132"
"36","Mcavernosa18652","OG0004374"
"37","Mcavernosa20093","OG0012435"
"38","Mcavernosa21617","OG0006114"
"39","Mcavernosa22344","OG0000414"
"40","Mcavernosa22347","OG0000414"
"41","Mcavernosa24249","OG0016068"
"42","Mcavernosa24806","OG0008851"
"43","Mcavernosa25973","OG0000516"
"44","Mcavernosa29012","OG0012502"
"45","Mcavernosa30410","OG0000414"
"46","Mcavernosa30570","OG0016089"
"47","Mcavernosa30571","OG0017430"
"48","Mcavernosa30572","OG0009946"
"49","Mcavernosa30573","OG0017429"
"50","Mcavernosa30574","OG0016089"
"51","Mcavernosa30575","OG0017430"
"52","Mcavernosa30729","OG0018812"
"53","Mcavernosa33020","OG0000370"
