"","gene_id","Orthogroup"
"1","Mcavernosa00001","OG0001072"
"2","Mcavernosa00103","OG0003177"
"3","Mcavernosa01252","OG0000741"
"4","Mcavernosa01732","OG0005778"
"5","Mcavernosa02339","OG0003987"
"6","Mcavernosa02620","OG0000164"
"7","Mcavernosa02621","OG0000164"
"8","Mcavernosa02761","OG0005584"
"9","Mcavernosa03157","OG0000867"
"10","Mcavernosa04010","OG0013205"
"11","Mcavernosa05091","OG0010186"
"12","Mcavernosa05196","OG0000854"
"13","Mcavernosa09510","OG0000121"
"14","Mcavernosa10311","OG0005656"
"15","Mcavernosa11839","OG0010282"
"16","Mcavernosa13005","OG0002677"
"17","Mcavernosa13241","OG0000948"
"18","Mcavernosa14558","OG0001393"
"19","Mcavernosa16456","OG0003557"
"20","Mcavernosa18273","OG0010016"
"21","Mcavernosa18489","OG0003181"
"22","Mcavernosa18547","OG0013132"
"23","Mcavernosa18652","OG0004374"
"24","Mcavernosa20093","OG0012435"
"25","Mcavernosa21617","OG0006114"
"26","Mcavernosa22344","OG0000414"
"27","Mcavernosa22347","OG0000414"
"28","Mcavernosa24806","OG0008851"
"29","Mcavernosa25973","OG0000516"
"30","Mcavernosa30410","OG0000414"
"31","Mcavernosa33020","OG0000370"
