Orthogroup	Mcavernosa.maker.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000000	Mcavernosa09902-RA	XP_020603730.1, XP_020603731.1, XP_020614259.1
OG0000000	Mcavernosa18934-RA	XP_020613057.1, XP_020617323.1
OG0000000	Mcavernosa11813-RA	XP_020628513.1, XP_020613059.1
OG0000001	Mcavernosa08070-RA	XP_020631482.1
OG0000001	Mcavernosa18525-RA	XP_020603598.1, XP_020624737.1, XP_020609664.1, XP_020621595.1, XP_020621596.1, XP_020621598.1, XP_020616666.1, XP_020621599.1, XP_020600399.1, XP_020607833.1, XP_020607832.1, XP_020615139.1, XP_020609422.1, XP_020615322.1, XP_020615321.1, XP_020613795.1, XP_020613813.1, XP_020613812.1, XP_020613814.1, XP_020621671.1, XP_020604206.1, XP_020608925.1, XP_020614493.1, XP_020614494.1
OG0000003	Mcavernosa06791-RA, Mcavernosa06790-RA	XP_020615517.1
OG0000003	Mcavernosa06384-RA	XP_020601815.1
OG0000004	Mcavernosa15460-RA	XP_020606067.1
OG0000004	Mcavernosa05413-RA	XP_020612450.1, XP_020612453.1, XP_020612449.1, XP_020612451.1, XP_020612452.1, XP_020612448.1, XP_020612267.1
OG0000004	Mcavernosa14274-RA	XP_020623194.1
OG0000005	Mcavernosa01928-RA	XP_020619788.1, XP_020619789.1
OG0000005	Mcavernosa05514-RA	XP_020615798.1, XP_020615799.1
OG0000005	Mcavernosa31190-RA	XP_020630041.1, XP_020621187.1, XP_020627577.1, XP_020613046.1, XP_020613045.1, XP_020613044.1
OG0000006	Mcavernosa29868-RA	XP_020614818.1
OG0000006	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA	XP_020602485.1, XP_020600919.1, XP_020610071.1, XP_020616007.1, XP_020610359.1, XP_020610073.1, XP_020621577.1, XP_020621621.1, XP_020625134.1, XP_020602499.1, XP_020602480.1, XP_020602477.1
OG0000007	Mcavernosa01452-RA	XP_020609822.1, XP_020609943.1
OG0000007	Mcavernosa25907-RA	XP_020605204.1
OG0000007	Mcavernosa29663-RA	XP_020618124.1, XP_020612161.1
OG0000008	Mcavernosa22378-RA	XP_020614042.1
OG0000008	Mcavernosa26506-RA	XP_020606504.1
