Orthogroup	Mcavernosa.maker.proteins	Acerv_assembly_v1.0.protein
OG0000000	Mcavernosa09902-RA	Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2, Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.3, Acerv_evm.model.Segkk2669_pilon.5, Acerv_evm.model.Segkk793_pilon.1
OG0000000	Mcavernosa18934-RA	Acerv_evm.model.Segkk3100_pilon.13
OG0000001	Mcavernosa08070-RA	Acerv_evm.model.Segkk3741_pilon.25
OG0000001	Mcavernosa18525-RA	Acerv_evm.model.Segkk4292_pilon.4, Acerv_evm.model.Segkk142_pilon.1, Acerv_evm.model.Segkk3096_pilon.6, Acerv_evm.model.Segkk0_pilon.4, Acerv_evm.model.Segkk2393_pilon.4, Acerv_evm.model.Segkk2393_pilon.3, Acerv_evm.model.Segkk20_pilon.1, Acerv_evm.model.Segkk2381_pilon.3, Acerv_evm.model.Segkk536_pilon.1, Acerv_evm.model.Segkk3132_pilon.2, Acerv_evm.model.Segkk2381_pilon.2, Acerv_evm.model.Segkk3675_pilon.10, Acerv_evm.model.Segkk3675_pilon.9, Acerv_evm.model.Segkk3654_pilon.6, Acerv_evm.model.Segkk3454_pilon.25, Acerv_evm.model.Segkk833_pilon.2, Acerv_evm.model.Segkk1_pilon.1, Acerv_evm.model.Segkk3366_pilon.1, Acerv_evm.model.Segkk1164_pilon.1, Acerv_evm.model.Segkk1035_pilon.13, Acerv_evm.model.Segkk2238_pilon.1, Acerv_evm.model.Segkk1728_pilon.31, Acerv_evm.model.Segkk1358_pilon.3, Acerv_evm.model.Segkk644_pilon.5, Acerv_evm.model.Segkk3765_pilon.1, Acerv_evm.model.Segkk1851_pilon.3, Acerv_evm.model.Segkk3096_pilon.7, Acerv_evm.model.Segkk356_pilon.2, Acerv_evm.model.Segkk356_pilon.3, Acerv_evm.model.Segkk1409_pilon.2, Acerv_evm.model.Segkk1728_pilon.51, Acerv_evm.model.Segkk73_pilon.12, Acerv_evm.model.Segkk675_pilon.3, Acerv_evm.model.Segkk3996_pilon.1, Acerv_evm.model.Segkk3996_pilon.4, Acerv_evm.model.Segkk1240_pilon.4, Acerv_evm.model.Segkk2435_pilon.5, Acerv_evm.model.Segkk3079_pilon.1, Acerv_evm.model.Segkk3618_pilon.7, Acerv_evm.model.Segkk1330_pilon.6, Acerv_evm.model.Segkk1330_pilon.4, Acerv_evm.model.Segkk2725_pilon.8, Acerv_evm.model.Segkk1628_pilon.5, Acerv_evm.model.Segkk2987_pilon.7, Acerv_evm.model.Segkk1314_pilon.1, Acerv_evm.model.Segkk1225_pilon.18, Acerv_evm.model.Segkk1078_pilon.63, Acerv_evm.model.Segkk2953_pilon.1, Acerv_evm.model.Segkk2091_pilon.1, Acerv_evm.model.Segkk1664_pilon.1, Acerv_evm.model.Segkk2276_pilon.1, Acerv_evm.model.Segkk2689_pilon.4, Acerv_evm.model.Segkk2108_pilon.2, Acerv_evm.model.Segkk2010_pilon.1, Acerv_evm.model.Segkk1211_pilon.12, Acerv_evm.model.Segkk2589_pilon.3, Acerv_evm.model.Segkk3087_pilon.2, Acerv_evm.model.Segkk1853_pilon.8, Acerv_evm.model.Segkk657_pilon.6, Acerv_evm.model.Segkk657_pilon.3, Acerv_evm.model.Segkk2122_pilon.17, Acerv_evm.model.Segkk3979_pilon.5, Acerv_evm.model.Segkk3423_pilon.25, Acerv_evm.model.Segkk3387_pilon.12, Acerv_evm.model.Segkk3166_pilon.1
OG0000003	Mcavernosa06791-RA, Mcavernosa06790-RA	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk4332_pilon.12, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7
OG0000003	Mcavernosa06384-RA	Acerv_evm.model.Segkk3933_pilon.14, Acerv_evm.model.Segkk2361_pilon.3, Acerv_evm.model.Segkk2361_pilon.1, Acerv_evm.model.Segkk2361_pilon.7, Acerv_evm.model.Segkk2361_pilon.5, Acerv_evm.model.Segkk3213_pilon.18, Acerv_evm.model.Segkk3061_pilon.5, Acerv_evm.model.Segkk3213_pilon.12, Acerv_evm.model.Segkk4332_pilon.13, Acerv_evm.model.Segkk601_pilon.11, Acerv_evm.model.Segkk895_pilon.9, Acerv_evm.model.Segkk896_pilon.2, Acerv_evm.model.Segkk1983_pilon.2, Acerv_evm.model.Segkk374_pilon.11, Acerv_evm.model.Segkk719_pilon.3, Acerv_evm.model.Segkk643_pilon.15, Acerv_evm.model.Segkk64_pilon.1, Acerv_evm.model.Segkk643_pilon.10, Acerv_evm.model.Segkk4088_pilon.4, Acerv_evm.model.Segkk1983_pilon.3, Acerv_evm.model.Segkk220_pilon.1
OG0000004	Mcavernosa15460-RA	Acerv_evm.model.Segkk4020_pilon.2, Acerv_evm.model.Segkk308_pilon.1
OG0000004	Mcavernosa05413-RA	Acerv_evm.model.Segkk1426_pilon.5
OG0000006	Mcavernosa29868-RA	Acerv_evm.model.Segkk2089_pilon.8
OG0000006	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA	Acerv_evm.model.Segkk2089_pilon.12, Acerv_evm.model.Segkk2319_pilon.17, Acerv_evm.model.Segkk1222_pilon.1
OG0000007	Mcavernosa01452-RA	Acerv_evm.model.Segkk2112_pilon.21, Acerv_evm.model.Segkk2722_pilon.40
