"","gene_id","Orthogroup"
"1","Pocillopora_acuta_HIv1_PredGene_11122_t","OG0000127"
"2","Pocillopora_acuta_HIv1_PredGene_17795_t","OG0004726"
"3","Pocillopora_acuta_HIv1_PredGene_18567_t","OG0002222"
"4","Pocillopora_acuta_HIv1_PredGene_22960_t","OG0001696"
"5","Pocillopora_acuta_HIv1_PredGene_23744_t","OG0009134"
"6","Pocillopora_acuta_HIv1_PredGene_31452_t","OG0003268"
"7","Pocillopora_acuta_HIv1_PredGene_5516_t","OG0001880"
"8","Pocillopora_acuta_HIv1_PredGene_9973_t","OG0007456"
"9","Pocillopora_acuta_HIv1_PredGene_g10201.t1","OG0012168"
"10","Pocillopora_acuta_HIv1_PredGene_g10202.t1","OG0012167"
"11","Pocillopora_acuta_HIv1_PredGene_g10524.t1","OG0001367"
"12","Pocillopora_acuta_HIv1_PredGene_g10986.t1","OG0004372"
"13","Pocillopora_acuta_HIv1_PredGene_g11845.t1","OG0011548"
"14","Pocillopora_acuta_HIv1_PredGene_g11986.t1","OG0010914"
"15","Pocillopora_acuta_HIv1_PredGene_g12058.t1","OG0010185"
"16","Pocillopora_acuta_HIv1_PredGene_g12087.t1","OG0006718"
"17","Pocillopora_acuta_HIv1_PredGene_g12696.t1","OG0001977"
"18","Pocillopora_acuta_HIv1_PredGene_g14138.t1","OG0000344"
"19","Pocillopora_acuta_HIv1_PredGene_g1441.t1","OG0000805"
"20","Pocillopora_acuta_HIv1_PredGene_g14435.t1","OG0012582"
"21","Pocillopora_acuta_HIv1_PredGene_g14714.t1","OG0003466"
"22","Pocillopora_acuta_HIv1_PredGene_g14792.t1","OG0000469"
"23","Pocillopora_acuta_HIv1_PredGene_g15901.t1","OG0008322"
"24","Pocillopora_acuta_HIv1_PredGene_g1629.t1","OG0001296"
"25","Pocillopora_acuta_HIv1_PredGene_g1630.t1","OG0001296"
"26","Pocillopora_acuta_HIv1_PredGene_g16370.t1","OG0000194"
"27","Pocillopora_acuta_HIv1_PredGene_g17591.t1","OG0010322"
"28","Pocillopora_acuta_HIv1_PredGene_g17717.t1","OG0009442"
"29","Pocillopora_acuta_HIv1_PredGene_g1790.t1","OG0000505"
"30","Pocillopora_acuta_HIv1_PredGene_g17977.t1","OG0001364"
"31","Pocillopora_acuta_HIv1_PredGene_g18273.t1","OG0012148"
"32","Pocillopora_acuta_HIv1_PredGene_g18552.t1","OG0000605"
"33","Pocillopora_acuta_HIv1_PredGene_g18651.t1","OG0000498"
"34","Pocillopora_acuta_HIv1_PredGene_g18672.t1","OG0000605"
"35","Pocillopora_acuta_HIv1_PredGene_g18846.t1","OG0010411"
"36","Pocillopora_acuta_HIv1_PredGene_g18980.t1","OG0007132"
"37","Pocillopora_acuta_HIv1_PredGene_g19003.t1","OG0000487"
"38","Pocillopora_acuta_HIv1_PredGene_g19390.t1","OG0000960"
"39","Pocillopora_acuta_HIv1_PredGene_g19457.t1","OG0007099"
"40","Pocillopora_acuta_HIv1_PredGene_g19464.t1","OG0003901"
"41","Pocillopora_acuta_HIv1_PredGene_g19464.t2","OG0003901"
"42","Pocillopora_acuta_HIv1_PredGene_g19487.t1","OG0000872"
"43","Pocillopora_acuta_HIv1_PredGene_g19878.t1","OG0009287"
"44","Pocillopora_acuta_HIv1_PredGene_g20016.t1","OG0005595"
"45","Pocillopora_acuta_HIv1_PredGene_g20277.t1","OG0001880"
"46","Pocillopora_acuta_HIv1_PredGene_g20634.t1","OG0002471"
"47","Pocillopora_acuta_HIv1_PredGene_g20815.t1","OG0001575"
"48","Pocillopora_acuta_HIv1_PredGene_g21047.t1","OG0005501"
"49","Pocillopora_acuta_HIv1_PredGene_g21053.t1","OG0001186"
"50","Pocillopora_acuta_HIv1_PredGene_g21093.t1","OG0003976"
"51","Pocillopora_acuta_HIv1_PredGene_g21093.t2","OG0003976"
"52","Pocillopora_acuta_HIv1_PredGene_g21407.t1","OG0007476"
"53","Pocillopora_acuta_HIv1_PredGene_g22418.t1","OG0002222"
"54","Pocillopora_acuta_HIv1_PredGene_g22696.t1","OG0010255"
"55","Pocillopora_acuta_HIv1_PredGene_g22710.t1","OG0006401"
"56","Pocillopora_acuta_HIv1_PredGene_g22710.t2","OG0006401"
"57","Pocillopora_acuta_HIv1_PredGene_g22714.t1","OG0000576"
"58","Pocillopora_acuta_HIv1_PredGene_g22758.t1","OG0011436"
"59","Pocillopora_acuta_HIv1_PredGene_g2314.t1","OG0000121"
"60","Pocillopora_acuta_HIv1_PredGene_g24638.t1","OG0007608"
"61","Pocillopora_acuta_HIv1_PredGene_g25362.t1","OG0002355"
"62","Pocillopora_acuta_HIv1_PredGene_g2599.t1","OG0001273"
"63","Pocillopora_acuta_HIv1_PredGene_g26402.t1","OG0001342"
"64","Pocillopora_acuta_HIv1_PredGene_g26522.t1","OG0001196"
"65","Pocillopora_acuta_HIv1_PredGene_g27314.t1","OG0001309"
"66","Pocillopora_acuta_HIv1_PredGene_g27440.t1","OG0004504"
"67","Pocillopora_acuta_HIv1_PredGene_g27509.t1","OG0007310"
"68","Pocillopora_acuta_HIv1_PredGene_g27868.t1","OG0012725"
"69","Pocillopora_acuta_HIv1_PredGene_g28160.t1","OG0006718"
"70","Pocillopora_acuta_HIv1_PredGene_g28764.t1","OG0001696"
"71","Pocillopora_acuta_HIv1_PredGene_g28764.t2","OG0001696"
"72","Pocillopora_acuta_HIv1_PredGene_g28764.t3","OG0001696"
"73","Pocillopora_acuta_HIv1_PredGene_g28849.t1","OG0000784"
"74","Pocillopora_acuta_HIv1_PredGene_g28908.t1","OG0013201"
"75","Pocillopora_acuta_HIv1_PredGene_g29112.t1","OG0000223"
"76","Pocillopora_acuta_HIv1_PredGene_g29458.t1","OG0000527"
"77","Pocillopora_acuta_HIv1_PredGene_g29791.t1","OG0012195"
"78","Pocillopora_acuta_HIv1_PredGene_g29845.t1","OG0000989"
"79","Pocillopora_acuta_HIv1_PredGene_g30295.t1","OG0009134"
"80","Pocillopora_acuta_HIv1_PredGene_g3030.t1","OG0007634"
"81","Pocillopora_acuta_HIv1_PredGene_g30590.t1","OG0008765"
"82","Pocillopora_acuta_HIv1_PredGene_g30769.t1","OG0001248"
"83","Pocillopora_acuta_HIv1_PredGene_g3078.t1","OG0000028"
"84","Pocillopora_acuta_HIv1_PredGene_g30872.t1","OG0010879"
"85","Pocillopora_acuta_HIv1_PredGene_g3121.t1","OG0001602"
"86","Pocillopora_acuta_HIv1_PredGene_g31212.t1","OG0000127"
"87","Pocillopora_acuta_HIv1_PredGene_g31214.t1","OG0000127"
"88","Pocillopora_acuta_HIv1_PredGene_g31487.t1","OG0001602"
"89","Pocillopora_acuta_HIv1_PredGene_g31487.t2","OG0001602"
"90","Pocillopora_acuta_HIv1_PredGene_g31953.t1","OG0004642"
