Orthogroup	Acerv_assembly_v1.0.protein	Mcavernosa.maker.proteins
OG0000000	Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2, Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.3, Acerv_evm.model.Segkk2669_pilon.5, Acerv_evm.model.Segkk793_pilon.1	Mcavernosa09902-RA
OG0000000	Acerv_evm.model.Segkk3100_pilon.13	Mcavernosa18934-RA
OG0000001	Acerv_evm.model.Segkk3741_pilon.25	Mcavernosa08070-RA
OG0000001	Acerv_evm.model.Segkk4292_pilon.4, Acerv_evm.model.Segkk142_pilon.1, Acerv_evm.model.Segkk3096_pilon.6, Acerv_evm.model.Segkk0_pilon.4, Acerv_evm.model.Segkk2393_pilon.4, Acerv_evm.model.Segkk2393_pilon.3, Acerv_evm.model.Segkk20_pilon.1, Acerv_evm.model.Segkk2381_pilon.3, Acerv_evm.model.Segkk536_pilon.1, Acerv_evm.model.Segkk3132_pilon.2, Acerv_evm.model.Segkk2381_pilon.2, Acerv_evm.model.Segkk3675_pilon.10, Acerv_evm.model.Segkk3675_pilon.9, Acerv_evm.model.Segkk3654_pilon.6, Acerv_evm.model.Segkk3454_pilon.25, Acerv_evm.model.Segkk833_pilon.2, Acerv_evm.model.Segkk1_pilon.1, Acerv_evm.model.Segkk3366_pilon.1, Acerv_evm.model.Segkk1164_pilon.1, Acerv_evm.model.Segkk1035_pilon.13, Acerv_evm.model.Segkk2238_pilon.1, Acerv_evm.model.Segkk1728_pilon.31, Acerv_evm.model.Segkk1358_pilon.3, Acerv_evm.model.Segkk644_pilon.5, Acerv_evm.model.Segkk3765_pilon.1, Acerv_evm.model.Segkk1851_pilon.3, Acerv_evm.model.Segkk3096_pilon.7, Acerv_evm.model.Segkk356_pilon.2, Acerv_evm.model.Segkk356_pilon.3, Acerv_evm.model.Segkk1409_pilon.2, Acerv_evm.model.Segkk1728_pilon.51, Acerv_evm.model.Segkk73_pilon.12, Acerv_evm.model.Segkk675_pilon.3, Acerv_evm.model.Segkk3996_pilon.1, Acerv_evm.model.Segkk3996_pilon.4, Acerv_evm.model.Segkk1240_pilon.4, Acerv_evm.model.Segkk2435_pilon.5, Acerv_evm.model.Segkk3079_pilon.1, Acerv_evm.model.Segkk3618_pilon.7, Acerv_evm.model.Segkk1330_pilon.6, Acerv_evm.model.Segkk1330_pilon.4, Acerv_evm.model.Segkk2725_pilon.8, Acerv_evm.model.Segkk1628_pilon.5, Acerv_evm.model.Segkk2987_pilon.7, Acerv_evm.model.Segkk1314_pilon.1, Acerv_evm.model.Segkk1225_pilon.18, Acerv_evm.model.Segkk1078_pilon.63, Acerv_evm.model.Segkk2953_pilon.1, Acerv_evm.model.Segkk2091_pilon.1, Acerv_evm.model.Segkk1664_pilon.1, Acerv_evm.model.Segkk2276_pilon.1, Acerv_evm.model.Segkk2689_pilon.4, Acerv_evm.model.Segkk2108_pilon.2, Acerv_evm.model.Segkk2010_pilon.1, Acerv_evm.model.Segkk1211_pilon.12, Acerv_evm.model.Segkk2589_pilon.3, Acerv_evm.model.Segkk3087_pilon.2, Acerv_evm.model.Segkk1853_pilon.8, Acerv_evm.model.Segkk657_pilon.6, Acerv_evm.model.Segkk657_pilon.3, Acerv_evm.model.Segkk2122_pilon.17, Acerv_evm.model.Segkk3979_pilon.5, Acerv_evm.model.Segkk3423_pilon.25, Acerv_evm.model.Segkk3387_pilon.12, Acerv_evm.model.Segkk3166_pilon.1	Mcavernosa18525-RA
OG0000003	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk4332_pilon.12, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7	Mcavernosa06791-RA, Mcavernosa06790-RA
OG0000003	Acerv_evm.model.Segkk3933_pilon.14, Acerv_evm.model.Segkk2361_pilon.3, Acerv_evm.model.Segkk2361_pilon.1, Acerv_evm.model.Segkk2361_pilon.7, Acerv_evm.model.Segkk2361_pilon.5, Acerv_evm.model.Segkk3213_pilon.18, Acerv_evm.model.Segkk3061_pilon.5, Acerv_evm.model.Segkk3213_pilon.12, Acerv_evm.model.Segkk4332_pilon.13, Acerv_evm.model.Segkk601_pilon.11, Acerv_evm.model.Segkk895_pilon.9, Acerv_evm.model.Segkk896_pilon.2, Acerv_evm.model.Segkk1983_pilon.2, Acerv_evm.model.Segkk374_pilon.11, Acerv_evm.model.Segkk719_pilon.3, Acerv_evm.model.Segkk643_pilon.15, Acerv_evm.model.Segkk64_pilon.1, Acerv_evm.model.Segkk643_pilon.10, Acerv_evm.model.Segkk4088_pilon.4, Acerv_evm.model.Segkk1983_pilon.3, Acerv_evm.model.Segkk220_pilon.1	Mcavernosa06384-RA
OG0000004	Acerv_evm.model.Segkk4020_pilon.2, Acerv_evm.model.Segkk308_pilon.1	Mcavernosa15460-RA
OG0000004	Acerv_evm.model.Segkk1426_pilon.5	Mcavernosa05413-RA
OG0000006	Acerv_evm.model.Segkk2089_pilon.8	Mcavernosa29868-RA
OG0000006	Acerv_evm.model.Segkk2089_pilon.12, Acerv_evm.model.Segkk2319_pilon.17, Acerv_evm.model.Segkk1222_pilon.1	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA
OG0000007	Acerv_evm.model.Segkk2112_pilon.21, Acerv_evm.model.Segkk2722_pilon.40	Mcavernosa01452-RA
OG0000007	Acerv_evm.model.Segkk993_pilon.66, Acerv_evm.model.Segkk1674_pilon.3, Acerv_evm.model.Segkk2594_pilon.5, Acerv_evm.model.Segkk3672_pilon.15, Acerv_evm.model.Segkk4308_pilon.23, Acerv_evm.model.Segkk609_pilon.14, Acerv_evm.model.Segkk2782_pilon.38, Acerv_evm.model.Segkk582_pilon.4, Acerv_evm.model.Segkk3655_pilon.32, Acerv_evm.model.Segkk3050_pilon.44, Acerv_evm.model.Segkk3407_pilon.28, Acerv_evm.model.Segkk1281_pilon.46, Acerv_evm.model.Segkk2978_pilon.29, Acerv_evm.model.Segkk3709_pilon.3, Acerv_evm.model.Segkk514_pilon.6, Acerv_evm.model.Segkk524_pilon.75, Acerv_evm.model.Segkk3668_pilon.24, Acerv_evm.model.Segkk582_pilon.5, Acerv_evm.model.Segkk3655_pilon.31, Acerv_evm.model.Segkk2113_pilon.2, Acerv_evm.model.Segkk4065_pilon.16, Acerv_evm.model.Segkk3407_pilon.27, Acerv_evm.model.Segkk3050_pilon.43, Acerv_evm.model.Segkk208_pilon.10, Acerv_evm.model.Segkk564_pilon.1, Acerv_evm.model.Segkk1845_pilon.3, Acerv_evm.model.Segkk2216_pilon.11, Acerv_evm.model.Segkk3859_pilon.7, Acerv_evm.model.Segkk2407_pilon.3, Acerv_evm.model.Segkk2213_pilon.4, Acerv_evm.model.Segkk3883_pilon.8, Acerv_evm.model.Segkk1440_pilon.18, Acerv_evm.model.Segkk4109_pilon.12, Acerv_evm.model.Segkk3167_pilon.6, Acerv_evm.model.Segkk2407_pilon.4, Acerv_evm.model.Segkk2213_pilon.3, Acerv_evm.model.Segkk3859_pilon.8, Acerv_evm.model.Segkk587_pilon.8	Mcavernosa25907-RA
OG0000007	Acerv_evm.model.Segkk2112_pilon.20, Acerv_evm.model.Segkk20_pilon.10, Acerv_evm.model.Segkk5_pilon.1, Acerv_evm.model.Segkk3171_pilon.3, Acerv_evm.model.Segkk4258_pilon.2, Acerv_evm.model.Segkk3493_pilon.2	Mcavernosa29663-RA
OG0000008	Acerv_evm.model.Segkk1302_pilon.1, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12	Mcavernosa22378-RA
OG0000010	Acerv_evm.model.Segkk3577_pilon.2	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000011	Acerv_evm.model.Segkk1487_pilon.2, Acerv_evm.model.Segkk643_pilon.21, Acerv_evm.model.Segkk2308_pilon.2, Acerv_evm.model.Segkk2463_pilon.5, Acerv_evm.model.Segkk3633_pilon.13, Acerv_evm.model.Segkk1120_pilon.4, Acerv_evm.model.Segkk646_pilon.13, Acerv_evm.model.Segkk2896_pilon.5, Acerv_evm.model.Segkk2335_pilon.2, Acerv_evm.model.Segkk4019_pilon.5	Mcavernosa26792-RA
OG0000011	Acerv_evm.model.Segkk650_pilon.39, Acerv_evm.model.Segkk2164_pilon.15	Mcavernosa12123-RA
OG0000011	Acerv_evm.model.Segkk3221_pilon.17, Acerv_evm.model.Segkk3633_pilon.12, Acerv_evm.model.Segkk2308_pilon.3, Acerv_evm.model.Segkk1120_pilon.3, Acerv_evm.model.Segkk643_pilon.20, Acerv_evm.model.Segkk4019_pilon.4	Mcavernosa16688-RA
OG0000011	Acerv_evm.model.Segkk1487_pilon.1, Acerv_evm.model.Segkk2335_pilon.3, Acerv_evm.model.Segkk3972_pilon.8	Mcavernosa26301-RA
OG0000011	Acerv_evm.model.Segkk2529_pilon.12	Mcavernosa13033-RA
OG0000011	Acerv_evm.model.Segkk4189_pilon.1, Acerv_evm.model.Segkk1844_pilon.7, Acerv_evm.model.Segkk3417_pilon.11, Acerv_evm.model.Segkk4273_pilon.2, Acerv_evm.model.Segkk2205_pilon.5, Acerv_evm.model.Segkk3238_pilon.20, Acerv_evm.model.Segkk1554_pilon.5, Acerv_evm.model.Segkk1946_pilon.18, Acerv_evm.model.Segkk1343_pilon.13, Acerv_evm.model.Segkk3324_pilon.1, Acerv_evm.model.Segkk2612_pilon.7, Acerv_evm.model.Segkk3618_pilon.1, Acerv_evm.model.Segkk3221_pilon.18, Acerv_evm.model.Segkk1037_pilon.5, Acerv_evm.model.Segkk3431_pilon.24, Acerv_evm.model.Segkk1003_pilon.2, Acerv_evm.model.Segkk71_pilon.3, Acerv_evm.model.Segkk469_pilon.77, Acerv_evm.model.Segkk1502_pilon.5, Acerv_evm.model.Segkk2908_pilon.9, Acerv_evm.model.Segkk2046_pilon.1, Acerv_evm.model.Segkk1582_pilon.4, Acerv_evm.model.Segkk1380_pilon.13, Acerv_evm.model.Segkk971_pilon.55	Mcavernosa26632-RA
OG0000011	Acerv_evm.model.Segkk126_pilon.30, Acerv_evm.model.Segkk2433_pilon.23	Mcavernosa24720-RA
OG0000011	Acerv_evm.model.Segkk926_pilon.2, Acerv_evm.model.Segkk2851_pilon.12, Acerv_evm.model.Segkk1170_pilon.1, Acerv_evm.model.Segkk971_pilon.69, Acerv_evm.model.Segkk1280_pilon.7	Mcavernosa29991-RA
OG0000011	Acerv_evm.model.Segkk3618_pilon.2, Acerv_evm.model.Segkk3221_pilon.19, Acerv_evm.model.Segkk3219_pilon.4, Acerv_evm.model.Segkk473_pilon.13	Mcavernosa07525-RA
OG0000011	Acerv_evm.model.Segkk21_pilon.13	Mcavernosa32676-RA, Mcavernosa06309-RA
OG0000013	Acerv_evm.model.Segkk266_pilon.1, Acerv_evm.model.Segkk4113_pilon.18, Acerv_evm.model.Segkk4193_pilon.28	Mcavernosa10155-RA, Mcavernosa17863-RA, Mcavernosa23938-RA
OG0000013	Acerv_evm.model.Segkk3416_pilon.13, Acerv_evm.model.Segkk389_pilon.14, Acerv_evm.model.Segkk1478_pilon.9	Mcavernosa06544-RA, Mcavernosa25679-RA
OG0000013	Acerv_evm.model.Segkk1379_pilon.6, Acerv_evm.model.Segkk236_pilon.37, Acerv_evm.model.Segkk1834_pilon.2	Mcavernosa15363-RA, Mcavernosa09402-RA
OG0000013	Acerv_evm.model.Segkk1436_pilon.19	Mcavernosa30294-RA
OG0000014	Acerv_evm.model.Segkk1796_pilon.24, Acerv_evm.model.Segkk1796_pilon.23, Acerv_evm.model.Segkk1796_pilon.22	Mcavernosa08072-RA, Mcavernosa08071-RA
OG0000014	Acerv_evm.model.Segkk1850_pilon.7, Acerv_evm.model.Segkk3763_pilon.9, Acerv_evm.model.Segkk2967_pilon.2, Acerv_evm.model.Segkk2967_pilon.3, Acerv_evm.model.Segkk3763_pilon.6	Mcavernosa26712-RA
OG0000014	Acerv_evm.model.Segkk3203_pilon.2, Acerv_evm.model.Segkk2789_pilon.1, Acerv_evm.model.Segkk1709_pilon.2, Acerv_evm.model.Segkk1583_pilon.2, Acerv_evm.model.Segkk3417_pilon.34, Acerv_evm.model.Segkk3333_pilon.2, Acerv_evm.model.Segkk3519_pilon.1, Acerv_evm.model.Segkk2930_pilon.1, Acerv_evm.model.Segkk3124_pilon.2, Acerv_evm.model.Segkk1514_pilon.7, Acerv_evm.model.Segkk2741_pilon.13, Acerv_evm.model.Segkk465_pilon.5, Acerv_evm.model.Segkk671_pilon.20, Acerv_evm.model.Segkk1622_pilon.2, Acerv_evm.model.Segkk719_pilon.4, Acerv_evm.model.Segkk4189_pilon.2, Acerv_evm.model.Segkk2205_pilon.4, Acerv_evm.model.Segkk3417_pilon.12	Mcavernosa22757-RA
