"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"1","GO:0000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitochondrion inheritance","cell organization and biogenesis","P"
"2","GO:0000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitochondrial genome maintenance","cell organization and biogenesis","P"
"3","GO:0000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reproduction","other biological processes","P"
"4","GO:0000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"high affinity zinc uptake transmembrane transporter activity","transporter activity","F"
"5","GO:0000007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low-affinity zinc ion transmembrane transporter activity","transporter activity","F"
"6","GO:0000009",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alpha-1,6-mannosyltransferase activity","other molecular function","F"
"7","GO:0000010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"trans-hexaprenyltranstransferase activity","other molecular function","F"
"8","GO:0000011",NA,NA,NA,NA,NA,NA,NA,NA,NA,"vacuole inheritance","cell organization and biogenesis","P"
"9","GO:0000012",NA,NA,NA,NA,NA,NA,NA,NA,NA,"single strand break repair","stress response","P"
"10","GO:0000012",NA,NA,NA,NA,NA,NA,NA,NA,NA,"single strand break repair","DNA metabolism","P"
"11","GO:0000014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"single-stranded DNA specific endodeoxyribonuclease activity","other molecular function","F"
"12","GO:0000015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"phosphopyruvate hydratase complex","cytosol","C"
"13","GO:0000016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lactase activity","other molecular function","F"
"14","GO:0000017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alpha-glucoside transport","transport","P"
"15","GO:0000018",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regulation of DNA recombination","DNA metabolism","P"
"16","GO:0000019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regulation of mitotic recombination","DNA metabolism","P"
"17","GO:0000022",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitotic spindle elongation","cell cycle and proliferation","P"
"18","GO:0000022",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitotic spindle elongation","cell organization and biogenesis","P"
"19","GO:0000023",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maltose metabolic process","other metabolic processes","P"
"20","GO:0000024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maltose biosynthetic process","other metabolic processes","P"
"21","GO:0000025",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maltose catabolic process","other metabolic processes","P"
"22","GO:0000026",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alpha-1,2-mannosyltransferase activity","other molecular function","F"
"23","GO:0000027",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ribosomal large subunit assembly","cell organization and biogenesis","P"
"24","GO:0000028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ribosomal small subunit assembly","cell organization and biogenesis","P"
"25","GO:0000030",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mannosyltransferase activity","other molecular function","F"
"26","GO:0000031",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mannosylphosphate transferase activity","other molecular function","F"
"27","GO:0000032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cell wall mannoprotein biosynthetic process","other metabolic processes","P"
"28","GO:0000033",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alpha-1,3-mannosyltransferase activity","other molecular function","F"
"29","GO:0000034",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adenine deaminase activity","other molecular function","F"
"30","GO:0000035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"acyl binding","other molecular function","F"
"31","GO:0000036",NA,NA,NA,NA,NA,NA,NA,NA,NA,"acyl carrier activity","transporter activity","F"
"32","GO:0000038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"very-long-chain fatty acid metabolic process","other metabolic processes","P"
"33","GO:0000040",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low-affinity iron ion transport","transport","P"
"34","GO:0000041",NA,NA,NA,NA,NA,NA,NA,NA,NA,"transition metal ion transport","transport","P"
"35","GO:0000042",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein targeting to Golgi","transport","P"
"36","GO:0000045",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole formation","stress response","P"
"37","GO:0000045",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole formation","other metabolic processes","P"
"38","GO:0000045",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole formation","cell organization and biogenesis","P"
"39","GO:0000046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole fusion","stress response","P"
"40","GO:0000046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole fusion","other metabolic processes","P"
"41","GO:0000046",NA,NA,NA,NA,NA,NA,NA,NA,NA,"autophagic vacuole fusion","cell organization and biogenesis","P"
"42","GO:0000048",NA,NA,NA,NA,NA,NA,NA,NA,NA,"peptidyltransferase activity","other molecular function","F"
"43","GO:0000049",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tRNA binding","nucleic acid binding activity","F"
"44","GO:0000050",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urea cycle","other metabolic processes","P"
"45","GO:0000052",NA,NA,NA,NA,NA,NA,NA,NA,NA,"citrulline metabolic process","other metabolic processes","P"
"46","GO:0000053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"argininosuccinate metabolic process","other metabolic processes","P"
"47","GO:0000054",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ribosome export from nucleus","transport","P"
"48","GO:0000055",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ribosomal large subunit export from nucleus","transport","P"
"49","GO:0000056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ribosomal small subunit export from nucleus","transport","P"
"50","GO:0000059",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein import into nucleus, docking","transport","P"
"51","GO:0000059",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein import into nucleus, docking","cell organization and biogenesis","P"
"52","GO:0000060",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein import into nucleus, translocation","transport","P"
"53","GO:0000061",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein import into nucleus, substrate release","transport","P"
"54","GO:0000061",NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein import into nucleus, substrate release","cell organization and biogenesis","P"
"55","GO:0000062",NA,NA,NA,NA,NA,NA,NA,NA,NA,"acyl-CoA binding","other molecular function","F"
"56","GO:0000064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-ornithine transmembrane transporter activity","transporter activity","F"
"57","GO:0000066",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitochondrial ornithine transport","transport","P"
"58","GO:0000070",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitotic sister chromatid segregation","cell cycle and proliferation","P"
"59","GO:0000070",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitotic sister chromatid segregation","cell organization and biogenesis","P"
"60","GO:0000072",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M phase specific microtubule process","cell cycle and proliferation","P"
"61","GO:0000073",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spindle pole body separation","cell cycle and proliferation","P"
"62","GO:0000073",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spindle pole body separation","cell organization and biogenesis","P"
"63","GO:0000075",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cell cycle checkpoint","cell cycle and proliferation","P"
"64","GO:0000076",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNA replication checkpoint","cell cycle and proliferation","P"
"65","GO:0000076",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNA replication checkpoint","DNA metabolism","P"
"66","GO:0000077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNA damage checkpoint","cell cycle and proliferation","P"
"67","GO:0000077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNA damage checkpoint","signal transduction","P"
"68","GO:0000077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNA damage checkpoint","stress response","P"
"69","GO:0000078",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cell morphogenesis checkpoint","cell cycle and proliferation","P"
"70","GO:0000078",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cell morphogenesis checkpoint","cell organization and biogenesis","P"
"71","GO:0000079",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regulation of cyclin-dependent protein kinase activity","cell cycle and proliferation","P"
"72","GO:0000079",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regulation of cyclin-dependent protein kinase activity","other metabolic processes","P"
"73","GO:0000080",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G1 phase of mitotic cell cycle","cell cycle and proliferation","P"
"74","GO:0000082",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G1/S transition of mitotic cell cycle","cell cycle and proliferation","P"
