"","gene_id","GO.ID"
"1","Mcavernosa00001-RA","GO:0007154;GO:0016020;GO:0007154,GO:0016020"
"2","Mcavernosa00011-RA","GO:0016409"
"3","Mcavernosa00014-RA","GO:0005634"
"4","Mcavernosa00015-RA","GO:0005515"
"5","Mcavernosa00017-RA","GO:0004096;GO:0020037;GO:0055114;GO:0005515;GO:0005509;GO:0016020;GO:0004096,GO:0020037,GO:0055114;GO:0005509,GO:0016020"
"6","Mcavernosa00023-RA","GO:0004672;GO:0005524;GO:0006468;GO:0005524;GO:0004672;GO:0006468;GO:0004672,GO:0005524,GO:0006468;GO:0004672,GO:0006468"
"7","Mcavernosa00024-RA","GO:0003924;GO:0005525;GO:0005525;GO:0003924,GO:0005525"
"8","Mcavernosa00025-RA","GO:0005525;GO:0003924;GO:0005525;GO:0003924,GO:0005525"
"9","Mcavernosa00034-RA","GO:0003676"
"10","Mcavernosa00037-RA","GO:0005524;GO:0004713;GO:0006468;GO:0005525;GO:0004672;GO:0005524;GO:0006468;GO:0003924;GO:0005525;GO:0004672;GO:0006468;GO:0004713,GO:0006468;GO:0004672,GO:0005524,GO:0006468;GO:0003924,GO:0005525;GO:0004672,GO:0006468"
"11","Mcavernosa00038-RA","GO:0004672;GO:0005524;GO:0006468;GO:0004672;GO:0006468;GO:0003924;GO:0005525;GO:0005525;GO:0004713;GO:0006468;GO:0005524;GO:0004672,GO:0005524,GO:0006468;GO:0004672,GO:0006468;GO:0003924,GO:0005525;GO:0004713,GO:0006468"
"12","Mcavernosa00043-RA","GO:0005515"
"13","Mcavernosa00044-RA","GO:0005643;GO:0016973;GO:0005643,GO:0016973"
"14","Mcavernosa00045-RA","GO:0004222;GO:0006508;GO:0008237;GO:0004222,GO:0006508"
"15","Mcavernosa00046-RA","GO:0055114"
"16","Mcavernosa00047-RA","GO:0005515;GO:0005509"
"17","Mcavernosa00053-RA","GO:0016787"
"18","Mcavernosa00054-RA","GO:0008239;GO:0016787"
"19","Mcavernosa00055-RA","GO:0008239;GO:0016787"
"20","Mcavernosa00056-RA","GO:0008239;GO:0016787"
"21","Mcavernosa00057-RA","GO:0016021"
"22","Mcavernosa00059-RA","GO:0016021"
"23","Mcavernosa00066-RA","GO:0008270"
