,GO.IDs,gene_id,term,ontology,over_represented_pvalue,log2FoldChange,padj,Treatment_Compare,Species,Site,GO.Term,GO.Slim.Term,Cat
818,GO:0001502,Mcavernosa15503,cartilage condensation,BP,0.043304951,-2.09934597,0.008148406,CvsT3,M.cavernosa,Florida,cartilage condensation,cell adhesion,P
820,GO:0001502,Mcavernosa15503,cartilage condensation,BP,0.043304951,-1.847841721,0.036764989,CvsT2,M.cavernosa,Florida,cartilage condensation,cell adhesion,P
8498,GO:0010811,Mcavernosa03157,positive regulation of cell-substrate adhesion,BP,0.035030598,-2.306681698,0.013384452,CvsT2,M.cavernosa,Florida,positive regulation of cell-substrate adhesion,cell adhesion,P
17968,GO:0034116,Mcavernosa25973,positive regulation of heterotypic cell-cell adhesion,BP,0.009416404,2.726494755,0.002353914,T2vsT3,M.cavernosa,Florida,positive regulation of heterotypic cell-cell adhesion,cell adhesion,P
17970,GO:0034116,Mcavernosa25973,positive regulation of heterotypic cell-cell adhesion,BP,0.009416404,-2.719399108,0.000239703,CvsT2,M.cavernosa,Florida,positive regulation of heterotypic cell-cell adhesion,cell adhesion,P
1046,GO:0001770,Mcavernosa02339,establishment of natural killer cell polarity,BP,0.005106591,1.071517133,0.018244336,CvsT2,M.cavernosa,Florida,establishment of natural killer cell polarity,cell organization and biogenesis,P
1407,GO:0002090,Mcavernosa25973,regulation of receptor internalization,BP,0.029506907,2.726494755,0.002353914,T2vsT3,M.cavernosa,Florida,regulation of receptor internalization,cell organization and biogenesis,P
1410,GO:0002090,Mcavernosa25973,regulation of receptor internalization,BP,0.029506907,-2.719399108,0.000239703,CvsT2,M.cavernosa,Florida,regulation of receptor internalization,cell organization and biogenesis,P
8681,GO:0010976,Mcavernosa12043,positive regulation of neuron projection development,BP,0.032260528,-1.650718202,0.004011494,CvsT3,M.cavernosa,Florida,positive regulation of neuron projection development,cell organization and biogenesis,P
8683,GO:0010976,Mcavernosa12043,positive regulation of neuron projection development,BP,0.032260528,-1.845778008,0.000320485,CvsT2,M.cavernosa,Florida,positive regulation of neuron projection development,cell organization and biogenesis,P
8685,GO:0010976,Mcavernosa12043,positive regulation of neuron projection development,BP,0.032260528,-1.621453401,0.008349794,CvsT4,M.cavernosa,Florida,positive regulation of neuron projection development,cell organization and biogenesis,P
