"","gene_id","scaffold","gene.start","gene.stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Treatment_Compare"
"3","Mcavernosa00017","Sc0000007",216365,232612,16247,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"25","Mcavernosa00359","Sc0000009",664675,679313,14638,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"38","Mcavernosa00560","Sc0000011",77454,78161,707,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"49","Mcavernosa00863","Sc0000013",1096782,1103292,6510,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"60","Mcavernosa00974","Sc0000014",981159,984953,3794,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"93","Mcavernosa01829","Sc0000020",754174,762014,7840,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"97","Mcavernosa02065","Sc0000022",950787,955317,4530,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"99","Mcavernosa02071","Sc0000022",989902,994419,4517,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"105","Mcavernosa02144","Sc0000023",844730,857136,12406,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"110","Mcavernosa02268","Sc0000073",344520,347466,2946,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"125","Mcavernosa02461","Sc0000076",426293,431781,5488,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"131","Mcavernosa02587","Sc0000078",390479,403241,12762,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"139","Mcavernosa02840","Sc0000081",151090,152421,1331,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"144","Mcavernosa02958","Sc0000083",105788,111042,5254,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"192","Mcavernosa04219","Sc0000034",830031,843852,13821,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"244","Mcavernosa05814","Sc0000129",417196,418755,1559,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"264","Mcavernosa06389","Sc0000001",611932,617905,5973,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"271","Mcavernosa06504","Sc0000002",166788,185623,18835,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"275","Mcavernosa06506","Sc0000002",191570,201642,10072,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"289","Mcavernosa07156","Sc0000006",674055,679241,5186,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"335","Mcavernosa08225","Sc0000045",173360,200110,26750,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"349","Mcavernosa08569","Sc0000199",359011,412027,53016,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"369","Mcavernosa09267","Sc0000215",447440,454939,7499,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"371","Mcavernosa09268","Sc0000215",456006,464604,8598,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"374","Mcavernosa09327","Sc0000460",242046,248502,6456,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"413","Mcavernosa10548","Sc0000427",249357,263711,14354,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"414","Mcavernosa10628","Sc0000431",163923,177988,14065,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"421","Mcavernosa10712","Sc0000435",156024,157204,1180,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"425","Mcavernosa10718","Sc0000435",191867,192549,682,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"430","Mcavernosa10722","Sc0000435",221644,226717,5073,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"485","Mcavernosa11979","Sc0000257",352124,356415,4291,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"487","Mcavernosa11980","Sc0000257",364789,369200,4411,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"490","Mcavernosa11982","Sc0000257",409541,415275,5734,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"534","Mcavernosa13724","Sc0000164",191176,197225,6049,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"546","Mcavernosa13800","Sc0000166",439466,447695,8229,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"559","Mcavernosa14054","Sc0000170",179437,183584,4147,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"567","Mcavernosa14107","Sc0000171",197715,219111,21396,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"583","Mcavernosa14417","Sc0000218",375531,385331,9800,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"588","Mcavernosa14567","Sc0000221",310639,335403,24764,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"590","Mcavernosa14584","Sc0000222",10572,15894,5322,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"622","Mcavernosa15723","Sc0000395",218586,221036,2450,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"627","Mcavernosa15772","Sc0000397",119892,157910,38018,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"645","Mcavernosa16112","xfSc0000020",197893,200391,2498,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"696","Mcavernosa16967","Sc0000066",515344,526143,10799,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"698","Mcavernosa16968","Sc0000066",539232,548975,9743,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"706","Mcavernosa16977","Sc0000066",626674,635210,8536,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"739","Mcavernosa18053","xfSc0000051",92168,98177,6009,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"768","Mcavernosa18882","Sc0000311",248074,249063,989,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"784","Mcavernosa19611","Sc0000336",46862,52513,5651,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"785","Mcavernosa19612","Sc0000336",58264,65605,7341,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"786","Mcavernosa19613","Sc0000336",74230,78108,3878,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"787","Mcavernosa19614","Sc0000336",90204,90527,323,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"793","Mcavernosa19871","Sc0000345",34185,46509,12324,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"816","Mcavernosa20650","Sc0000613",8470,25457,16987,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"820","Mcavernosa20657","Sc0000613",47202,63066,15864,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
