"","prot","Predict","GO_term"
"1","Mcavernosa24163-RA","CDD","GO:0030904,GO:0042147"
"2","Mcavernosa31355-RA","Pfam","GO:0016787"
"3","Mcavernosa31355-RA","PRINTS","GO:0016787"
"4","Mcavernosa31355-RA","PRINTS","GO:0016787"
"5","Mcavernosa31355-RA","PRINTS","GO:0016787"
"6","Mcavernosa31355-RA","PRINTS","GO:0016787"
"7","Mcavernosa31355-RA","SMART","GO:0016787"
"8","Mcavernosa31355-RA","ProSitePatterns","GO:0016787"
"9","Mcavernosa18860-RA","ProSiteProfiles","GO:0005515"
"10","Mcavernosa18860-RA","SMART","GO:0005515"
"11","Mcavernosa18860-RA","SMART","GO:0005515"
"12","Mcavernosa18860-RA","SMART","GO:0005515"
"13","Mcavernosa18860-RA","SMART","GO:0005515"
"14","Mcavernosa18860-RA","SMART","GO:0005515"
"15","Mcavernosa18860-RA","SMART","GO:0005515"
"16","Mcavernosa18860-RA","SMART","GO:0005515"
"17","Mcavernosa15341-RA","PRINTS","GO:0055114"
"18","Mcavernosa15341-RA","PRINTS","GO:0055114"
"19","Mcavernosa15341-RA","PRINTS","GO:0055114"
"20","Mcavernosa15341-RA","ProSitePatterns","GO:0016491"
"21","Mcavernosa15341-RA","Pfam","GO:0055114"
"22","Mcavernosa02949-RA","ProSitePatterns","GO:0016491,GO:0055114"
"23","Mcavernosa02949-RA","Gene3D","GO:0016491,GO:0016620,GO:0055114"
"24","Mcavernosa02949-RA","Gene3D","GO:0016491,GO:0055114"
"25","Mcavernosa02949-RA","SUPERFAMILY","GO:0016491,GO:0055114"
"26","Mcavernosa02949-RA","ProSitePatterns","GO:0016491,GO:0055114"
"27","Mcavernosa02949-RA","Pfam","GO:0016491,GO:0055114"
"28","Mcavernosa30499-RA","Gene3D","GO:0005506,GO:0016705,GO:0020037,GO:0055114"
"29","Mcavernosa30593-RA","SUPERFAMILY","GO:0004842"
"30","Mcavernosa02407-RA","PRINTS","GO:0005347,GO:0055085"
"31","Mcavernosa02407-RA","PRINTS","GO:0005347,GO:0055085"
