"","gene_id","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","scaffold.y","gene.start.y","gene.stop.y","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","Mcavernosa00001",83,21.2376153269723,3.05316945190261,0.712480265583676,4.28526879885072,1.82518373462487e-05,0.0140070393688954,"CvsT3",14,10,76,83,9,19,8,9,136,3,0,8,11,31,13,"Sc0000007",323,85594,85271,"GO:0007154",0.0354246941214408,0.999431344828769,1,11,"cell communication","BP"
"2","Mcavernosa00001",83,21.2376153269723,3.05316945190261,0.712480265583676,4.28526879885072,1.82518373462487e-05,0.0140070393688954,"CvsT3",14,10,76,83,9,19,8,9,136,3,0,8,11,31,13,"Sc0000007",323,85594,85271,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC"
"6","Mcavernosa01732",39,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,"Sc0000019",392358,408525,16167,"GO:0009190",0.0446752593323449,0.999073223662384,1,14,"cyclic nucleotide biosynthetic process","BP"
"7","Mcavernosa01732",39,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,"Sc0000019",392358,408525,16167,"GO:0006182",0.021014032896548,0.999812282293317,1,7,"cGMP biosynthetic process","BP"
"8","Mcavernosa01732",39,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,"Sc0000019",392358,408525,16167,"GO:0004383",0.021014032896548,0.999812282293317,1,7,"guanylate cyclase activity","MF"
"9","Mcavernosa01732",39,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,"Sc0000019",392358,408525,16167,"GO:0016849",0.028737996393536,0.999634927480844,1,9,"phosphorus-oxygen lyase activity","MF"
"10","Mcavernosa02339",60,129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2",159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,"Sc0000074",591030,593979,2949,"GO:0017017",0.0218437694884248,0.999822319847867,1,4,"MAP kinase tyrosine/serine/threonine phosphatase activity","MF"
"29","Mcavernosa09510",85,62.576188560493,-1.08736157483386,0.278917169846064,-3.89851071353541,9.67861193461543e-05,0.047484759168444,"CvsT3",81,47,41,97,41,65,44,62,81,35,84,89,61,66,55,"Sc0000468",26786,32508,5722,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP"
"30","Mcavernosa09510",85,62.576188560493,-1.08736157483386,0.278917169846064,-3.89851071353541,9.67861193461543e-05,0.047484759168444,"CvsT3",81,47,41,97,41,65,44,62,81,35,84,89,61,66,55,"Sc0000468",26786,32508,5722,"GO:0008137",0.0408253794783819,0.999271220090235,1,8,"NADH dehydrogenase (ubiquinone) activity","MF"
"31","Mcavernosa10311",49,461.0292515652,-0.590039990950675,0.141124343011612,-4.18099371348092,2.90237889443592e-05,0.0134433890569687,"CvsT2",493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444,"Sc0000420",233260,247462,14202,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC"
