Accession	Sample Name	SPUID	Organism	Tax ID	Breed	Isolate	BioProject
SAMN32615012	17_ctl2_Of_ZTH	17_ctl2_Of_ZTH	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615013	18_T3.3_Of_VLL	18_T3.3_Of_VLL	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615014	19_T3.3_Ac_WK	19_T3.3_Ac_WK	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615015	20_T1.2_Mc_PWC	20_T1.2_Mc_PWC	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615016	21_T3.3_Mc_EOU	21_T3.3_Mc_EOU	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615017	22_ctl2_Mc_TWF	22_ctl2_Mc_TWF	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615018	23_ctl1_Of_CTX	23_ctl1_Of_CTX	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615019	24_T1.2_Ac_FM	24_T1.2_Ac_FM	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615020	25_ctl1_Ac_GF	25_ctl1_Ac_GF	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615021	26_T1.2_Of_WCL	26_T1.2_Of_WCL	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615022	27_ctl2_Ac_YG	27_ctl2_Ac_YG	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615023	28_ctl1_Mc_GBM	28_ctl1_Mc_GBM	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615024	29_T2.3_Mc_PND	29_T2.3_Mc_PND	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615025	30_T2.3_Of_RPG	30_T2.3_Of_RPG	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615026	31_T2.2_Ac_UV	31_T2.2_Ac_UV	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615027	32_T2.2_Of_EVR	32_T2.2_Of_EVR	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615028	33_T4.3_Mc_RFV	33_T4.3_Mc_RFV	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615029	34_T2.2_Mc_SVS	34_T2.2_Mc_SVS	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615030	35_T4.3_Ac_MT	35_T4.3_Ac_MT	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615031	36_T4.3_Of_JJN	36_T4.3_Of_JJN	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615032	37_T1.3_Ac_ML	37_T1.3_Ac_ML	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615033	38_T2.3_Ac_IN	38_T2.3_Ac_IN	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615034	39_T1.3_Mc_FJE	39_T1.3_Mc_FJE	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
SAMN32615035	40_T1.3_Of_GWS	40_T1.3_Of_GWS	Orbicella faveolata	48498	Not applicable	Coral host	PRJNA911752
SAMN32615036	41_ctl3_Ac_RN	41_ctl3_Ac_RN	Acropora cervicornis	6130	Not applicable	Coral host	PRJNA911752
SAMN32615037	42_ctl3_Mc_MGR	42_ctl3_Mc_MGR	Montastraea cavernosa	63558	Not applicable	Coral host	PRJNA911752
