gene_id,length
plut2.m8.2802.m1,1200
plut2.m8.2027.m1,1223
plut2.m8.24827.m1,186
plut2.m8.11339.m1,2094
plut2.m8.20714.m1,2195
plut2.m8.18462.m1,207
plut2.m8.2524.m1,2963
plut2.m8.8089.m1,1835
plut2.m8.24415.m1,1997
plut2.m8.23377.m1,471
plut2.m8.9571.m1,622
plut2.m8.11175.m1,252
plut2.m8.18707.m1,1563
plut2.m8.4869.m1,768
plut2.m8.11314.m1,939
jamg1.model.Sc0000149.40,399
plut2.m8.23644.m1,465
plut2.m8.33112.m1,1732
plut2.m8.2384.m1,3733
plut2.m8.25702.m1,1753
plut2.m8.29695.m1,973
plut2.m8.12567.m1,2170
plut2.m8.2953.m1,192
plut2.m8.27464.m1,1310
plut2.m8.23294.m1,495
plut2.m8.29550.m1,1324
plut2.m8.10501.m1,876
plut2.m8.23579.m1,1141
plut2.m8.17509.m1,3267
plut2.m8.18166.m1,2742
plut2.m8.27291.m1,1263
plut2.m8.4505.m1,1603
plut2.m8.8690.m1,1022
plut2.m8.2841.m1,2981
plut2.m8.17475.m1,2846
plut2.m8.24058.m1,1329
plut2.m8.15053.m1,1509
jamg1.model.xpSc0007153.4,816
jamg1.model.xpSc0007153.3,744
plut2.m8.5091.m1,1736
jamg1.model.xpSc0007153.8,381
plut2.m8.12810.m1,4954
plut2.m8.3925.m1,1221
plut2.m8.11195.m1,983
jamg1.model.Sc0000011.161,768
plut2.m8.23322.m1,3878
plut2.m8.23762.m1,10089
plut2.m8.24704.m1,219
plut2.m8.22891.m1,687
plut2.m8.29597.m1,870
plut2.m8.25994.m1,3672
jamg1.model.Sc0000440.50,1182
plut2.m8.12168.m1,1023
plut2.m8.15282.m1,1704
plut2.m8.7359.m1,2685
plut2.m8.5836.m1,354
plut2.m8.18079.m1,3252
plut2.m8.22046.m1,1836
plut2.m8.7389.m1,1482
plut2.m8.16136.m1,1164
jamg1.model.Sc0000320.8,660
plut2.m8.7080.m1,2125
plut2.m8.2631.m1,2895
plut2.m8.8780.m1,1079
plut2.m8.20284.m1,2447
plut2.m8.20215.m1,841
plut2.m8.22599.m1,802
plut2.m8.21789.m1,1677
plut2.m8.16402.m1,850
plut2.m8.5362.m1,2277
plut2.m8.19020.m1,210
plut2.m8.22547.m1,6575
plut2.m8.22788.m1,600
plut2.m8.15350.m1,1035
plut2.m8.68.m1,5937
plut2.m8.33004.m1,1267
plut2.m8.1850.m1,1491
plut2.m8.18416.m1,2246
plut2.m8.32776.m1,2667
plut2.m8.32631.m1,480
plut2.m8.3967.m1,524
plut2.m8.22127.m1,1200
plut2.m8.32964.m1,1734
plut2.m8.11814.m1,3365
plut2.m8.20800.m1,2733
plut2.m8.24874.m1,4335
plut2.m8.2370.m1,1461
plut2.m8.8076.m1,999
plut2.m8.19423.m1,1310
plut2.m8.10816.m1,1065
plut2.m8.24107.m1,2307
plut2.m8.7521.m1,675
plut2.m8.11458.m1,465
plut2.m8.31373.m1,1933
plut2.m8.12836.m1,1199
plut2.m8.12525.m1,3005
plut2.m8.22414.m1,294
plut2.m8.27415.m1,2125
plut2.m8.12480.m1,5777
plut2.m8.18469.m1,5144
jamg1.model.Sc0000001.214,1260
plut2.m8.27380.m1,701
plut2.m8.11904.m1,1083
plut2.m8.23613.m1,495
jamg1.model.Sc0000405.21,831
jamg1.model.Sc0000405.22,792
plut2.m8.12995.m1,1040
plut2.m8.15612.m1,1167
plut2.m8.25470.m1,4019
jamg1.model.Sc0000405.29,1089
plut2.m8.19995.m1,2080
jamg1.model.xfSc0000660.1,2160
plut2.m8.22525.m1,6152
plut2.m8.15589.m1,2062
plut2.m8.5524.m1,1581
plut2.m8.26686.m1,516
plut2.m8.15251.m1,2041
plut2.m8.22742.m1,996
plut2.m8.19866.m1,435
plut2.m8.19191.m1,834
plut2.m8.5213.m1,1998
plut2.m8.29057.m1,2952
plut2.m8.12475.m1,762
jamg1.model.Sc0000152.51,2970
plut2.m8.1350.m1,3693
plut2.m8.31433.m1,3096
plut2.m8.4390.m1,3817
plut2.m8.29883.m1,1667
plut2.m8.32242.m1,279
plut2.m8.22820.m1,1818
plut2.m8.22923.m1,1207
plut2.m8.15651.m1,564
plut2.m8.26953.m1,3234
plut2.m8.30523.m1,282
plut2.m8.6634.m1,1581
plut2.m8.17546.m1,1086
plut2.m8.16631.m1,7070
plut2.m8.12314.m1,711
plut2.m8.15881.m1,771
plut2.m8.21118.m1,3276
plut2.m8.5192.m1,1323
plut2.m8.4105.m1,3212
plut2.m8.30684.m1,1005
plut2.m8.20982.m1,1586
plut2.m8.8731.m1,831
plut2.m8.6951.m1,2367
plut2.m8.2750.m1,741
plut2.m8.19427.m1,2785
plut2.m8.22456.m1,3628
jamg1.model.Sc0000163.47,789
jamg1.model.Sc0000360.32,756
plut2.m8.8410.m1,940
plut2.m8.32039.m1,605
plut2.m8.7318.m1,498
plut2.m8.22558.m1,411
plut2.m8.29849.m1,6730
plut2.m8.4802.m1,3639
plut2.m8.27700.m1,1164
plut2.m8.30925.m1,4557
plut2.m8.29579.m1,450
plut2.m8.20986.m1,759
plut2.m8.29164.m1,2017
plut2.m8.10418.m1,198
plut2.m8.26010.m1,1306
plut2.m8.27278.m1,1730
plut2.m8.19678.m1,3350
plut2.m8.1658.m1,2298
plut2.m8.12296.m1,3069
plut2.m8.15789.m1,453
plut2.m8.25677.m1,1512
plut2.m8.9967.m1,2805
plut2.m8.3776.m1,1312
plut2.m8.14863.m1,2620
plut2.m8.16523.m1,7647
plut2.m8.16378.m1,1676
plut2.m8.16020.m1,3981
plut2.m8.12548.m1,1447
plut2.m8.10465.m1,753
plut2.m8.6718.m1,1495
plut2.m8.12738.m1,1975
plut2.m8.7476.m1,3494
plut2.m8.25199.m1,1426
plut2.m8.8139.m1,573
plut2.m8.8602.m1,3695
plut2.m8.17491.m1,2610
plut2.m8.17322.m1,1273
plut2.m8.14868.m1,1573
plut2.m8.18594.m1,2683
plut2.m8.19014.m1,1032
plut2.m8.1875.m1,3612
