Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
17_ctl2_Of_ZTH_1	53.5916817927	121.404671283	16609827.0	18.1818181818	42.0
22_ctl2_Mc_TWF_1	52.8117498447	116.700406895	9117346.0	36.3636363636	40.0
23_ctl1_Of_CTX_1	58.5050999478	121.293423519	9672984.0	18.1818181818	44.0
25_ctl1_Ac_GF_1	46.3969077086	122.329584521	14537136.0	9.09090909091	43.0
27_ctl2_Ac_YG_1	46.6910809293	122.114100408	15618761.0	9.09090909091	43.0
28_ctl1_Mc_GBM_1	45.6747233785	122.03889465	18735353.0	9.09090909091	44.0
41_ctl3_Ac_RN_1	48.8925458255	121.631365336	16334644.0	9.09090909091	43.0
42_ctl3_Mc_MGR_1	42.1295005853	121.886662917	16398481.0	18.1818181818	47.0
43_ctl3_Of_JVP_1	48.6715650911	120.996488229	15683539.0	9.09090909091	41.0
44_T41_Of_PVT_1	49.4657532452	122.100177593	14443689.0	9.09090909091	41.0
45_T41_Ac_SC_1	50.8651460741	121.896921912	20138121.0	18.1818181818	43.0
46_T41_Mc_QYH_1	40.4932601244	121.989999501	13494826.0	18.1818181818	49.0
