"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"32","GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP"
"21","GO:0016020",0.0039350225036738,0.999128213665629,7,455,"membrane","CC"
"25","GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF"
"7","GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF"
"13","GO:0006979",0.000117961933897199,0.999997675979609,3,20,"response to oxidative stress","BP"
"30","GO:0046872",0.0226115979459173,0.996875779936136,3,145,"metal ion binding","MF"
"4","GO:0004129",0.00055307423711861,0.999995583518457,2,6,"cytochrome-c oxidase activity","MF"
"17","GO:0009060",3.66693191249015e-05,1,2,2,"aerobic respiration","BP"
"19","GO:0015078",0.000961853279794035,0.999988278447883,2,10,"proton transmembrane transporter activity","MF"
"20","GO:0015986",0.00118038385018125,0.999984384775385,2,9,"ATP synthesis coupled proton transport","BP"
"29","GO:0045263",8.57978224259206e-05,0.999999849976218,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"1","GO:0000105",0.0362354007458493,0.999438482214746,1,7,"histidine biosynthetic process","BP"
"2","GO:0000786",0.0387485950479062,0.999344014221586,1,8,"nucleosome","CC"
"3","GO:0003714",0.0257434047668552,0.999725537282452,1,6,"transcription corepressor activity","MF"
"5","GO:0004383",0.021014032896548,0.999812282293317,1,7,"guanylate cyclase activity","MF"
"6","GO:0004399",0.00344892307337557,1,1,1,"histidinol dehydrogenase activity","MF"
"8","GO:0004635",0.00344892307337557,1,1,1,"phosphoribosyl-AMP cyclohydrolase activity","MF"
"9","GO:0004636",0.00344892307337557,1,1,1,"phosphoribosyl-ATP diphosphatase activity","MF"
"10","GO:0004675",0.01397590675301,0.999927509963858,1,4,"transmembrane receptor protein serine/threonine kinase activity","MF"
"11","GO:0005262",0.0367119626021935,0.999395009042397,1,10,"calcium channel activity","MF"
"12","GO:0006182",0.021014032896548,0.999812282293317,1,7,"cGMP biosynthetic process","BP"
"14","GO:0007154",0.0354246941214408,0.999431344828769,1,11,"cell communication","BP"
"15","GO:0007178",0.01397590675301,0.999927509963858,1,4,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"16","GO:0008137",0.0408253794783819,0.999271220090235,1,8,"NADH dehydrogenase (ubiquinone) activity","MF"
"18","GO:0009190",0.0446752593323449,0.999073223662384,1,14,"cyclic nucleotide biosynthetic process","BP"
"22","GO:0016849",0.028737996393536,0.999634927480844,1,9,"phosphorus-oxygen lyase activity","MF"
"23","GO:0017017",0.0218437694884248,0.999822319847867,1,4,"MAP kinase tyrosine/serine/threonine phosphatase activity","MF"
"24","GO:0019001",0.0428436947539198,0.999184161915961,1,9,"guanyl nucleotide binding","MF"
"26","GO:0031683",0.0428436947539198,0.999184161915961,1,9,"G-protein beta/gamma-subunit complex binding","MF"
"27","GO:0038023",0.0212308358194467,0.999808372603324,1,7,"signaling receptor activity","MF"
"28","GO:0043235",0.0077699665006041,0.999980132206609,1,3,"receptor complex","CC"
"31","GO:0051920",0.0242976782160325,0.99976535025577,1,5,"peroxiredoxin activity","MF"
"33","GO:0070588",0.0408983807746931,0.999234211591375,1,12,"calcium ion transmembrane transport","BP"
