"","gene","GO.ID","term","ontology","over_represented_pvalue","6_1","9_1","25_1","26_1","8_1","21_1","29_1","34_1","7_1","22_1","23_1","27_1"
"1","jamg1.TU.Sc0000020.96","NA","NA","NA","NA",143,25,70,63,24,146,74,46,62,63,79,43
"2","jamg1.TU.Sc0000051.45","NA","NA","NA","NA",604,141,484,422,81,152,126,71,130,157,182,98
"3","jamg1.TU.Sc0000055.95","NA","NA","NA","NA",35,8,24,17,10,116,73,5,8,6,6,10
"4","jamg1.TU.Sc0000101.46","NA","NA","NA","NA",197,24,153,89,31,79,63,36,103,157,78,97
"5","jamg1.TU.Sc0000117.30","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",261,68,274,145,143,275,209,73,115,170,150,148
"6","jamg1.TU.Sc0000225.27","NA","NA","NA","NA",1339,118,697,519,227,635,431,289,519,731,740,577
"7","jamg1.TU.Sc0000225.29","NA","NA","NA","NA",812,86,451,363,165,330,275,231,308,429,506,344
"8","jamg1.TU.Sc0000551.3","NA","NA","NA","NA",35,3,10,8,20,52,27,13,18,20,25,31
"9","jamg1.TU.Sc0000556.6","NA","NA","NA","NA",93,49,154,64,29,37,27,7,7,13,18,8
"10","jamg1.TU.Sc0000654.3","NA","NA","NA","NA",17,4,10,12,9,30,20,10,28,12,17,8
"11","jamg1.TU.xfSc0000469.4","GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",23,11,29,17,10,60,68,6,11,14,13,8
"12","jamg1.TU.xfSc0000800.1","GO:0004672,GO:0004672,GO:0004672,GO:0004672,GO:0005524,GO:0005524,GO:0005524,GO:0006468,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein kinase activity,protein kinase activity,ATP binding,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP","0.910026530361294,0.910026530361294,0.910026530361294,0.910026530361294,0.977308593587781,0.977308593587781,0.977308593587781,0.912951284788311,0.912951284788311,0.912951284788311,0.912951284788311",29,8,17,10,15,48,29,7,17,11,13,10
"13","jamg1.TU.xpSc0007059.15","NA","NA","NA","NA",25,7,18,13,14,25,15,11,26,13,19,16
"14","jamg1.TU.xpSc0007188.2","NA","NA","NA","NA",26,6,15,10,37,11,3,36,99,21,98,56
"15","plut2.m8.10068","GO:0004930,GO:0004930,GO:0004930,GO:0007186,GO:0007186,GO:0007186,GO:0016021,GO:0016021,GO:0016021,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor activity,G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane,integral component of membrane,integral component of membrane,integral component of membrane","MF,MF,MF,BP,BP,BP,CC,CC,CC,CC,CC","0.673977400441744,0.673977400441744,0.673977400441744,0.703049904842335,0.703049904842335,0.703049904842335,0.835065561120913,0.835065561120913,0.835065561120913,0.835065561120913,0.835065561120913",167,32,89,90,19,22,11,8,29,67,56,43
"16","plut2.m8.1010","NA","NA","NA","NA",56,4,37,33,78,168,115,57,141,143,138,183
"17","plut2.m8.1011","NA","NA","NA","NA",2102,214,986,1057,611,842,931,521,805,803,1147,1069
"18","plut2.m8.10362","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",466,144,345,185,44,52,39,16,54,18,37,12
"19","plut2.m8.10411","GO:0007165,GO:0007165,GO:0007165,GO:0035556,GO:0035556,GO:0035556,GO:0035556,GO:0035556","signal transduction,signal transduction,signal transduction,intracellular signal transduction,intracellular signal transduction,intracellular signal transduction,intracellular signal transduction,intracellular signal transduction","BP,BP,BP,BP,BP,BP,BP,BP","0.422262934912543,0.422262934912543,0.422262934912543,0.653903225370177,0.653903225370177,0.653903225370177,0.653903225370177,0.653903225370177",481,163,384,281,369,242,540,355,199,390,466,296
"20","plut2.m8.10671","GO:0005515,GO:0005515","protein binding,protein binding","MF,MF","0.0286437958505903,0.0286437958505903",16,5,13,8,13,26,18,9,16,21,21,22
"21","plut2.m8.11052","GO:0008171","O-methyltransferase activity","MF","0.0680804668683919",156,58,77,161,76,30,28,42,20,9,7,6
"22","plut2.m8.11192","GO:0005164,GO:0005164,GO:0005515,GO:0005515,GO:0006955,GO:0006955,GO:0016020,GO:0016020","tumor necrosis factor receptor binding,tumor necrosis factor receptor binding,protein binding,protein binding,immune response,immune response,membrane,membrane","MF,MF,MF,MF,BP,BP,CC,CC","0.00961528289344601,0.00961528289344601,0.0286437958505903,0.0286437958505903,0.00961528289344601,0.00961528289344601,0.779529923428034,0.779529923428034",277,36,141,152,105,286,233,111,249,193,241,158
"23","plut2.m8.11877","NA","NA","NA","NA",35,8,18,19,11,36,17,7,36,16,19,23
"24","plut2.m8.12089","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",627,190,548,276,106,147,123,57,138,68,129,91
"25","plut2.m8.1212","GO:0006206,GO:0006213,GO:0006213,GO:0006213,GO:0006213,GO:0016757,GO:0016763,GO:0016763,GO:0016763,GO:0016763","pyrimidine nucleobase metabolic process,pyrimidine nucleoside metabolic process,pyrimidine nucleoside metabolic process,pyrimidine nucleoside metabolic process,pyrimidine nucleoside metabolic process,transferase activity, transferring glycosyl groups,transferase activity, transferring pentosyl groups,transferase activity, transferring pentosyl groups,transferase activity, transferring pentosyl groups,transferase activity, transferring pentosyl groups","BP,BP,BP,BP,BP,MF,MF,MF,MF,MF","0.0100201704735586,0.0199405826127857,0.0199405826127857,0.0199405826127857,0.0199405826127857,0.230529560213378,0.0680804668685304,0.0680804668685304,0.0680804668685304,0.0680804668685304",682,97,461,413,85,162,75,53,223,170,240,121
"26","plut2.m8.12181","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005871","protein binding,protein binding,protein binding,protein binding,kinesin complex","MF,MF,MF,MF,CC","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0102924440737289",12,3,10,10,14,19,15,8,16,11,13,12
"27","plut2.m8.1221","GO:0003824","catalytic activity","MF","0.720773941283605",18,3,10,12,15,32,25,14,43,18,19,14
"28","plut2.m8.12217","GO:0004601,GO:0006979,GO:0020037,GO:0055114","peroxidase activity,response to oxidative stress,heme binding,oxidation-reduction process","MF,BP,MF,BP","0.174244209183703,0.230529560210569,0.728716111682866,0.812818990054364",293,43,190,198,31,80,10,20,134,101,85,110
"29","plut2.m8.12888","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",25,6,20,16,22,23,18,12,35,12,23,18
"30","plut2.m8.13153","NA","NA","NA","NA",794,46,527,440,66,136,40,52,233,177,374,214
"31","plut2.m8.13229","GO:0003700,GO:0004386,GO:0005634,GO:0006355,GO:0008270","DNA-binding transcription factor activity,helicase activity,nucleus,regulation of transcription, DNA-templated,zinc ion binding","MF,MF,CC,BP,MF","0.389346331696044,0.563074754734106,0.860005469150697,0.747349380197142,0.946973464251904",166,62,152,160,89,320,260,42,120,92,90,81
"32","plut2.m8.14149","GO:0005164,GO:0005164,GO:0005164,GO:0005515,GO:0005515,GO:0006955,GO:0006955,GO:0006955,GO:0016020,GO:0016020,GO:0016020","tumor necrosis factor receptor binding,tumor necrosis factor receptor binding,tumor necrosis factor receptor binding,protein binding,protein binding,immune response,immune response,immune response,membrane,membrane,membrane","MF,MF,MF,MF,MF,BP,BP,BP,CC,CC,CC","0.00961528289344601,0.00961528289344601,0.00961528289344601,0.0286437958505903,0.0286437958505903,0.00961528289344601,0.00961528289344601,0.00961528289344601,0.779529923428034,0.779529923428034,0.779529923428034",184,17,33,114,21,2779,2691,30,75,52,94,19
"33","plut2.m8.15173","NA","NA","NA","NA",148,37,143,77,61,100,95,60,110,46,96,50
"34","plut2.m8.15873","NA","NA","NA","NA",71,20,54,36,20,91,92,18,38,58,27,26
"35","plut2.m8.15977","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0007165,GO:0007165,GO:0007165","protein binding,protein binding,protein binding,protein binding,protein binding,protein binding,protein binding,signal transduction,signal transduction,signal transduction","MF,MF,MF,MF,MF,MF,MF,BP,BP,BP","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.422262934912543,0.422262934912543,0.422262934912543",41,6,13,22,15,38,25,14,29,18,35,13
"36","plut2.m8.16218","NA","NA","NA","NA",178,40,111,101,14,41,22,10,29,30,32,32
"37","plut2.m8.16250","NA","NA","NA","NA",84,16,45,46,34,49,50,20,22,30,18,29
"38","plut2.m8.16389","NA","NA","NA","NA",692,41,241,306,190,523,546,238,475,492,383,251
"39","plut2.m8.1654","NA","NA","NA","NA",204,28,84,79,12,25,16,11,42,29,29,36
"40","plut2.m8.16587","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",39,15,39,40,26,70,43,13,22,21,20,15
"41","plut2.m8.17513","NA","NA","NA","NA",17,0,21,6,11,40,26,13,22,11,14,16
"42","plut2.m8.18280","NA","NA","NA","NA",31,5,25,13,25,55,36,17,32,26,39,28
"43","plut2.m8.18281","NA","NA","NA","NA",59,7,46,35,26,55,37,17,33,27,41,29
"44","plut2.m8.18568","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",50,25,34,25,49,54,40,23,53,22,49,36
"45","plut2.m8.19607","GO:0003824,GO:0010181,GO:0010181,GO:0016491,GO:0016491,GO:0016491,GO:0016491,GO:0055114,GO:0055114,GO:0055114","catalytic activity,FMN binding,FMN binding,oxidoreductase activity,oxidoreductase activity,oxidoreductase activity,oxidoreductase activity,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process","MF,MF,MF,MF,MF,MF,MF,BP,BP,BP","0.720773941283605,0.113870353188687,0.113870353188687,0.544220699349496,0.544220699349496,0.544220699349496,0.544220699349496,0.812818990054364,0.812818990054364,0.812818990054364",67,8,50,30,23,77,40,11,27,36,28,21
"46","plut2.m8.19775","NA","NA","NA","NA",202,43,148,117,20,23,19,12,12,34,33,21
"47","plut2.m8.20146","NA","NA","NA","NA",93,10,21,57,66,84,96,73,99,132,124,71
"48","plut2.m8.20414","NA","NA","NA","NA",179,21,139,127,13,37,14,13,62,50,45,22
"49","plut2.m8.20419","GO:0005044,GO:0005044,GO:0005044,GO:0005044,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020,GO:0016020","scavenger receptor activity,scavenger receptor activity,scavenger receptor activity,scavenger receptor activity,membrane,membrane,membrane,membrane,membrane,membrane,membrane","MF,MF,MF,MF,CC,CC,CC,CC,CC,CC,CC","0.0746637283212524,0.0746637283212524,0.0746637283212524,0.0746637283212524,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034,0.779529923428034",339,71,241,203,117,176,197,116,149,134,224,220
"50","plut2.m8.20774","GO:0004842,GO:0004842,GO:0004842,GO:0004842","ubiquitin-protein transferase activity,ubiquitin-protein transferase activity,ubiquitin-protein transferase activity,ubiquitin-protein transferase activity","MF,MF,MF,MF","0.408179657829603,0.408179657829603,0.408179657829603,0.408179657829603",27,9,25,13,15,38,22,11,21,23,25,20
"51","plut2.m8.20873","NA","NA","NA","NA",35,7,24,28,23,26,28,21,52,20,37,15
"52","plut2.m8.21171","NA","NA","NA","NA",84,31,54,37,204,83,505,229,85,196,258,150
"53","plut2.m8.21315","GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903,0.0286437958505903",692,245,593,386,141,156,143,75,175,96,157,102
"54","plut2.m8.21416","GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding","MF,MF,MF","0.0286437958505903,0.0286437958505903,0.0286437958505903",31,0,24,13,19,34,30,17,27,18,28,23
