"","category","gene","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","41_ctl3_Ac_RN_1","37_T13_Ac_ML","52_T11_Ac_II","31_T22_Ac_UV","38_T23_Ac_IN","53_T21_Ac_NH","19_T33_Ac_WK","47_T31_Ac_JB","57_T32_Ac_NM","35_T43_Ac_MT","54_T42_Ac_JQ","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0000723","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.108554592370967,0.995090780127993,1,5,"telomere maintenance","BP"
"2","GO:0000723","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.108554592370967,0.995090780127993,1,5,"telomere maintenance","BP"
"3","GO:0000723","Acerv_evm.TU.Segkk4345_pilon.12",73,65,34,50,75,46,49,27,64,19,30,62,83,0.108554592370967,0.995090780127993,1,5,"telomere maintenance","BP"
"4","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"5","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"6","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"7","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"8","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"9","GO:0000976","Acerv_evm.TU.Segkk978_pilon.3",71,114,128,45,30,48,34,34,55,28,25,170,183,0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"10","GO:0000981","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"11","GO:0000981","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"12","GO:0000981","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"13","GO:0000981","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"14","GO:0000981","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"15","GO:0000981","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"16","GO:0000981","Acerv_evm.TU.Segkk19_pilon.21",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"17","GO:0000981","Acerv_evm.TU.Segkk925_pilon.1",922,797,795,318,384,258,282,166,482,268,231,411,436,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"18","GO:0000981","Acerv_evm.TU.Segkk3655_pilon.19",231,118,188,78,154,50,28,19,104,41,58,65,101,0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"19","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"20","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"21","GO:0003676","Acerv_evm.TU.Segkk1947_pilon.7",5915,5070,4667,1006,1181,1052,1377,808,1871,900,689,1953,2889,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"22","GO:0003676","Acerv_evm.TU.Segkk1945_pilon.2",8,12,0,17,19,16,18,7,34,12,12,18,24,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"23","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"24","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"25","GO:0003676","Acerv_evm.TU.Segkk1945_pilon.2",8,12,0,17,19,16,18,7,34,12,12,18,24,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"26","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
"27","GO:0003676","Acerv_evm.TU.Segkk2424_pilon.11",38,19,26,123,49,85,233,52,134,77,71,125,227,0.945877097066016,0.137437648902045,3,261,"nucleic acid binding","MF"
