"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"20","Acerv_evm.TU.Segkk101_pilon.1",36,0,11,8,14,28,9,118,194,293,61,13,11,26,8,"Segkk101_pilon",764,15168,14404,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"154","Acerv_evm.TU.Segkk105_pilon.25",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64,"Segkk105_pilon",241442,248065,6623,"GO:0016772",0.0325000999366365,0.999563082205217,1,6,"transferase activity, transferring phosphorus-containing groups","MF"
"155","Acerv_evm.TU.Segkk105_pilon.27",600,25,1082,1150,420,742,375,543,1096,1317,363,423,316,653,260,"Segkk105_pilon",255843,279183,23340,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"195","Acerv_evm.TU.Segkk1071_pilon.2",403,0,800,678,245,435,219,245,509,784,164,237,168,424,110,"Segkk1071_pilon",16650,37377,20727,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"332","Acerv_evm.TU.Segkk114_pilon.13",118,0,223,121,91,170,69,64,112,132,39,37,63,129,25,"Segkk114_pilon",165539,171259,5720,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"563","Acerv_evm.TU.Segkk1258_pilon.1",55,0,127,113,48,81,49,62,69,138,35,32,24,73,29,"Segkk1258_pilon",130,3443,3313,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"575","Acerv_evm.TU.Segkk1263_pilon.19",602,3,1065,798,408,865,297,472,605,882,215,198,265,648,126,"Segkk1263_pilon",165839,187760,21921,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"576","Acerv_evm.TU.Segkk1263_pilon.2",125,0,247,242,81,153,79,93,238,315,102,95,62,179,34,"Segkk1263_pilon",4980,12476,7496,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"580","Acerv_evm.TU.Segkk1263_pilon.29",265,0,458,265,155,246,134,129,224,326,81,90,101,249,74,"Segkk1263_pilon",308833,316081,7248,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"595","Acerv_evm.TU.Segkk1263_pilon.8",282,16,576,504,216,390,228,227,390,660,138,132,204,447,108,"Segkk1263_pilon",35862,37826,1964,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
