"","GO.IDs","term","ontology","over_represented_pvalue","GO.Term","GO.Slim.Term","Cat","Species","Site"
"48","GO:0000055","ribosomal large subunit export from nucleus","BP",0.020514623,"ribosomal large subunit export from nucleus","transport","P","A.cervicornis","Florida"
"187","GO:0000183","rDNA heterochromatin assembly","BP",0.044079209,"chromatin silencing at rDNA","RNA metabolism","P","A.cervicornis","Florida"
"387","GO:0000398","mRNA splicing, via spliceosome","BP",0.034957595,"nuclear mRNA splicing, via spliceosome","RNA metabolism","P","A.cervicornis","Florida"
"401","GO:0000412","histone peptidyl-prolyl isomerization","BP",0.030716833,"histone peptidyl-prolyl isomerization","cell organization and biogenesis","P","A.cervicornis","Florida"
"402","GO:0000412","histone peptidyl-prolyl isomerization","BP",0.030716833,"histone peptidyl-prolyl isomerization","protein metabolism","P","A.cervicornis","Florida"
"462","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",0.048184647,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","RNA metabolism","P","A.cervicornis","Florida"
"544","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,"pyrimidine dimer repair by nucleotide-excision repair","DNA metabolism","P","A.cervicornis","Florida"
"545","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,"pyrimidine dimer repair by nucleotide-excision repair","stress response","P","A.cervicornis","Florida"
"855","GO:0001550","ovarian cumulus expansion","BP",0.031712692,"ovarian cumulus expansion","developmental processes","P","A.cervicornis","Florida"
"954","GO:0001675","acrosome assembly","BP",0.042846884,"acrosome assembly","cell organization and biogenesis","P","A.cervicornis","Florida"
"1015","GO:0001744","optic lobe placode formation","BP",0.021408568,"optic lobe placode formation","developmental processes","P","A.cervicornis","Florida"
"1017","GO:0001746","Bolwig's organ morphogenesis","BP",0.021408568,"Bolwig's organ morphogenesis","developmental processes","P","A.cervicornis","Florida"
"1032","GO:0001763","morphogenesis of a branching structure","BP",0.027822697,"morphogenesis of a branching structure","other biological processes","P","A.cervicornis","Florida"
"1093","GO:0001818","negative regulation of cytokine production","BP",0.045218401,"negative regulation of cytokine production","other biological processes","P","A.cervicornis","Florida"
"1227","GO:0001934","positive regulation of protein phosphorylation","BP",0.008243205,"positive regulation of protein amino acid phosphorylation","protein metabolism","P","A.cervicornis","Florida"
"1231","GO:0001938","positive regulation of endothelial cell proliferation","BP",0.020910948,"positive regulation of endothelial cell proliferation","cell cycle and proliferation","P","A.cervicornis","Florida"
"1245","GO:0001953","negative regulation of cell-matrix adhesion","BP",0.028053253,"negative regulation of cell-matrix adhesion","cell adhesion","P","A.cervicornis","Florida"
"1370","GO:0002063","chondrocyte development","BP",0.017488452,"chondrocyte development","developmental processes","P","A.cervicornis","Florida"
"1464","GO:0002165","instar larval or pupal development","BP",0.032890629,"instar larval or pupal development","developmental processes","P","A.cervicornis","Florida"
"1496","GO:0002227","innate immune response in mucosa","BP",0.02140892,"innate immune response in mucosa","stress response","P","A.cervicornis","Florida"
"1522","GO:0002253","activation of immune response","BP",0.047518818,"activation of immune response","other biological processes","P","A.cervicornis","Florida"
"1549","GO:0002280","monocyte activation involved in immune response","BP",0.045156981,"monocyte activation during immune response","other biological processes","P","A.cervicornis","Florida"
"1874","GO:0002574","thrombocyte differentiation","BP",0.026292165,"thrombocyte differentiation","developmental processes","P","A.cervicornis","Florida"
"1906","GO:0002606","positive regulation of dendritic cell antigen processing and presentation","BP",0.02140892,"positive regulation of dendritic cell antigen processing and presentation","other biological processes","P","A.cervicornis","Florida"
"2034","GO:0002732","positive regulation of dendritic cell cytokine production","BP",0.02140892,"positive regulation of dendritic cell cytokine production","other biological processes","P","A.cervicornis","Florida"
"2149","GO:0002821","positive regulation of adaptive immune response","BP",0.023199075,"positive regulation of adaptive immune response","other biological processes","P","A.cervicornis","Florida"
"2158","GO:0002830","positive regulation of type 2 immune response","BP",0.02140892,"positive regulation of T-helper 2 type immune response","other biological processes","P","A.cervicornis","Florida"
"2265","GO:0002925","positive regulation of humoral immune response mediated by circulating immunoglobulin","BP",0.02140892,"positive regulation of humoral immune response mediated by circulating immunoglobulin","other biological processes","P","A.cervicornis","Florida"
"2394","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis","BP",0.021408568,NA,NA,NA,"A.cervicornis","Florida"
"4382","GO:0006269","DNA replication, synthesis of RNA primer","BP",0.044497493,"DNA replication, synthesis of RNA primer","RNA metabolism","P","A.cervicornis","Florida"
"4383","GO:0006269","DNA replication, synthesis of RNA primer","BP",0.044497493,"DNA replication, synthesis of RNA primer","DNA metabolism","P","A.cervicornis","Florida"
"4469","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.044113717,"methylation-dependent chromatin silencing","RNA metabolism","P","A.cervicornis","Florida"
"4470","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.044113717,"methylation-dependent chromatin silencing","cell organization and biogenesis","P","A.cervicornis","Florida"
"4493","GO:0006367","transcription initiation from RNA polymerase II promoter","BP",0.011477729,"transcription initiation from RNA polymerase II promoter","cell organization and biogenesis","P","A.cervicornis","Florida"
"4494","GO:0006367","transcription initiation from RNA polymerase II promoter","BP",0.011477729,"transcription initiation from RNA polymerase II promoter","RNA metabolism","P","A.cervicornis","Florida"
"4522","GO:0006398","mRNA 3'-end processing by stem-loop binding and cleavage","BP",0.03432239,"histone mRNA 3'-end processing","RNA metabolism","P","A.cervicornis","Florida"
"4725","GO:0006606","protein import into nucleus","BP",0.010483073,"protein import into nucleus","transport","P","A.cervicornis","Florida"
"4759","GO:0006638","neutral lipid metabolic process","BP",0.023669888,"neutral lipid metabolic process","other metabolic processes","P","A.cervicornis","Florida"
"4763","GO:0006642","triglyceride mobilization","BP",0.023199075,"triglyceride mobilization","other metabolic processes","P","A.cervicornis","Florida"
"4784","GO:0006664","glycolipid metabolic process","BP",0.045450337,"glycolipid metabolic process","other metabolic processes","P","A.cervicornis","Florida"
"4884","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","BP",0.023879772,"Mo-molybdopterin cofactor biosynthetic process","protein metabolism","P","A.cervicornis","Florida"
"4973","GO:0006887","exocytosis","BP",0.037719625,"exocytosis","transport","P","A.cervicornis","Florida"
