"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X19_T33_Ac_WK","X24_T12_Ac_FM","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X45_T41_Ac_SC_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","GO_terms","scaffold","start","stop","length"
"1","Acerv_evm.TU.Segkk105_pilon.25",190.481390677045,-2.382695893302,0.582612669073448,-4.08967401462673,4.31979879131452e-05,0.0194779727500372,"CvsT1",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64,"GO:0016301,GO:0016772,GO:0003824","Segkk105_pilon",241442,248065,6623
"2","Acerv_evm.TU.Segkk1157_pilon.2",112.055840930544,2.84616712935952,0.545554116656402,5.2170207179503,1.81823929308485e-07,0.000273281365750653,"CvsT1",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27,"NA",NA,NA,NA,NA
"3","Acerv_evm.TU.Segkk1268_pilon.2",24.826070552109,-3.67880176049248,0.669180195555258,-5.4974755453424,3.85266721840267e-08,0.000102928410163398,"CvsT1",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28,"NA","Segkk1268_pilon",5673,5835,162
"4","Acerv_evm.TU.Segkk1600_pilon.13",73.0417332811503,-2.06630868313863,0.533960418269687,-3.86977875595078,0.000108934164218856,0.0388838437375633,"CvsT1",82,20,76,72,49,127,51,45,81,96,29,49,47,85,25,"GO:0005515,GO:0005871",NA,NA,NA,NA
"5","Acerv_evm.TU.Segkk1630_pilon.6",70.1900674293588,-4.45160336435227,1.07474187489432,-4.14202095251009,3.44258884468046e-05,0.0168474403266225,"CvsT1",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62,"NA",NA,NA,NA,NA
"6","Acerv_evm.TU.Segkk1677_pilon.1",70.0638705244626,-2.34733509817966,0.437862261466624,-5.36089840288414,8.28090826602676e-08,0.000149354461486059,"CvsT1",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37,"GO:0005515",NA,NA,NA,NA
"7","Acerv_evm.TU.Segkk1708_pilon.21",10.2282449967353,-2.35317964681223,0.610652829260177,-3.85354743981645,0.00011641869382504,0.0388838437375633,"CvsT1",14,0,7,4,10,14,10,20,11,15,10,18,9,22,7,"NA",NA,NA,NA,NA
"8","Acerv_evm.TU.Segkk1793_pilon.1",21.3572085837625,-3.50179003369681,0.640479142707636,-5.46745366116521,4.56546507710794e-08,0.000102928410163398,"CvsT1",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13,"NA","Segkk1793_pilon",1461,4240,2779
"9","Acerv_evm.TU.Segkk1852_pilon.2",477.707991553315,-3.8353440891246,0.791845699118284,-4.84354981456012,1.27539726466762e-06,0.00127794805919696,"CvsT1",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161,"GO:0005525,GO:0005874,GO:0007017,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017,GO:0003924",NA,NA,NA,NA
"10","Acerv_evm.TU.Segkk1945_pilon.2",12.7834365471073,-2.86138497401259,0.663155112257577,-4.31480496964215,1.59743868424361e-05,0.00960380136967258,"CvsT1",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12,"GO:0003676,GO:0005524,GO:0005576,GO:0030414",NA,NA,NA,NA
