"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","GO_terms","scaffold","gene.start","gene.stop","length"
"1","Mcavernosa00103",110.750866859731,1.07328728050644,0.275390055312675,3.89733492477731,9.72570722403794e-05,0.0337860262621718,"CvsT2",113,92,165,357,32,129,52,59,282,97,144,111,95,93,77,"NA","Sc0000007",1189308,1201331,12023
"2","Mcavernosa01252",60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,"NA","Sc0000016",481767,487965,6198
"3","Mcavernosa01732",117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,"GO:0009190,GO:0016849,GO:0035556,GO:0009190,GO:0035556,GO:0004672,GO:0006468,GO:0004383,GO:0006182,GO:0004672,GO:0005524,GO:0006468,GO:0016021","Sc0000019",392358,408525,16167
"4","Mcavernosa02339",129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2",159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,"GO:0008138,GO:0016311,GO:0004725,GO:0016311,GO:0016311,GO:0016791,GO:0006470,GO:0008138,GO:0006470,GO:0017017","Sc0000074",591030,593979,2949
"5","Mcavernosa02620",23.0144418151112,-2.78278202251954,0.610643264838072,-4.55713209783369,5.18568125824459e-06,0.00381483116562393,"CvsT2",29,24,5,25,44,25,18,22,3,25,10,24,20,22,18,"GO:0005515","Sc0000078",724265,725901,1636
"6","Mcavernosa02621",43.7846153695325,-4.29135985059578,0.949815484700978,-4.51809843039861,6.23974779549939e-06,0.00433523810725085,"CvsT2",69,42,0,31,108,62,27,26,0,15,35,47,45,52,32,"GO:0005515","Sc0000078",725955,728895,2940
"7","Mcavernosa02761",525.885378928909,-1.998289011645,0.464129908422391,-4.30545193357031,1.66645172954719e-05,0.00992411682367483,"CvsT2",726,414,216,594,879,733,318,373,346,132,415,632,490,746,620,"GO:0003676","Sc0000080",157930,158838,908
"8","Mcavernosa02968",92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2",38,69,45,111,197,81,69,76,59,18,109,32,82,228,90,"GO:0005515","Sc0000083",149534,153752,4218
"9","Mcavernosa03157",267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2",274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,"NA","xpSc0004672",803,5487,4684
"10","Mcavernosa03628",40.7448605394761,-3.23193833416467,0.794220580297352,-4.06932080877915,4.71503870441799e-05,0.0190213787217585,"CvsT2",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,"NA","Sc0000028",235320,237770,2450
