"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"23","GO:0035064","methylated histone binding","MF",0.04916871,"A.cervicornis","Florida"
"24","GO:0010698","acetyltransferase activator activity","MF",0.021414665,"A.cervicornis","Florida"
"71","GO:0098821","BMP receptor activity","MF",0.031712692,"A.cervicornis","Florida"
"74","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida"
"76","GO:0016361","activin receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida"
"77","GO:0034711","inhibin binding","MF",0.031712692,"A.cervicornis","Florida"
"92","GO:0016251","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,"A.cervicornis","Florida"
"95","GO:0047485","protein N-terminus binding","MF",0.010487785,"A.cervicornis","Florida"
"134","GO:0003690","double-stranded DNA binding","MF",0.004158618,"A.cervicornis","Florida"
"135","GO:0001784","phosphotyrosine residue binding","MF",0.011361643,"A.cervicornis","Florida"
"164","GO:0005381","iron ion transmembrane transporter activity","MF",0.029949103,"A.cervicornis","Florida"
"183","GO:0070403","NAD+ binding","MF",0.004704611,"A.cervicornis","Florida"
"188","GO:0052381","tRNA dimethylallyltransferase activity","MF",0.025600312,"A.cervicornis","Florida"
"273","GO:0016247","channel regulator activity","MF",0.021364539,"A.cervicornis","Florida"
"299","GO:0071164","RNA trimethylguanosine synthase activity","MF",0.034668541,"A.cervicornis","Florida"
"303","GO:0004089","carbonate dehydratase activity","MF",0.045886458,"A.cervicornis","Florida"
"307","GO:0016034","maleylacetoacetate isomerase activity","MF",0.022991107,"A.cervicornis","Florida"
"334","GO:0008254","3'-nucleotidase activity","MF",0.026805507,"A.cervicornis","Florida"
"335","GO:0052834","inositol monophosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida"
"336","GO:0097657","3',5'-nucleotide bisphosphate phosphatase activity","MF",0.026805507,"A.cervicornis","Florida"
"352","GO:0003723","RNA binding","MF",0.026488352,"A.cervicornis","Florida"
"389","GO:0030366","molybdopterin synthase activity","MF",0.023879772,"A.cervicornis","Florida"
"398","GO:0001595","angiotensin receptor activity","MF",0.022782273,"A.cervicornis","Florida"
"419","GO:0004532","exoribonuclease activity","MF",0.044274366,"A.cervicornis","Florida"
"430","GO:0005161","platelet-derived growth factor receptor binding","MF",0.048939659,"A.cervicornis","Florida"
"431","GO:0043422","protein kinase B binding","MF",0.00310528,"A.cervicornis","Florida"
"503","GO:0030234","enzyme regulator activity","MF",0.034102806,"A.cervicornis","Florida"
"514","GO:0032555","purine ribonucleotide binding","MF",0.004566405,"A.cervicornis","Florida"
"531","GO:0005543","phospholipid binding","MF",0.001147086,"A.cervicornis","Florida"
"601","GO:0032500","muramyl dipeptide binding","MF",0.02140892,"A.cervicornis","Florida"
"604","GO:0030544","Hsp70 protein binding","MF",0.001864512,"A.cervicornis","Florida"
"605","GO:0089720","caspase binding","MF",0.042535074,"A.cervicornis","Florida"
"606","GO:0050700","CARD domain binding","MF",0.02140892,"A.cervicornis","Florida"
"615","GO:0019966","interleukin-1 binding","MF",0.02140892,"A.cervicornis","Florida"
"626","GO:0051879","Hsp90 protein binding","MF",0.039628326,"A.cervicornis","Florida"
"632","GO:0042834","peptidoglycan binding","MF",0.02140892,"A.cervicornis","Florida"
"689","GO:0016929","SUMO-specific protease activity","MF",0.042104504,"A.cervicornis","Florida"
"702","GO:0003968","RNA-directed 5'-3' RNA polymerase activity","MF",0.042348194,"A.cervicornis","Florida"
"707","GO:0045322","unmethylated CpG binding","MF",0.048350137,"A.cervicornis","Florida"
"738","GO:0050694","galactose 3-O-sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida"
"740","GO:0001733","galactosylceramide sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida"
"745","GO:0045294","alpha-catenin binding","MF",0.048708753,"A.cervicornis","Florida"
"746","GO:0070097","delta-catenin binding","MF",0.026197771,"A.cervicornis","Florida"
"747","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","MF",0.026197771,"A.cervicornis","Florida"
"779","GO:0062063","BBSome binding","MF",0.030458925,"A.cervicornis","Florida"
"783","GO:0046556","alpha-L-arabinofuranosidase activity","MF",0.021409242,"A.cervicornis","Florida"
"882","GO:0046969","NAD-dependent histone deacetylase activity (H3-K9 specific)","MF",0.023199075,"A.cervicornis","Florida"
"912","GO:1990254","keratin filament binding","MF",0.023199075,"A.cervicornis","Florida"
"952","GO:0030169","low-density lipoprotein particle binding","MF",0.024248516,"A.cervicornis","Florida"
"959","GO:0004165","dodecenoyl-CoA delta-isomerase activity","MF",0.026387443,"A.cervicornis","Florida"
"966","GO:0050501","hyaluronan synthase activity","MF",0.021153966,"A.cervicornis","Florida"
