"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"1","GO:0009792","embryo development ending in birth or egg hatching","BP",0.029388933,"A.cervicornis","Florida"
"2","GO:1902624","positive regulation of neutrophil migration","BP",0.043230355,"A.cervicornis","Florida"
"4","GO:0040013","negative regulation of locomotion","BP",0.022310891,"A.cervicornis","Florida"
"17","GO:0035812","renal sodium excretion","BP",0.021414665,"A.cervicornis","Florida"
"18","GO:0043972","histone H3-K23 acetylation","BP",0.021414665,"A.cervicornis","Florida"
"19","GO:0044154","histone H3-K14 acetylation","BP",0.043877015,"A.cervicornis","Florida"
"20","GO:2001161","negative regulation of histone H3-K79 methylation","BP",0.021414665,"A.cervicornis","Florida"
"21","GO:0035811","negative regulation of urine volume","BP",0.021414665,"A.cervicornis","Florida"
"22","GO:0036359","renal potassium excretion","BP",0.021414665,"A.cervicornis","Florida"
"25","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",0.034163324,"A.cervicornis","Florida"
"65","GO:1902731","negative regulation of chondrocyte proliferation","BP",0.031712692,"A.cervicornis","Florida"
"66","GO:0010629","negative regulation of gene expression","BP",0.036726776,"A.cervicornis","Florida"
"68","GO:0002063","chondrocyte development","BP",0.017488452,"A.cervicornis","Florida"
"69","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP",0.002156658,"A.cervicornis","Florida"
"70","GO:0030308","negative regulation of cell growth","BP",0.023418679,"A.cervicornis","Florida"
"72","GO:0006954","inflammatory response","BP",0.045397275,"A.cervicornis","Florida"
"73","GO:0001934","positive regulation of protein phosphorylation","BP",0.008243205,"A.cervicornis","Florida"
"75","GO:0001550","ovarian cumulus expansion","BP",0.031712692,"A.cervicornis","Florida"
"80","GO:0002574","thrombocyte differentiation","BP",0.026292165,"A.cervicornis","Florida"
"90","GO:0006367","transcription initiation from RNA polymerase II promoter","BP",0.011477729,"A.cervicornis","Florida"
"91","GO:1905776","positive regulation of DNA helicase activity","BP",0.025341352,"A.cervicornis","Florida"
"96","GO:1902570","protein localization to nucleolus","BP",0.020514623,"A.cervicornis","Florida"
"97","GO:0000055","ribosomal large subunit export from nucleus","BP",0.020514623,"A.cervicornis","Florida"
