Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
17_ctl2_Of_ZTH_1	54.665007937	125.0	16862085.0	18.1818181818	42.0
22_ctl2_Mc_TWF_1	53.6888922304	125.0	9492297.0	36.3636363636	40.0
23_ctl1_Of_CTX_1	59.4254248975	125.0	9890631.0	27.2727272727	44.0
25_ctl1_Ac_GF_1	46.8036527244	125.0	14630151.0	9.09090909091	43.0
27_ctl2_Ac_YG_1	47.1882175613	125.0	15708593.0	9.09090909091	43.0
28_ctl1_Mc_GBM_1	46.1557417173	125.0	18832994.0	9.09090909091	44.0
41_ctl3_Ac_RN_1	49.4712100459	125.0	16449541.0	9.09090909091	43.0
42_ctl3_Mc_MGR_1	42.6751230368	125.0	16522574.0	18.1818181818	47.0
43_ctl3_Of_JVP_1	50.2933341424	125.0	16107263.0	27.2727272727	41.0
44_T41_Of_PVT_1	50.1559235235	125.0	14566583.0	18.1818181818	41.0
45_T41_Ac_SC_1	51.3988801418	125.0	20233577.0	18.1818181818	43.0
46_T41_Mc_QYH_1	41.0705986447	125.0	13610746.0	18.1818181818	49.0
