"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","LOC110044078","GO:0032813",0.000375161286076861,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"2","LOC110044078","GO:0032813",0.000375161286076861,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"3","LOC110044078","GO:0005164",0.0107006668540682,0.999951631738709,1,26,"tumor necrosis factor receptor binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"4","LOC110044078","GO:0005164",0.0107006668540682,0.999951631738709,1,26,"tumor necrosis factor receptor binding","MF",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"5","LOC110044078","GO:0043065",0.0293161967458291,0.999624966454868,1,73,"positive regulation of apoptotic process","BP",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"6","LOC110044078","GO:0043065",0.0293161967458291,0.999624966454868,1,73,"positive regulation of apoptotic process","BP",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"7","LOC110044078","GO:0009967",0.023515805378922,0.999760018331639,1,59,"positive regulation of signal transduction","BP",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"8","LOC110044078","GO:0009967",0.023515805378922,0.999760018331639,1,59,"positive regulation of signal transduction","BP",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"9","LOC110044078","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"10","LOC110044078","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
