Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins
OG0000000	XP_020603730.1, XP_020603731.1, XP_020614259.1	Mcavernosa09902-RA
OG0000000	XP_020613057.1, XP_020617323.1	Mcavernosa18934-RA
OG0000000	XP_020628513.1, XP_020613059.1	Mcavernosa11813-RA
OG0000001	XP_020631482.1	Mcavernosa08070-RA
OG0000001	XP_020603598.1, XP_020624737.1, XP_020609664.1, XP_020621595.1, XP_020621596.1, XP_020621598.1, XP_020616666.1, XP_020621599.1, XP_020600399.1, XP_020607833.1, XP_020607832.1, XP_020615139.1, XP_020609422.1, XP_020615322.1, XP_020615321.1, XP_020613795.1, XP_020613813.1, XP_020613812.1, XP_020613814.1, XP_020621671.1, XP_020604206.1, XP_020608925.1, XP_020614493.1, XP_020614494.1	Mcavernosa18525-RA
OG0000003	XP_020615517.1	Mcavernosa06791-RA, Mcavernosa06790-RA
OG0000003	XP_020601815.1	Mcavernosa06384-RA
OG0000004	XP_020606067.1	Mcavernosa15460-RA
OG0000004	XP_020612450.1, XP_020612453.1, XP_020612449.1, XP_020612451.1, XP_020612452.1, XP_020612448.1, XP_020612267.1	Mcavernosa05413-RA
OG0000004	XP_020623194.1	Mcavernosa14274-RA
OG0000005	XP_020619788.1, XP_020619789.1	Mcavernosa01928-RA
OG0000005	XP_020615798.1, XP_020615799.1	Mcavernosa05514-RA
OG0000005	XP_020630041.1, XP_020621187.1, XP_020627577.1, XP_020613046.1, XP_020613045.1, XP_020613044.1	Mcavernosa31190-RA
OG0000006	XP_020614818.1	Mcavernosa29868-RA
OG0000006	XP_020602485.1, XP_020600919.1, XP_020610071.1, XP_020616007.1, XP_020610359.1, XP_020610073.1, XP_020621577.1, XP_020621621.1, XP_020625134.1, XP_020602499.1, XP_020602480.1, XP_020602477.1	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA
OG0000007	XP_020609822.1, XP_020609943.1	Mcavernosa01452-RA
OG0000007	XP_020605204.1	Mcavernosa25907-RA
OG0000007	XP_020618124.1, XP_020612161.1	Mcavernosa29663-RA
OG0000008	XP_020614042.1	Mcavernosa22378-RA
OG0000008	XP_020606504.1	Mcavernosa26506-RA
OG0000009	XP_020619416.1	Mcavernosa07118-RA, Mcavernosa07119-RA, Mcavernosa07120-RA, Mcavernosa32991-RA
OG0000010	XP_020601451.1, XP_020600397.1, XP_020601587.1	Mcavernosa01506-RA
OG0000010	XP_020624579.1, XP_020624578.1, XP_020624580.1, XP_020615398.1, XP_020615355.1, XP_020615354.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000011	XP_020628351.1, XP_020604539.1	Mcavernosa16688-RA
OG0000011	XP_020620942.1, XP_020621734.1	Mcavernosa29991-RA, Mcavernosa07525-RA, Mcavernosa32676-RA, Mcavernosa06309-RA
