Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Pocillopora_acuta_HIv1.genes.pep
OG0000000	XP_020603730.1, XP_020603731.1, XP_020614259.1	Pocillopora_acuta_HIv1_PredGene_g17961.t1, Pocillopora_acuta_HIv1_PredGene_g20804.t1, Pocillopora_acuta_HIv1_PredGene_g20801.t1
OG0000000	XP_020613057.1	Pocillopora_acuta_HIv1_PredGene_g3350.t1, Pocillopora_acuta_HIv1_PredGene_g11225.t1, Pocillopora_acuta_HIv1_PredGene_g3389.t1, Pocillopora_acuta_HIv1_PredGene_g28222.t1
OG0000000	XP_020617323.1	Pocillopora_acuta_HIv1_PredGene_g3395.t1
OG0000000	XP_020616735.1, XP_020606845.1	Pocillopora_acuta_HIv1_PredGene_g3358.t1
OG0000000	XP_020608311.1, XP_020611237.1, XP_020619932.1	Pocillopora_acuta_HIv1_PredGene_g30111.t1
OG0000001	XP_020631482.1	Pocillopora_acuta_HIv1_PredGene_g14419.t1
OG0000002	XP_020612613.1, XP_020612611.1	Pocillopora_acuta_HIv1_PredGene_g20323.t1
OG0000002	XP_020631802.1	Pocillopora_acuta_HIv1_PredGene_g2033.t1
OG0000002	XP_020624554.1, XP_020624553.1	Pocillopora_acuta_HIv1_PredGene_g12008.t1
OG0000002	XP_020623431.1, XP_020608945.1, XP_020608946.1, XP_020622948.1, XP_020622919.1, XP_020622927.1, XP_020632701.1, XP_020623374.1, XP_020623342.1, XP_020623382.1	Pocillopora_acuta_HIv1_PredGene_g32542.t1, Pocillopora_acuta_HIv1_PredGene_g32542.t2, Pocillopora_acuta_HIv1_PredGene_g30061.t1
OG0000003	XP_020618852.1, XP_020606244.1	Pocillopora_acuta_HIv1_PredGene_g29497.t1, Pocillopora_acuta_HIv1_PredGene_g29503.t1, Pocillopora_acuta_HIv1_PredGene_g29500.t1, Pocillopora_acuta_HIv1_PredGene_g4989.t1, Pocillopora_acuta_HIv1_PredGene_g8846.t1, Pocillopora_acuta_HIv1_PredGene_g8849.t1, Pocillopora_acuta_HIv1_PredGene_g29506.t1, Pocillopora_acuta_HIv1_PredGene_g4985.t1, Pocillopora_acuta_HIv1_PredGene_g4994.t1, Pocillopora_acuta_HIv1_PredGene_g5028.t1
