"","gene_id","Orthogroup"
"1","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","OG0007679"
"2","Montipora_capitata_PredGene_adi2mcaRNA12026_R0","OG0002906"
"3","Montipora_capitata_PredGene_adi2mcaRNA21702_R1","OG0009538"
"4","Montipora_capitata_PredGene_adi2mcaRNA26447_R5","OG0003431"
"5","Montipora_capitata_PredGene_adi2mcaRNA26986_R0","OG0000263"
"6","Montipora_capitata_PredGene_adi2mcaRNA26986_R2","OG0000263"
"7","Montipora_capitata_PredGene_adi2mcaRNA26986_R3","OG0000263"
"8","Montipora_capitata_PredGene_adi2mcaRNA34317_R1","OG0003887"
"9","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","OG0000487"
"10","Montipora_capitata_PredGene_adi2mcaRNA38767_R7","OG0000008"
"11","Montipora_capitata_PredGene_adi2mcaRNA39968_R0","OG0006746"
"12","Montipora_capitata_PredGene_adi2mcaRNA4201_R8","OG0000027"
"13","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","OG0003152"
"14","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","OG0000003"
"15","Montipora_capitata_PredGene_adi2mcaRNA6000_R0","OG0001155"
"16","Montipora_capitata_PredGene_adi2mcaRNA8620_R1","OG0007322"
"17","Montipora_capitata_PredGene_adi2mcaRNA9177_R0","OG0000500"
"18","Montipora_capitata_PredGene_adi2mcaRNA9790_R0","OG0002028"
"19","Montipora_capitata_PredGene_g10736","OG0010205"
"20","Montipora_capitata_PredGene_g12169","OG0004023"
"21","Montipora_capitata_PredGene_g13046","OG0000960"
"22","Montipora_capitata_PredGene_g15440","OG0007769"
"23","Montipora_capitata_PredGene_g17706","OG0010588"
"24","Montipora_capitata_PredGene_g1833","OG0008907"
"25","Montipora_capitata_PredGene_g18352","OG0013201"
"26","Montipora_capitata_PredGene_g18729","OG0013703"
"27","Montipora_capitata_PredGene_g21181","OG0000623"
"28","Montipora_capitata_PredGene_g21615","OG0001196"
"29","Montipora_capitata_PredGene_g22253","OG0007919"
"30","Montipora_capitata_PredGene_g22616","OG0006367"
"31","Montipora_capitata_PredGene_g22815","OG0002467"
"32","Montipora_capitata_PredGene_g23101","OG0010475"
"33","Montipora_capitata_PredGene_g23310","OG0009131"
"34","Montipora_capitata_PredGene_g24884","OG0011830"
"35","Montipora_capitata_PredGene_g24972","OG0001291"
"36","Montipora_capitata_PredGene_g25159","OG0000194"
"37","Montipora_capitata_PredGene_g2532","OG0011243"
"38","Montipora_capitata_PredGene_g25681","OG0010326"
"39","Montipora_capitata_PredGene_g26572","OG0000806"
"40","Montipora_capitata_PredGene_g27065","OG0002039"
"41","Montipora_capitata_PredGene_g27724","OG0000177"
"42","Montipora_capitata_PredGene_g27898","OG0001049"
"43","Montipora_capitata_PredGene_g28510","OG0000923"
"44","Montipora_capitata_PredGene_g29986","OG0000213"
"45","Montipora_capitata_PredGene_g30681","OG0001081"
"46","Montipora_capitata_PredGene_g3118","OG0009143"
"47","Montipora_capitata_PredGene_g31904","OG0002575"
"48","Montipora_capitata_PredGene_g32152","OG0000392"
"49","Montipora_capitata_PredGene_g32748","OG0011091"
"50","Montipora_capitata_PredGene_g33747","OG0011949"
"51","Montipora_capitata_PredGene_g35468","OG0000048"
"52","Montipora_capitata_PredGene_g3562","OG0000608"
"53","Montipora_capitata_PredGene_g36333","OG0000487"
"54","Montipora_capitata_PredGene_g38249","OG0006770"
"55","Montipora_capitata_PredGene_g39266","OG0007229"
"56","Montipora_capitata_PredGene_g41405","OG0002422"
"57","Montipora_capitata_PredGene_g41407","OG0007132"
"58","Montipora_capitata_PredGene_g43418","OG0011124"
"59","Montipora_capitata_PredGene_g43717","OG0006382"
"60","Montipora_capitata_PredGene_g44164","OG0006811"
"61","Montipora_capitata_PredGene_g45560","OG0007403"
"62","Montipora_capitata_PredGene_g48085","OG0008166"
"63","Montipora_capitata_PredGene_g48239","OG0000221"
"64","Montipora_capitata_PredGene_g51186","OG0006755"
"65","Montipora_capitata_PredGene_g51187","OG0006755"
"66","Montipora_capitata_PredGene_g53226","OG0001910"
"67","Montipora_capitata_PredGene_g546","OG0002737"
"68","Montipora_capitata_PredGene_g54997","OG0000469"
"69","Montipora_capitata_PredGene_g55802","OG0005547"
"70","Montipora_capitata_PredGene_g56282","OG0001295"
"71","Montipora_capitata_PredGene_g56911","OG0001070"
"72","Montipora_capitata_PredGene_g59067","OG0004155"
"73","Montipora_capitata_PredGene_g59546","OG0006603"
"74","Montipora_capitata_PredGene_g6064","OG0004156"
"75","Montipora_capitata_PredGene_g60874","OG0004166"
"76","Montipora_capitata_PredGene_g61660","OG0000424"
"77","Montipora_capitata_PredGene_g61994","OG0013535"
"78","Montipora_capitata_PredGene_g62662","OG0013300"
"79","Montipora_capitata_PredGene_g63093","OG0002305"
"80","Montipora_capitata_PredGene_g63102","OG0003152"
"81","Montipora_capitata_PredGene_g6322","OG0010623"
"82","Montipora_capitata_PredGene_g64908","OG0001287"
"83","Montipora_capitata_PredGene_g65430","OG0001287"
"84","Montipora_capitata_PredGene_g67062","OG0000003"
"85","Montipora_capitata_PredGene_g69559","OG0011354"
"86","Montipora_capitata_PredGene_g70475","OG0009134"
"87","Montipora_capitata_PredGene_g9676","OG0006597"
