Orthogroup	plut2v1.1.proteins	Montipora_capitata_HIv2.genes.pep
OG0000000	plut2.m8.30690.m1	Montipora_capitata_PredGene_adi2mcaRNA19804_R0.t1
OG0000000	plut2.m8.32487.m1	Montipora_capitata_PredGene_g2705.t1
OG0000000	plut2.m8.11062.m1, plut2.m8.11064.m1	Montipora_capitata_PredGene_g25400.t1
OG0000000	plut2.m8.33194.m1	Montipora_capitata_PredGene_adi2mcaRNA22630_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA29927_R3.t1
OG0000000	plut2.m8.20976.m1	Montipora_capitata_PredGene_adi2mcaRNA17045_R8.t1
OG0000000	plut2.m8.33377.m1, plut2.m8.17567.m1, plut2.m8.17557.m1, plut2.m8.12647.m1, plut2.m8.28825.m1, plut2.m8.20898.m1, plut2.m8.12889.m1, plut2.m8.33378.m1	Montipora_capitata_PredGene_adi2mcaRNA11876_R0.t1
OG0000000	plut2.m8.25721.m1, plut2.m8.18026.m1, plut2.m8.21095.m1, plut2.m8.31464.m1, plut2.m8.24194.m1, plut2.m8.24193.m1, plut2.m8.26908.m1, plut2.m8.21272.m1, plut2.m8.22761.m1, plut2.m8.9393.m1, plut2.m8.17175.m1, plut2.m8.18059.m1, plut2.m8.11776.m1, plut2.m8.26901.m1, plut2.m8.11771.m1, plut2.m8.22759.m1, plut2.m8.22704.m1, plut2.m8.24387.m1, plut2.m8.17031.m1, plut2.m8.7081.m1, plut2.m8.4493.m1, plut2.m8.24398.m1, plut2.m8.21493.m1, plut2.m8.7402.m1, plut2.m8.27440.m1, plut2.m8.21804.m1	Montipora_capitata_PredGene_adi2mcaRNA22288_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA38983_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA11876_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38997_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA15275_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA7616_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R1.t1
OG0000000	plut2.m8.12882.m1	Montipora_capitata_PredGene_adi2mcaRNA10691_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA38888_R6.t1
OG0000001	plut2.m8.17679.m1, plut2.m8.18053.m1, plut2.m8.18054.m1, plut2.m8.18048.m1	Montipora_capitata_PredGene_g37311.t1, Montipora_capitata_PredGene_g37310.t1, Montipora_capitata_PredGene_adi2mcaRNA27262_R1.t1, Montipora_capitata_PredGene_g37305.t1, Montipora_capitata_PredGene_g37306.t1, Montipora_capitata_PredGene_g37301.t1, Montipora_capitata_PredGene_g37304.t1
OG0000001	plut2.m8.24910.m1, plut2.m8.24912.m1, plut2.m8.24911.m1, plut2.m8.24913.m1, plut2.m8.24907.m1, plut2.m8.24915.m1, plut2.m8.24914.m1	Montipora_capitata_PredGene_g991.t1, Montipora_capitata_PredGene_g990.t1, Montipora_capitata_PredGene_adi2mcaRNA15279_R0.t1, Montipora_capitata_PredGene_g985.t1
OG0000001	plut2.m8.4397.m1, plut2.m8.4395.m1	Montipora_capitata_PredGene_g25171.t1, Montipora_capitata_PredGene_g22602.t1, Montipora_capitata_PredGene_g22598.t1, Montipora_capitata_PredGene_g22594.t1, Montipora_capitata_PredGene_g22592.t1, Montipora_capitata_PredGene_g22591.t1, Montipora_capitata_PredGene_g22589.t1, Montipora_capitata_PredGene_g22597.t1, Montipora_capitata_PredGene_g36623.t1
OG0000001	plut2.m8.20263.m1, plut2.m8.32391.m1, plut2.m8.32642.m1, plut2.m8.29646.m1	Montipora_capitata_PredGene_g11967.t1, Montipora_capitata_PredGene_g26791.t1, Montipora_capitata_PredGene_adi2mcaRNA2633_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA2633_R2.t1, Montipora_capitata_PredGene_g26789.t1
OG0000001	plut2.m8.32705.m1	Montipora_capitata_PredGene_g26788.t1
OG0000001	plut2.m8.26268.m1	Montipora_capitata_PredGene_g3481.t1, Montipora_capitata_PredGene_g10350.t1
OG0000001	plut2.m8.32638.m1, plut2.m8.32643.m1, plut2.m8.32652.m1, plut2.m8.32653.m1	Montipora_capitata_PredGene_adi2mcaRNA12219_R1.t1
OG0000001	plut2.m8.11091.m1	Montipora_capitata_PredGene_adi2mcaRNA12219_R0.t1
OG0000001	plut2.m8.20692.m1, plut2.m8.20697.m1, plut2.m8.20695.m1, plut2.m8.20686.m1	Montipora_capitata_PredGene_adi2mcaRNA20171_R3.t1, Montipora_capitata_PredGene_g51997.t1
OG0000001	plut2.m8.27293.m1, plut2.m8.26372.m1, plut2.m8.26371.m1, plut2.m8.26393.m1, plut2.m8.26394.m1, plut2.m8.27292.m1, plut2.m8.27289.m1, plut2.m8.6473.m1, plut2.m8.18377.m1, plut2.m8.20266.m1, plut2.m8.4404.m1, plut2.m8.26267.m1, plut2.m8.4396.m1, plut2.m8.18051.m1	Montipora_capitata_PredGene_g984.t1
OG0000002	plut2.m8.32872.m1, plut2.m8.23830.m1, plut2.m8.22088.m1, plut2.m8.17793.m1	Montipora_capitata_PredGene_g31314.t1, Montipora_capitata_PredGene_g59910.t1
OG0000002	jamg1.model.Sc0000320.78	Montipora_capitata_PredGene_g25649.t1, Montipora_capitata_PredGene_g46267.t1, Montipora_capitata_PredGene_g25671.t1, Montipora_capitata_PredGene_g25650.t1, Montipora_capitata_PredGene_g5812.t1, Montipora_capitata_PredGene_g56302.t1, Montipora_capitata_PredGene_g19121.t1, Montipora_capitata_PredGene_g29062.t1, Montipora_capitata_PredGene_g6600.t1, Montipora_capitata_PredGene_g59750.t1, Montipora_capitata_PredGene_g16734.t1, Montipora_capitata_PredGene_g19923.t1, Montipora_capitata_PredGene_g57336.t1, Montipora_capitata_PredGene_g51342.t1, Montipora_capitata_PredGene_g48368.t1
OG0000002	jamg1.model.Sc0000381.30, plut2.m8.30505.m1	Montipora_capitata_PredGene_g24743.t1
OG0000002	jamg1.model.Sc0000984.4, jamg1.model.Sc0000322.13	Montipora_capitata_PredGene_g30500.t1
OG0000002	jamg1.model.xpSc0007185.1, plut2.m8.32909.m1, plut2.m8.26871.m1, plut2.m8.16793.m1, jamg1.model.Sc0000436.16, jamg1.model.Sc0000436.12, jamg1.model.Sc0000685.4, jamg1.model.Sc0000095.5, jamg1.model.xfSc0000152.3, jamg1.model.Sc0000214.22, plut2.m8.1939.m1	Montipora_capitata_PredGene_adi2mcaRNA28013_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R3.t1, Montipora_capitata_PredGene_g57055.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R1.t1, Montipora_capitata_PredGene_g42176.t1
