Orthogroup	Mcavernosa.maker.proteins	Acerv_assembly_v1.0.protein
OG0000000	Mcavernosa18524-RA, Mcavernosa18526-RA	Acerv_evm.model.Segkk142_pilon.1
OG0000000	Mcavernosa08070-RA	Acerv_evm.model.Segkk3741_pilon.26, Acerv_evm.model.Segkk3741_pilon.25
OG0000001	Mcavernosa18934-RA	Acerv_evm.model.Segkk3100_pilon.13
OG0000001	Mcavernosa09902-RA	Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2
OG0000002	Mcavernosa07120-RA, Mcavernosa32991-RA, Mcavernosa07118-RA, Mcavernosa07119-RA	Acerv_evm.model.Segkk650_pilon.52
OG0000002	Mcavernosa11144-RA	Acerv_evm.model.Segkk3867_pilon.4, Acerv_evm.model.Segkk4159_pilon.13, Acerv_evm.model.Segkk668_pilon.10, Acerv_evm.model.Segkk2112_pilon.9, Acerv_evm.model.Segkk2853_pilon.22, Acerv_evm.model.Segkk3190_pilon.2, Acerv_evm.model.Segkk4195_pilon.24, Acerv_evm.model.Segkk1197_pilon.9, Acerv_evm.model.Segkk2302_pilon.8, Acerv_evm.model.Segkk3857_pilon.14, Acerv_evm.model.Segkk3190_pilon.1, Acerv_evm.model.Segkk2302_pilon.11, Acerv_evm.model.Segkk3224_pilon.3, Acerv_evm.model.Segkk4195_pilon.26, Acerv_evm.model.Segkk668_pilon.9, Acerv_evm.model.Segkk4195_pilon.25
OG0000003	Mcavernosa29868-RA	Acerv_evm.model.Segkk2089_pilon.8
OG0000003	Mcavernosa06378-RA	Acerv_evm.model.Segkk2319_pilon.17
OG0000004	Mcavernosa05413-RA	Acerv_evm.model.Segkk1426_pilon.5
OG0000004	Mcavernosa15460-RA	Acerv_evm.model.Segkk4020_pilon.2
OG0000005	Mcavernosa12738-RA	Acerv_evm.model.Segkk1442_pilon.2, Acerv_evm.model.Segkk1442_pilon.1
OG0000006	Mcavernosa06791-RA, Mcavernosa06790-RA	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7
OG0000008	Mcavernosa23941-RA	Acerv_evm.model.Segkk160_pilon.3, Acerv_evm.model.Segkk4013_pilon.1, Acerv_evm.model.Segkk2025_pilon.1, Acerv_evm.model.Segkk1902_pilon.1, Acerv_evm.model.Segkk4028_pilon.31, Acerv_evm.model.Segkk2267_pilon.23, Acerv_evm.model.Segkk1024_pilon.2, Acerv_evm.model.Segkk1514_pilon.8, Acerv_evm.model.Segkk3153_pilon.2, Acerv_evm.model.Segkk1679_pilon.2, Acerv_evm.model.Segkk3819_pilon.4, Acerv_evm.model.Segkk3819_pilon.1, Acerv_evm.model.Segkk1181_pilon.10, Acerv_evm.model.Segkk4332_pilon.11, Acerv_evm.model.Segkk607_pilon.15, Acerv_evm.model.Segkk2267_pilon.11, Acerv_evm.model.Segkk608_pilon.3, Acerv_evm.model.Segkk1245_pilon.1, Acerv_evm.model.Segkk3453_pilon.19, Acerv_evm.model.Segkk377_pilon.1, Acerv_evm.model.Segkk2889_pilon.24, Acerv_evm.model.Segkk1421_pilon.5, Acerv_evm.model.Segkk2267_pilon.18, Acerv_evm.model.Segkk1873_pilon.1, Acerv_evm.model.Segkk1001_pilon.5, Acerv_evm.model.Segkk1421_pilon.11, Acerv_evm.model.Segkk2346_pilon.2, Acerv_evm.model.Segkk664_pilon.5, Acerv_evm.model.Segkk1532_pilon.1, Acerv_evm.model.Segkk2267_pilon.15
