Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0000000	Mcavernosa18524-RA, Mcavernosa18526-RA	plut2.m8.30690.m1
OG0000000	Mcavernosa01506-RA	plut2.m8.13359.m1, plut2.m8.20070.m1, plut2.m8.13361.m1
OG0000000	Mcavernosa08070-RA	plut2.m8.11062.m1, plut2.m8.11064.m1
OG0000000	Mcavernosa18525-RA	plut2.m8.31139.m1, plut2.m8.31138.m1
OG0000001	Mcavernosa18934-RA	plut2.m8.32705.m1
OG0000001	Mcavernosa09902-RA	plut2.m8.30823.m1, plut2.m8.3510.m1
OG0000001	Mcavernosa11813-RA	plut2.m8.6474.m1
OG0000002	Mcavernosa11144-RA	jamg1.model.xfSc0000004.58
OG0000003	Mcavernosa29868-RA	plut2.m8.17369.m1
OG0000003	Mcavernosa06378-RA	plut2.m8.9050.m1, plut2.m8.9051.m1
OG0000004	Mcavernosa05413-RA	plut2.m8.8386.m1
OG0000004	Mcavernosa15460-RA	plut2.m8.633.m1
OG0000005	Mcavernosa00299-RA	plut2.m8.28874.m1, plut2.m8.32837.m1, plut2.m8.9030.m1
OG0000005	Mcavernosa34952-RA, Mcavernosa23981-RA, Mcavernosa17662-RA, Mcavernosa04843-RA, Mcavernosa11826-RA, Mcavernosa13332-RA, Mcavernosa22215-RA, Mcavernosa19564-RA, Mcavernosa27682-RA, Mcavernosa08389-RA, Mcavernosa09401-RA, Mcavernosa08279-RA, Mcavernosa09383-RA, Mcavernosa21691-RA, Mcavernosa11385-RA	plut2.m8.29832.m1
OG0000006	Mcavernosa06791-RA, Mcavernosa06790-RA	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1
OG0000006	Mcavernosa06384-RA	plut2.m8.976.m1, plut2.m8.32944.m1
OG0000007	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA	plut2.m8.30961.m1, plut2.m8.32710.m1, plut2.m8.32709.m1, plut2.m8.32702.m1, plut2.m8.11699.m1, plut2.m8.32708.m1, plut2.m8.33520.m1, plut2.m8.11700.m1, plut2.m8.11712.m1, plut2.m8.11692.m1, plut2.m8.10139.m1, plut2.m8.9359.m1, plut2.m8.11706.m1, plut2.m8.32699.m1
