Orthogroup	Acerv_assembly_v1.0.protein	Mcavernosa.maker.proteins
OG0000000	Acerv_evm.model.Segkk142_pilon.1	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000000	Acerv_evm.model.Segkk3741_pilon.26, Acerv_evm.model.Segkk3741_pilon.25	Mcavernosa08070-RA
OG0000001	Acerv_evm.model.Segkk3100_pilon.13	Mcavernosa18934-RA
OG0000001	Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2	Mcavernosa09902-RA
OG0000002	Acerv_evm.model.Segkk650_pilon.52	Mcavernosa07120-RA, Mcavernosa32991-RA, Mcavernosa07118-RA, Mcavernosa07119-RA
OG0000002	Acerv_evm.model.Segkk3867_pilon.4, Acerv_evm.model.Segkk4159_pilon.13, Acerv_evm.model.Segkk668_pilon.10, Acerv_evm.model.Segkk2112_pilon.9, Acerv_evm.model.Segkk2853_pilon.22, Acerv_evm.model.Segkk3190_pilon.2, Acerv_evm.model.Segkk4195_pilon.24, Acerv_evm.model.Segkk1197_pilon.9, Acerv_evm.model.Segkk2302_pilon.8, Acerv_evm.model.Segkk3857_pilon.14, Acerv_evm.model.Segkk3190_pilon.1, Acerv_evm.model.Segkk2302_pilon.11, Acerv_evm.model.Segkk3224_pilon.3, Acerv_evm.model.Segkk4195_pilon.26, Acerv_evm.model.Segkk668_pilon.9, Acerv_evm.model.Segkk4195_pilon.25	Mcavernosa11144-RA
OG0000003	Acerv_evm.model.Segkk2089_pilon.8	Mcavernosa29868-RA
OG0000003	Acerv_evm.model.Segkk2319_pilon.17	Mcavernosa06378-RA
OG0000004	Acerv_evm.model.Segkk1426_pilon.5	Mcavernosa05413-RA
OG0000004	Acerv_evm.model.Segkk4020_pilon.2	Mcavernosa15460-RA
OG0000005	Acerv_evm.model.Segkk1442_pilon.2, Acerv_evm.model.Segkk1442_pilon.1	Mcavernosa12738-RA
OG0000006	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7	Mcavernosa06791-RA, Mcavernosa06790-RA
