Orthogroup	Mcavernosa.maker.proteins	Montipora_capitata_HIv2.genes.pep
OG0000000	Mcavernosa18524-RA, Mcavernosa18526-RA	Montipora_capitata_PredGene_adi2mcaRNA19804_R0.t1
OG0000000	Mcavernosa08070-RA	Montipora_capitata_PredGene_g25400.t1
OG0000001	Mcavernosa18934-RA	Montipora_capitata_PredGene_g26788.t1
OG0000002	Mcavernosa07120-RA, Mcavernosa32991-RA, Mcavernosa07118-RA, Mcavernosa07119-RA	Montipora_capitata_PredGene_g26980.t1, Montipora_capitata_PredGene_g25651.t1, Montipora_capitata_PredGene_g31315.t1, Montipora_capitata_PredGene_g5811.t1, Montipora_capitata_PredGene_g45627.t1, Montipora_capitata_PredGene_g69522.t1, Montipora_capitata_PredGene_g25670.t1
OG0000002	Mcavernosa11144-RA	Montipora_capitata_PredGene_g43894.t1, Montipora_capitata_PredGene_g34203.t1, Montipora_capitata_PredGene_g40172.t1, Montipora_capitata_PredGene_g45012.t1, Montipora_capitata_PredGene_g3303.t1, Montipora_capitata_PredGene_g35831.t1, Montipora_capitata_PredGene_g40171.t1, Montipora_capitata_PredGene_g34205.t1, Montipora_capitata_PredGene_g18671.t1, Montipora_capitata_PredGene_g17673.t1, Montipora_capitata_PredGene_g19427.t1, Montipora_capitata_PredGene_g43892.t1, Montipora_capitata_PredGene_g1794.t1, Montipora_capitata_PredGene_g34204.t1, Montipora_capitata_PredGene_g18670.t1, Montipora_capitata_PredGene_g28724.t1, Montipora_capitata_PredGene_g43893.t1
OG0000003	Mcavernosa29868-RA	Montipora_capitata_PredGene_g67062.t1, Montipora_capitata_PredGene_g67065.t1, Montipora_capitata_PredGene_adi2mcaRNA30866_R0.t1
OG0000003	Mcavernosa06378-RA	Montipora_capitata_PredGene_g22376.t1
OG0000003	Mcavernosa30132-RA, Mcavernosa25815-RA, Mcavernosa05195-RA	Montipora_capitata_PredGene_g69314.t1
OG0000004	Mcavernosa24873-RA, Mcavernosa24872-RA	Montipora_capitata_PredGene_g32129.t1
OG0000004	Mcavernosa15460-RA	Montipora_capitata_PredGene_g60287.t1
OG0000005	Mcavernosa34953-RA	Montipora_capitata_PredGene_g3493.t1, Montipora_capitata_PredGene_g37726.t1
OG0000005	Mcavernosa00299-RA	Montipora_capitata_PredGene_g56632.t1
OG0000005	Mcavernosa12738-RA	Montipora_capitata_PredGene_g46525.t1, Montipora_capitata_PredGene_g70755.t1
OG0000005	Mcavernosa30941-RA	Montipora_capitata_PredGene_g7633.t1
OG0000005	Mcavernosa02956-RA	Montipora_capitata_PredGene_g51421.t1, Montipora_capitata_PredGene_g27338.t1, Montipora_capitata_PredGene_g25002.t1, Montipora_capitata_PredGene_g63624.t1
OG0000005	Mcavernosa33296-RA, Mcavernosa16586-RA, Mcavernosa10943-RA, Mcavernosa32366-RA, Mcavernosa15237-RA, Mcavernosa25263-RA	Montipora_capitata_PredGene_g30778.t1
OG0000005	Mcavernosa33013-RA, Mcavernosa30940-RA	Montipora_capitata_PredGene_g63506.t1, Montipora_capitata_PredGene_g27337.t1, Montipora_capitata_PredGene_g22966.t1, Montipora_capitata_PredGene_g39930.t1, Montipora_capitata_PredGene_g36822.t1, Montipora_capitata_PredGene_g36010.t1, Montipora_capitata_PredGene_g18602.t1, Montipora_capitata_PredGene_g51420.t1, Montipora_capitata_PredGene_g25001.t1
OG0000005	Mcavernosa34952-RA	Montipora_capitata_PredGene_g47136.t1
OG0000005	Mcavernosa23981-RA	Montipora_capitata_PredGene_g43117.t1
OG0000005	Mcavernosa17662-RA	Montipora_capitata_PredGene_g30954.t1
OG0000005	Mcavernosa11826-RA, Mcavernosa13332-RA	Montipora_capitata_PredGene_g37725.t1
OG0000005	Mcavernosa19564-RA, Mcavernosa27682-RA, Mcavernosa08389-RA	Montipora_capitata_PredGene_g43116.t1, Montipora_capitata_PredGene_g51909.t1
OG0000005	Mcavernosa09401-RA, Mcavernosa08279-RA	Montipora_capitata_PredGene_g30953.t1, Montipora_capitata_PredGene_g50027.t1
OG0000005	Mcavernosa09383-RA	Montipora_capitata_PredGene_g65360.t1
OG0000005	Mcavernosa29401-RA	Montipora_capitata_PredGene_g28595.t1, Montipora_capitata_PredGene_g37144.t1, Montipora_capitata_PredGene_g49524.t1, Montipora_capitata_PredGene_g54955.t1, Montipora_capitata_PredGene_g1150.t1, Montipora_capitata_PredGene_g17497.t1, Montipora_capitata_PredGene_g29053.t1
OG0000006	Mcavernosa06791-RA, Mcavernosa06790-RA	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1
OG0000006	Mcavernosa06384-RA	Montipora_capitata_PredGene_g69103.t1
OG0000007	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA	Montipora_capitata_PredGene_g36035.t1
