Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000000	Mcavernosa18524-RA, Mcavernosa18526-RA	Pocillopora_acuta_HIv1_PredGene_g22080.t1
OG0000000	Mcavernosa01506-RA	Pocillopora_acuta_HIv1_PredGene_g18572.t1, Pocillopora_acuta_HIv1_PredGene_g18571.t1
OG0000000	Mcavernosa08070-RA	Pocillopora_acuta_HIv1_PredGene_g14419.t1
OG0000001	Mcavernosa18934-RA	Pocillopora_acuta_HIv1_PredGene_g17496.t1, Pocillopora_acuta_HIv1_PredGene_g3350.t1, Pocillopora_acuta_HIv1_PredGene_g11225.t1, Pocillopora_acuta_HIv1_PredGene_g3389.t1, Pocillopora_acuta_HIv1_PredGene_g28222.t1, Pocillopora_acuta_HIv1_PredGene_g3395.t1
OG0000001	Mcavernosa09902-RA	Pocillopora_acuta_HIv1_PredGene_g20804.t1, Pocillopora_acuta_HIv1_PredGene_g20801.t1, Pocillopora_acuta_HIv1_PredGene_g17961.t1
OG0000003	Mcavernosa29868-RA	Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t2, Pocillopora_acuta_HIv1_PredGene_g14581.t3
OG0000003	Mcavernosa06378-RA	Pocillopora_acuta_HIv1_PredGene_g12361.t1
OG0000004	Mcavernosa22771-RA	Pocillopora_acuta_HIv1_PredGene_g4699.t1, Pocillopora_acuta_HIv1_PredGene_g12256.t1, Pocillopora_acuta_HIv1_PredGene_g1674.t1
OG0000004	Mcavernosa05413-RA	Pocillopora_acuta_HIv1_PredGene_g21021.t1, Pocillopora_acuta_HIv1_PredGene_g21019.t1, Pocillopora_acuta_HIv1_PredGene_g27104.t1
OG0000005	Mcavernosa00299-RA	Pocillopora_acuta_HIv1_PredGene_g20967.t1, Pocillopora_acuta_HIv1_PredGene_g32004.t1, Pocillopora_acuta_HIv1_PredGene_g20954.t1, Pocillopora_acuta_HIv1_PredGene_g24631.t1, Pocillopora_acuta_HIv1_PredGene_g14370.t1, Pocillopora_acuta_HIv1_PredGene_g9735.t1, Pocillopora_acuta_HIv1_PredGene_g29877.t1, Pocillopora_acuta_HIv1_PredGene_g23877.t1, Pocillopora_acuta_HIv1_PredGene_g28476.t1, Pocillopora_acuta_HIv1_PredGene_g29498.t1, Pocillopora_acuta_HIv1_PredGene_g8354.t1, Pocillopora_acuta_HIv1_PredGene_g18501.t1, Pocillopora_acuta_HIv1_PredGene_g5642.t1, Pocillopora_acuta_HIv1_PredGene_g29499.t1, Pocillopora_acuta_HIv1_PredGene_g30288.t1, Pocillopora_acuta_HIv1_PredGene_g18395.t1, Pocillopora_acuta_HIv1_PredGene_g15535.t1, Pocillopora_acuta_HIv1_PredGene_g16023.t1, Pocillopora_acuta_HIv1_PredGene_g21558.t1, Pocillopora_acuta_HIv1_PredGene_g15668.t1, Pocillopora_acuta_HIv1_PredGene_g16776.t1, Pocillopora_acuta_HIv1_PredGene_g19349.t1, Pocillopora_acuta_HIv1_PredGene_g9445.t1, Pocillopora_acuta_HIv1_PredGene_g22221.t1, Pocillopora_acuta_HIv1_PredGene_g14163.t1, Pocillopora_acuta_HIv1_PredGene_g32134.t1, Pocillopora_acuta_HIv1_PredGene_g32127.t1, Pocillopora_acuta_HIv1_PredGene_g2007.t1
