Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000000	plut2.m8.30690.m1	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000000	plut2.m8.13359.m1, plut2.m8.20070.m1, plut2.m8.13361.m1	Mcavernosa01506-RA
OG0000000	plut2.m8.11062.m1, plut2.m8.11064.m1	Mcavernosa08070-RA
OG0000000	plut2.m8.31139.m1, plut2.m8.31138.m1	Mcavernosa18525-RA
OG0000001	plut2.m8.32705.m1	Mcavernosa18934-RA
OG0000001	plut2.m8.30823.m1, plut2.m8.3510.m1	Mcavernosa09902-RA
OG0000001	plut2.m8.6474.m1	Mcavernosa11813-RA
OG0000002	jamg1.model.xfSc0000004.58	Mcavernosa11144-RA
OG0000003	plut2.m8.17369.m1	Mcavernosa29868-RA
OG0000003	plut2.m8.9050.m1, plut2.m8.9051.m1	Mcavernosa06378-RA
OG0000004	plut2.m8.8386.m1	Mcavernosa05413-RA
OG0000004	plut2.m8.633.m1	Mcavernosa15460-RA
OG0000005	plut2.m8.28874.m1, plut2.m8.32837.m1, plut2.m8.9030.m1	Mcavernosa00299-RA
OG0000005	plut2.m8.29832.m1	Mcavernosa34952-RA, Mcavernosa23981-RA, Mcavernosa17662-RA, Mcavernosa04843-RA, Mcavernosa11826-RA, Mcavernosa13332-RA, Mcavernosa22215-RA, Mcavernosa19564-RA, Mcavernosa27682-RA, Mcavernosa08389-RA, Mcavernosa09401-RA, Mcavernosa08279-RA, Mcavernosa09383-RA, Mcavernosa21691-RA, Mcavernosa11385-RA
OG0000006	plut2.m8.1341.m1, plut2.m8.1350.m1, plut2.m8.1343.m1	Mcavernosa06791-RA, Mcavernosa06790-RA
OG0000006	plut2.m8.976.m1, plut2.m8.32944.m1	Mcavernosa06384-RA
OG0000007	plut2.m8.30961.m1, plut2.m8.32710.m1, plut2.m8.32709.m1, plut2.m8.32702.m1, plut2.m8.11699.m1, plut2.m8.32708.m1, plut2.m8.33520.m1, plut2.m8.11700.m1, plut2.m8.11712.m1, plut2.m8.11692.m1, plut2.m8.10139.m1, plut2.m8.9359.m1, plut2.m8.11706.m1, plut2.m8.32699.m1	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA
OG0000008	plut2.m8.15205.m1, jamg1.model.Sc0000617.8, jamg1.model.Sc0000484.1, plut2.m8.18662.m1, plut2.m8.18893.m1, plut2.m8.32615.m1, plut2.m8.354.m1, plut2.m8.29940.m1, plut2.m8.25453.m1, plut2.m8.24842.m1, plut2.m8.24301.m1, jamg1.model.Sc0000021.100, jamg1.model.Sc0000021.93, plut2.m8.2670.m1, plut2.m8.24344.m1	Mcavernosa23941-RA
OG0000008	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1	Mcavernosa27182-RA
OG0000009	plut2.m8.3431.m1, plut2.m8.26416.m1, plut2.m8.31608.m1, plut2.m8.3435.m1, plut2.m8.28372.m1	Mcavernosa18808-RA
OG0000009	plut2.m8.3437.m1, plut2.m8.3436.m1	Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18811-RA
OG0000010	jamg1.model.Sc0000359.28, plut2.m8.21571.m1	Mcavernosa08812-RA
OG0000010	plut2.m8.23850.m1	Mcavernosa24647-RA
OG0000010	plut2.m8.29877.m1	Mcavernosa30129-RA
OG0000010	jamg1.model.Sc0000513.15	Mcavernosa09742-RA, Mcavernosa32281-RA, Mcavernosa05088-RA
OG0000010	plut2.m8.11367.m1	Mcavernosa23787-RA, Mcavernosa21569-RA, Mcavernosa27765-RA, Mcavernosa10792-RA, Mcavernosa08804-RA
OG0000012	plut2.m8.16439.m1, plut2.m8.32563.m1	Mcavernosa26506-RA
OG0000013	plut2.m8.8653.m1	Mcavernosa01928-RA
OG0000013	plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1	Mcavernosa31190-RA
OG0000014	jamg1.model.Sc0000523.31	Mcavernosa14358-RA
OG0000015	jamg1.model.Sc0000664.1	Mcavernosa11759-RA, Mcavernosa22085-RA, Mcavernosa22082-RA, Mcavernosa32426-RA, Mcavernosa07340-RA, Mcavernosa19284-RA
