gene_id,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Pocillopora_acuta_HIv1_PredGene_g13465.t1,0,0,0,0,0,0,1,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1593.t1,0,0,0,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g13143.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32263.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28347.t1,0,0,0,0,0,0,1,0,0,0,0,0
STRG.15049,4,0,0,2,0,0,1,1,2,1,1,0
Pocillopora_acuta_HIv1_PredGene_g33254.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7164.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29069.t1,0,0,0,0,0,13,0,0,0,0,8,15
MSTRG.18313,6,5,4,0,13,6,6,14,10,4,7,0
MSTRG.19848,7,28,17,3,27,8,27,23,33,30,30,29
MSTRG.19849,162,115,93,94,119,123,158,305,354,157,152,325
MSTRG.19846,30,25,23,13,29,18,34,66,73,26,16,36
MSTRG.19847,7,29,26,2,15,6,51,78,135,24,0,40
MSTRG.19844,161,86,39,45,95,61,107,164,179,90,63,129
MSTRG.19845,0,16,19,4,26,10,17,6,10,23,12,21
MSTRG.19842,100,39,25,12,59,62,44,93,96,39,36,78
MSTRG.19843,57,37,21,23,38,43,36,50,89,15,35,38
MSTRG.19840,81,58,32,11,97,64,58,130,132,63,64,100
MSTRG.19841,274,113,123,33,194,141,125,366,356,144,86,240
MSTRG.15172,8,2,2,2,10,6,5,11,2,2,3,18
MSTRG.15173,4,2,3,0,7,4,4,11,7,3,0,8
MSTRG.15170,372,111,33,22,160,134,131,264,290,135,93,192
MSTRG.15171,371,133,70,33,185,160,130,282,314,191,114,197
Pocillopora_acuta_HIv1_PredGene_g10107.t1,0,0,0,0,0,0,0,0,1,2,0,0
MSTRG.15177,182,98,69,45,90,117,116,212,281,111,91,189
MSTRG.15174,352,148,144,53,330,163,168,476,511,301,104,455
MSTRG.15175,56,54,43,16,38,33,73,98,166,67,40,117
MSTRG.15178,21,21,6,7,13,25,31,43,56,13,28,22
MSTRG.15179,104,83,88,62,65,142,141,257,198,125,136,167
MSTRG.10522,364,191,134,37,295,176,202,407,439,293,112,284
MSTRG.10523,14,0,0,0,8,15,6,12,10,4,10,10
MSTRG.10520,44,0,0,0,0,0,0,50,52,0,0,46
MSTRG.10521,114,58,22,16,70,65,69,126,162,69,28,94
MSTRG.10526,495,319,185,74,355,232,372,600,670,320,206,591
MSTRG.10527,498,249,98,104,188,282,262,468,530,209,192,463
MSTRG.10524,33,15,11,17,23,20,31,58,68,23,11,39
Pocillopora_acuta_HIv1_PredGene_g11101.t1,0,0,1,0,0,0,0,0,0,0,0,0
MSTRG.10528,66,29,30,22,40,27,48,104,103,52,21,96
MSTRG.10529,51,23,12,17,22,22,28,53,71,33,8,38
STRG.17683,1,0,0,0,0,1,2,2,1,1,0,0
MSTRG.18315,22,9,6,5,8,28,8,19,14,12,13,37
MSTRG.5660,165,75,71,46,113,77,94,232,231,90,56,224
MSTRG.5661,16,24,10,6,20,19,22,47,51,21,16,33
MSTRG.5662,37,31,13,9,32,26,41,53,53,27,28,63
MSTRG.5663,72,61,43,18,69,81,74,123,136,78,77,133
MSTRG.5664,96,91,55,13,86,60,96,194,227,99,45,141
MSTRG.5665,149,145,85,27,128,139,169,286,339,156,124,216
MSTRG.5666,135,109,75,66,126,94,153,210,280,134,62,183
MSTRG.5667,390,218,79,60,207,294,274,465,510,212,146,302
MSTRG.5668,169,51,26,25,59,82,72,127,189,62,44,89
MSTRG.5669,548,252,108,106,280,236,332,690,620,235,168,410
Pocillopora_acuta_HIv1_PredGene_g14096.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1640.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.18755,1,0,2,0,1,3,0,0,2,1,1,3
Pocillopora_acuta_HIv1_PredGene_g10105.t1,0,0,1,0,1,0,1,0,0,0,0,0
MSTRG.3848,9,5,0,0,4,0,5,5,12,0,3,11
MSTRG.3849,9,16,0,0,13,7,9,11,10,12,0,0
Pocillopora_acuta_HIv1_PredGene_g24906.t1,0,0,0,0,0,0,3,2,3,3,0,4
MSTRG.3842,277,98,96,80,125,109,106,319,297,148,59,301
MSTRG.3843,55,8,6,10,11,18,8,16,22,8,4,15
MSTRG.3840,47,18,12,14,18,28,22,47,49,20,12,50
MSTRG.3841,18,8,6,11,7,11,18,37,24,13,13,30
MSTRG.3846,0,0,0,0,0,0,0,5,0,0,10,9
MSTRG.3847,0,0,0,0,0,0,0,0,0,0,5,0
MSTRG.3844,8,0,0,0,0,0,1,11,9,0,0,8
MSTRG.3845,23,3,3,0,3,4,5,20,14,3,5,14
MSTRG.18719,15,9,5,2,8,4,11,9,20,7,9,11
MSTRG.18718,227,100,68,28,205,172,127,261,261,126,98,148
MSTRG.18715,68,57,38,32,47,44,78,158,140,54,36,108
MSTRG.18714,24958,4541,3779,1453,6176,6353,4824,13782,12030,5785,3879,21892
Pocillopora_acuta_HIv1_PredGene_g24740.t1,0,2,0,1,1,1,2,4,2,1,2,0
MSTRG.18716,118,49,34,33,61,71,87,206,150,75,58,106
MSTRG.18711,12626,3867,2822,1025,5271,4174,4269,10281,9280,5125,2962,9562
MSTRG.18710,3051,750,698,258,967,1107,939,1892,1788,855,617,3289
MSTRG.18713,306,89,44,74,71,75,92,245,166,100,56,336
MSTRG.18712,29,15,9,17,12,18,15,7,0,12,17,41
Pocillopora_acuta_HIv1_PredGene_g4074.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2447.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.22388,1,1,0,1,0,0,0,1,1,0,0,1
STRG.16762,28,27,19,32,14,24,30,48,62,26,24,65
Pocillopora_acuta_HIv1_PredGene_g20359.t1,0,0,0,0,0,0,0,1,0,0,0,0
MSTRG.6311,19,0,0,17,0,14,0,0,0,0,3,5
MSTRG.6310,0,2,0,5,0,2,0,0,0,0,0,0
MSTRG.6313,1415,363,215,180,541,479,419,1049,1185,546,277,801
MSTRG.6312,15,0,0,7,5,8,0,10,21,8,0,9
MSTRG.6315,729,303,288,103,672,289,283,794,1090,496,224,696
MSTRG.6314,156,40,37,27,64,59,55,101,153,55,35,84
MSTRG.6317,10,3,3,2,6,8,11,18,10,6,4,13
Pocillopora_acuta_HIv1_PredGene_g1642.t1,0,0,0,0,0,0,0,0,0,0,0,6
MSTRG.6319,38,15,11,6,24,14,22,28,54,20,10,26
MSTRG.6318,338,166,152,123,189,176,226,480,424,241,147,348
Pocillopora_acuta_HIv1_PredGene_g21238.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30370.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15390.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23000.t1,0,1,1,0,1,0,1,0,0,1,1,2
Pocillopora_acuta_HIv1_PredGene_g9413.t1,0,0,0,0,0,1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10414.t1,0,0,0,1,0,0,0,0,1,1,0,0
STRG.26261,1,1,1,1,2,1,1,0,1,2,0,0
STRG.26264,13,2,0,7,0,0,9,6,8,5,0,16
STRG.26265,8,0,0,4,2,5,5,5,5,2,1,4
STRG.15864,1,0,0,0,1,0,0,1,2,0,0,0
Pocillopora_acuta_HIv1_PredGene_g9756.t1,0,0,0,0,0,0,0,4,0,1,0,0
STRG.4995,7,4,2,3,5,5,10,8,9,2,0,9
STRG.4994,6,5,3,1,6,2,7,12,19,4,4,13
Pocillopora_acuta_HIv1_PredGene_g1502.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.250,6,0,0,0,0,0,0,0,2,2,0,6
Pocillopora_acuta_HIv1_PredGene_g10356.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23251.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23002.t1,0,2,2,1,2,1,2,1,3,1,1,2
Pocillopora_acuta_HIv1_PredGene_g1500.t1,0,1,1,1,1,0,0,0,0,1,0,2
STRG.21123,17,11,0,20,0,15,14,21,24,7,11,30
Pocillopora_acuta_HIv1_PredGene_g17490.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20740.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.17570,1,0,0,0,0,0,0,0,1,0,0,0
MSTRG.208,543,149,92,57,399,209,161,352,430,278,130,242
MSTRG.209,55,20,12,29,33,29,23,60,43,28,19,31
Pocillopora_acuta_HIv1_PredGene_g23253.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.204,12,4,0,0,0,0,0,0,7,0,0,13
MSTRG.205,2344,735,489,173,1191,853,757,2081,2410,1159,578,1505
MSTRG.206,190,176,152,101,158,159,274,409,418,240,151,402
MSTRG.207,172,98,49,24,67,83,90,176,245,122,101,180
MSTRG.200,4,1,3,1,3,5,2,4,13,3,3,3
MSTRG.201,0,5,4,0,0,2,6,10,6,0,0,0
MSTRG.202,133,85,61,100,63,156,123,179,169,75,160,261
MSTRG.203,89,272,191,17,429,75,299,507,494,424,0,359
MSTRG.9992,70,106,74,111,139,103,217,201,230,103,36,106
MSTRG.9993,47,44,19,15,27,33,70,84,110,44,35,66
MSTRG.9990,118,43,35,63,43,71,67,118,128,59,40,151
MSTRG.9991,234,148,125,118,144,122,234,341,334,191,107,302
MSTRG.9996,61,0,1,31,2,42,5,0,9,0,3,6
MSTRG.9997,4,0,0,0,0,0,0,0,5,3,0,8
MSTRG.9994,102,60,53,111,78,65,85,176,185,90,66,145
Pocillopora_acuta_HIv1_PredGene_g24626.t1,0,2,1,0,1,1,1,2,1,1,1,0
MSTRG.9998,7,4,6,3,5,5,9,11,12,7,4,7
MSTRG.9999,12,4,3,6,2,13,6,5,3,3,6,33
STRG.25715,4,1,1,4,1,3,3,1,0,1,2,1
Pocillopora_acuta_HIv1_PredGene_g26794.t1,0,1,0,0,0,0,0,0,0,1,0,1
STRG.7080,1,1,0,0,0,2,0,0,0,0,1,1
STRG.7081,1,1,2,1,1,2,2,2,3,1,1,4
MSTRG.557,0,0,0,0,0,0,17,10,5,3,8,0
Pocillopora_acuta_HIv1_PredGene_g30309.t1,0,0,0,0,0,5,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_14109_t,0,0,0,4,0,4,0,7,8,4,0,7
STRG.1865,8,10,11,8,8,8,8,23,19,11,7,20
Pocillopora_acuta_HIv1_PredGene_g19319.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.14051,2,2,1,1,2,1,3,3,5,2,1,0
STRG.7338,4,0,1,2,0,1,1,1,0,0,0,0
STRG.7339,12,0,0,0,0,0,0,0,11,0,0,10
Pocillopora_acuta_HIv1_PredGene_g32515.t1,0,0,0,0,0,2,0,9,5,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20155.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6900,203,91,71,57,153,76,110,382,311,127,49,139
Pocillopora_acuta_HIv1_PredGene_g23232.t1,0,0,0,0,0,0,0,0,1,0,0,0
MSTRG.6901,128,34,28,52,40,64,59,117,121,47,33,89
MSTRG.15176,40,19,7,8,12,22,35,41,45,20,15,31
MSTRG.12337,0,8,3,0,10,6,9,12,11,3,2,0
MSTRG.6903,8,5,3,3,5,2,5,16,18,4,2,11
MSTRG.6904,56,29,29,37,27,33,47,98,63,32,21,53
MSTRG.12330,0,0,0,0,0,0,0,0,0,0,1,0
MSTRG.12333,423,240,157,43,373,232,251,528,629,356,173,423
MSTRG.12332,24,16,5,10,15,21,19,36,49,29,12,16
MSTRG.20699,6,0,0,7,0,8,1,0,0,0,0,0
MSTRG.20698,11,0,0,5,1,4,0,0,0,0,0,0
MSTRG.20693,11,1,1,1,1,2,1,10,11,1,1,15
MSTRG.20692,43,16,10,26,19,40,19,18,18,18,22,66
MSTRG.20691,14,1,1,0,1,2,1,9,12,1,2,10
MSTRG.20690,14,0,0,0,0,0,0,8,10,0,0,9
Pocillopora_acuta_HIv1_PredGene_g33430.t1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.20696,23,3,2,2,5,6,4,6,6,7,2,27
MSTRG.20695,10,3,2,2,5,5,3,8,12,4,0,5
Pocillopora_acuta_HIv1_PredGene_g758.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2524.t1,0,4,2,0,3,0,5,9,7,4,1,3
Pocillopora_acuta_HIv1_PredGene_g26744.t1,0,0,0,0,0,0,0,0,0,0,1,2
