gene_id,length
Pocillopora_acuta_HIv1_PredGene_g7251.t1,2541
Pocillopora_acuta_HIv1_PredGene_g7036.t1,666
Pocillopora_acuta_HIv1_PredGene_g7229.t1,600
Pocillopora_acuta_HIv1_PredGene_480_t,993
Pocillopora_acuta_HIv1_PredGene_77_t,1020
Pocillopora_acuta_HIv1_PredGene_g7449.t1,1902
Pocillopora_acuta_HIv1_PredGene_g7162.t1,741
Pocillopora_acuta_HIv1_PredGene_g7222.t1,729
Pocillopora_acuta_HIv1_PredGene_g7583.t1,2691
Pocillopora_acuta_HIv1_PredGene_g7047.t1,1713
Pocillopora_acuta_HIv1_PredGene_270_t,1200
Pocillopora_acuta_HIv1_PredGene_g7018.t1,1077
Pocillopora_acuta_HIv1_PredGene_g7311.t1,1209
Pocillopora_acuta_HIv1_PredGene_369_t,1257
Pocillopora_acuta_HIv1_PredGene_g7630.t1,1359
Pocillopora_acuta_HIv1_PredGene_g7095.t1,951
Pocillopora_acuta_HIv1_PredGene_g7479.t1,1719
Pocillopora_acuta_HIv1_PredGene_g7405.t1,747
Pocillopora_acuta_HIv1_PredGene_g7129.t1,549
Pocillopora_acuta_HIv1_PredGene_355_t,9390
Pocillopora_acuta_HIv1_PredGene_g7593.t1,210
Pocillopora_acuta_HIv1_PredGene_g7070.t1,846
Pocillopora_acuta_HIv1_PredGene_201_t,336
Pocillopora_acuta_HIv1_PredGene_g7237.t1,1092
Pocillopora_acuta_HIv1_PredGene_g7610.t2,4368
Pocillopora_acuta_HIv1_PredGene_g7083.t1,1512
Pocillopora_acuta_HIv1_PredGene_156_t,3117
Pocillopora_acuta_HIv1_PredGene_g7393.t1,2223
Pocillopora_acuta_HIv1_PredGene_653_t,1638
Pocillopora_acuta_HIv1_PredGene_g7034.t1,1605
Pocillopora_acuta_HIv1_PredGene_g7053.t1,768
Pocillopora_acuta_HIv1_PredGene_g7085.t1,552
Pocillopora_acuta_HIv1_PredGene_g7155.t1,1155
Pocillopora_acuta_HIv1_PredGene_g7671.t1,264
Pocillopora_acuta_HIv1_PredGene_g7236.t1,720
Pocillopora_acuta_HIv1_PredGene_g7275.t1,516
Pocillopora_acuta_HIv1_PredGene_g7130.t1,456
Pocillopora_acuta_HIv1_PredGene_g7051.t2,1890
Pocillopora_acuta_HIv1_PredGene_g7598.t1,1836
Pocillopora_acuta_HIv1_PredGene_g7368.t3,4695
Pocillopora_acuta_HIv1_PredGene_g7347.t1,957
Pocillopora_acuta_HIv1_PredGene_g7263.t1,282
Pocillopora_acuta_HIv1_PredGene_g7415.t1,204
Pocillopora_acuta_HIv1_PredGene_g7487.t1,252
Pocillopora_acuta_HIv1_PredGene_g7247.t1,549
Pocillopora_acuta_HIv1_PredGene_g7109.t1,1008
Pocillopora_acuta_HIv1_PredGene_g7622.t1,1581
Pocillopora_acuta_HIv1_PredGene_435_t,1590
Pocillopora_acuta_HIv1_PredGene_g7498.t1,6240
Pocillopora_acuta_HIv1_PredGene_169_t,3048
Pocillopora_acuta_HIv1_PredGene_g7548.t2,2157
Pocillopora_acuta_HIv1_PredGene_g7438.t1,576
Pocillopora_acuta_HIv1_PredGene_81_t,1218
Pocillopora_acuta_HIv1_PredGene_g7647.t1,2601
Pocillopora_acuta_HIv1_PredGene_g7162.t2,642
Pocillopora_acuta_HIv1_PredGene_g7309.t1,1074
Pocillopora_acuta_HIv1_PredGene_g7678.t1,1215
Pocillopora_acuta_HIv1_PredGene_g7287.t1,2928
Pocillopora_acuta_HIv1_PredGene_g7662.t1,1719
Pocillopora_acuta_HIv1_PredGene_g7050.t1,1845
Pocillopora_acuta_HIv1_PredGene_g7549.t1,507
Pocillopora_acuta_HIv1_PredGene_g7273.t1,1155
Pocillopora_acuta_HIv1_PredGene_g7380.t1,2379
Pocillopora_acuta_HIv1_PredGene_g7425.t1,3564
Pocillopora_acuta_HIv1_PredGene_g7315.t1,825
Pocillopora_acuta_HIv1_PredGene_g7357.t1,1104
Pocillopora_acuta_HIv1_PredGene_g7167.t1,5262
Pocillopora_acuta_HIv1_PredGene_g7255.t1,585
Pocillopora_acuta_HIv1_PredGene_g7683.t1,1017
Pocillopora_acuta_HIv1_PredGene_g7605.t1,363
Pocillopora_acuta_HIv1_PredGene_g7185.t1,2688
Pocillopora_acuta_HIv1_PredGene_g7654.t1,1398
Pocillopora_acuta_HIv1_PredGene_534_t,459
Pocillopora_acuta_HIv1_PredGene_g7206.t1,558
Pocillopora_acuta_HIv1_PredGene_g7447.t1,384
Pocillopora_acuta_HIv1_PredGene_g7429.t1,1182
Pocillopora_acuta_HIv1_PredGene_g7644.t3,858
Pocillopora_acuta_HIv1_PredGene_g7661.t1,768
Pocillopora_acuta_HIv1_PredGene_g7284.t1,1215
Pocillopora_acuta_HIv1_PredGene_g7302.t1,1311
Pocillopora_acuta_HIv1_PredGene_585_t,2898
Pocillopora_acuta_HIv1_PredGene_148_t,1359
Pocillopora_acuta_HIv1_PredGene_g7385.t1,219
Pocillopora_acuta_HIv1_PredGene_633_t,1038
Pocillopora_acuta_HIv1_PredGene_g7349.t1,666
Pocillopora_acuta_HIv1_PredGene_637_t,1863
Pocillopora_acuta_HIv1_PredGene_g7278.t1,363
Pocillopora_acuta_HIv1_PredGene_g7608.t1,930
