gene_id,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Pocillopora_acuta_HIv1_PredGene_g13465.t1,0,0,0,0,0,0,1,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1593.t1,0,0,0,0,0,0,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g19167.t1,0,0,1,0,1,0,1,0,2,1,0,0
STRG.25988,4366,1320,1096,1471,1627,2021,1412,3396,3208,1565,1329,2695
Pocillopora_acuta_HIv1_PredGene_g32263.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28347.t1,0,0,0,0,0,0,1,0,0,0,0,0
STRG.8663,6,0,0,0,0,0,0,5,4,0,0,15
STRG.8662,19,6,4,2,11,8,7,17,16,8,5,7
STRG.15040,285,94,58,55,95,132,115,261,249,109,96,182
STRG.15041,8,6,7,7,8,7,5,19,16,0,5,128
STRG.15046,91,49,44,18,91,58,79,154,182,82,38,107
STRG.8666,2,4,1,0,2,4,2,0,0,2,0,2
STRG.8665,8,3,3,2,4,3,6,10,7,3,2,3
STRG.15045,109,64,57,34,81,38,58,156,162,87,53,86
STRG.8669,32,28,13,17,32,32,45,52,48,32,32,59
STRG.15049,101,70,45,36,83,67,82,164,171,74,68,87
STRG.6544,244,60,43,25,84,116,74,133,126,76,79,124
STRG.6545,45,21,16,31,18,25,19,50,57,19,8,61
STRG.6546,65,14,6,11,21,25,17,27,32,16,6,39
STRG.6547,179,75,58,24,122,107,77,202,189,101,62,117
STRG.6540,77,25,12,16,40,25,30,27,70,36,8,42
STRG.6541,125,69,49,19,79,76,64,170,184,98,64,137
STRG.6542,1171,684,328,157,700,659,884,1353,1738,660,304,1164
STRG.6543,40,15,0,0,12,0,0,33,27,0,0,30
STRG.6548,16,4,5,4,4,6,6,20,24,6,3,10
STRG.6549,206,76,54,24,123,107,81,190,187,105,61,123
STRG.17574,156,90,65,27,55,63,74,173,199,87,45,127
STRG.17575,43,22,10,12,18,13,12,96,74,47,20,88
STRG.17576,111,54,15,26,44,44,61,105,120,57,49,76
STRG.2437,101,63,20,24,32,42,73,103,119,50,32,98
Pocillopora_acuta_HIv1_PredGene_g7164.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.17571,63,24,30,36,32,42,34,82,58,46,27,111
STRG.2432,12,1,0,2,2,1,1,0,2,2,1,2
Pocillopora_acuta_HIv1_PredGene_g29069.t1,0,0,0,0,0,13,0,0,0,0,8,15
STRG.2438,1,1,1,2,2,1,1,2,3,2,1,1
STRG.17579,239,50,27,13,52,55,54,111,118,64,50,66
STRG.15594,2661,1682,1823,3410,2364,1945,2345,4305,4316,2956,1804,3098
STRG.15595,30,41,21,26,27,24,62,84,93,41,30,74
STRG.15596,116,63,44,29,95,67,74,151,145,66,43,99
STRG.15597,79,119,40,0,94,133,151,123,221,74,74,131
Pocillopora_acuta_HIv1_PredGene_g10107.t1,0,0,0,0,0,0,0,0,1,2,0,0
STRG.15591,53,31,24,14,48,17,36,81,100,33,26,61
STRG.15592,86,24,30,24,51,33,34,75,82,48,26,37
STRG.15593,6452,3518,4183,6016,4850,3621,4772,10940,9534,6540,3733,8580
STRG.26186,8,10,5,2,6,11,21,12,23,10,12,10
STRG.15599,16,14,7,6,13,9,18,30,37,16,5,28
STRG.12065,9,7,1,1,4,3,6,9,6,4,3,0
STRG.12064,132,68,31,43,129,50,80,155,209,129,41,150
STRG.12067,515,177,118,94,119,167,133,383,275,194,188,393
STRG.12066,419,166,122,67,287,190,147,375,379,253,136,288
STRG.12061,171,107,90,15,127,75,85,273,277,140,72,208
STRG.12060,71,32,33,10,80,96,42,72,82,52,43,56
STRG.17688,1519,120,104,86,101,157,122,603,435,332,191,482
Pocillopora_acuta_HIv1_PredGene_g11101.t1,0,0,1,0,0,0,0,0,0,0,0,0
STRG.17686,1,0,0,0,0,1,2,2,1,1,0,0
STRG.17687,16,5,3,0,12,0,10,19,22,10,11,21
STRG.17684,150,69,42,18,83,84,77,125,183,77,58,162
STRG.17685,318,267,143,27,195,215,290,426,528,261,161,307
STRG.12069,4212,1964,751,754,1857,1939,2123,3103,4064,2061,2047,3126
STRG.12068,1062,603,223,245,573,477,742,1292,1499,649,322,1063
STRG.17680,6,7,6,4,8,5,10,19,26,14,6,4
STRG.17681,71,25,24,15,35,40,29,74,74,44,18,82
Pocillopora_acuta_HIv1_PredGene_g14096.t1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1640.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2965,1380,556,321,251,955,718,720,1241,1679,832,430,698
Pocillopora_acuta_HIv1_PredGene_g32542.t1,0,10,6,3,0,0,4,0,0,5,7,0
STRG.1017,61,32,20,10,45,40,45,74,116,35,20,49
STRG.18750,121,47,32,22,42,64,59,87,112,57,30,96
STRG.18753,20,10,11,2,22,8,18,34,39,21,6,21
STRG.18752,106,50,39,34,64,67,63,88,70,75,59,99
STRG.18755,17,8,10,3,12,18,11,29,22,10,10,24
STRG.18754,7,5,2,2,5,4,6,16,10,3,3,8
STRG.18757,12,8,5,2,9,11,10,13,13,8,5,12
STRG.18756,14,13,5,2,15,13,10,44,28,13,7,16
STRG.18759,9,3,1,1,3,2,2,4,8,2,2,3
STRG.18758,1,0,2,0,1,3,0,0,2,1,1,3
Pocillopora_acuta_HIv1_PredGene_g10105.t1,0,0,1,0,1,0,1,0,0,0,0,0
STRG.1019,43,378,374,308,477,362,328,45,56,538,267,44
STRG.1018,136,130,56,7,143,87,137,260,335,133,56,177
STRG.14885,829,162,165,198,229,357,214,548,517,239,164,605
STRG.14884,171,95,65,80,77,74,92,337,321,125,71,240
STRG.14887,36,10,6,7,11,17,14,34,22,8,9,23
STRG.14886,10,6,6,4,5,8,12,17,29,9,7,24
STRG.14881,55,26,16,12,40,29,31,85,68,28,13,47
STRG.14880,14,8,7,7,10,26,13,23,25,0,16,16
Pocillopora_acuta_HIv1_PredGene_g24906.t1,0,0,0,0,0,0,3,2,3,3,0,4
STRG.14882,63,42,24,0,38,14,59,119,103,51,16,92
STRG.14889,9,9,4,5,4,11,12,24,22,7,9,16
STRG.14888,23,11,7,3,15,16,14,21,23,5,8,23
Pocillopora_acuta_HIv1_PredGene_g24740.t1,0,2,0,1,1,1,2,4,2,1,2,0
Pocillopora_acuta_HIv1_PredGene_g4074.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.18289,11,12,0,0,11,5,9,17,10,0,0,8
STRG.18288,84,26,0,14,21,25,34,68,58,31,0,42
STRG.18283,214,95,67,76,127,123,108,246,278,123,74,162
STRG.18282,389,272,175,256,320,251,434,904,865,403,204,551
STRG.18281,23,32,22,17,46,12,57,112,110,55,18,19
STRG.18280,295,126,60,60,154,147,121,340,310,121,115,223
STRG.18287,2,4,2,1,1,0,0,2,6,1,1,3
Pocillopora_acuta_HIv1_PredGene_g2447.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.18285,62,26,24,21,44,22,29,80,54,27,23,46
STRG.18284,359,214,106,104,217,200,291,490,483,277,158,336
Pocillopora_acuta_HIv1_PredGene_g10238.t1,0,0,1,0,0,1,1,2,0,0,0,0
STRG.22389,360,110,56,26,198,121,107,353,401,146,72,229
STRG.22388,41,21,11,7,29,17,21,58,73,20,9,15
STRG.22387,47,24,18,12,26,34,18,52,43,18,17,22
STRG.19419,323,104,90,28,174,131,93,284,298,134,80,235
STRG.22385,125,78,39,29,192,244,163,99,88,88,0,55
STRG.22384,146,49,47,33,84,54,58,176,182,75,39,104
STRG.22383,398,284,238,290,291,241,424,752,771,383,223,473
STRG.22382,236,99,64,50,103,112,127,242,241,126,81,169
STRG.22381,144,98,50,22,49,49,48,313,344,173,71,335
STRG.22380,186,75,40,52,89,63,75,259,292,116,78,196
STRG.16762,796,230,221,86,527,273,240,798,917,364,198,690
STRG.16763,8,3,3,6,5,3,4,4,7,4,4,6
STRG.16760,160,148,87,9,189,116,169,347,460,158,96,223
STRG.16761,140,36,24,14,76,46,48,80,86,44,32,103
Pocillopora_acuta_HIv1_PredGene_g20359.t1,0,0,0,0,0,0,0,1,0,0,0,0
STRG.16767,3,13,12,4,19,1,21,41,29,19,10,7
STRG.16764,304,155,72,31,145,155,157,247,313,151,73,189
STRG.15043,7,5,5,5,3,3,4,6,4,4,3,31
STRG.16768,5,16,9,0,17,0,22,0,30,17,11,0
STRG.16769,1,0,0,0,0,0,0,0,0,0,1,0
STRG.8661,260,137,96,23,198,161,145,242,323,184,118,198
STRG.19415,3459,1236,635,1034,1200,1319,1371,2375,2805,1316,764,2818
STRG.8660,666,397,187,165,294,425,569,884,951,373,343,687
Pocillopora_acuta_HIv1_PredGene_g1642.t1,0,0,0,0,0,0,0,0,0,0,0,6
Pocillopora_acuta_HIv1_PredGene_g10882.t1,0,0,0,0,0,0,12,9,15,6,0,0
STRG.8667,1760,910,455,203,509,1241,1041,1272,1562,834,577,1302
STRG.15047,103,29,42,19,53,45,31,106,99,36,32,53
Pocillopora_acuta_HIv1_PredGene_g19877.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.15044,79,32,30,24,43,18,41,164,149,53,26,106
STRG.8664,5,0,0,0,0,0,0,0,0,0,0,6
STRG.19410,89,70,92,104,69,59,118,181,214,96,73,216
STRG.19202,305,165,98,93,142,164,200,390,399,202,135,281
Pocillopora_acuta_HIv1_PredGene_g21238.t1,0,0,0,0,0,0,0,0,0,0,0,0
STRG.15048,121,61,33,16,82,86,68,145,177,87,52,118
STRG.19486,16,18,26,4,26,16,22,41,40,39,70,22
STRG.19487,130,53,43,17,81,43,51,120,161,62,50,85
STRG.19484,121,54,32,0,63,80,51,111,134,57,30,104
STRG.8668,45,23,9,12,31,21,71,88,72,20,49,64
STRG.19482,7,12,9,0,16,0,17,22,12,12,0,7
STRG.19483,134,35,20,15,40,59,41,89,128,32,42,73
STRG.19480,224,244,149,193,185,159,166,349,367,208,108,318
STRG.19481,3,11,7,10,3,7,18,16,32,7,2,13
Pocillopora_acuta_HIv1_PredGene_g23000.t1,0,1,1,0,1,0,1,0,0,1,1,2
STRG.19488,89,47,26,7,37,20,49,72,105,48,32,47
STRG.19489,317,159,92,19,200,130,195,273,384,211,106,282
Pocillopora_acuta_HIv1_PredGene_g9413.t1,0,0,0,0,0,1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10414.t1,0,0,0,1,0,0,0,0,1,1,0,0
STRG.26268,13,2,0,7,0,0,9,6,8,5,0,16
STRG.26269,8,0,0,4,2,5,5,5,5,2,1,4
STRG.26260,225,135,98,40,233,137,184,384,459,229,171,477
STRG.26261,327,200,148,34,317,181,183,350,435,271,145,278
STRG.26262,24,83,44,19,25,36,89,82,173,45,61,145
STRG.26263,3,13,11,8,0,9,18,8,23,14,15,20
STRG.26264,4,9,8,6,4,5,12,20,11,8,7,28
STRG.26265,1,1,1,1,2,1,1,0,1,2,0,0
STRG.26266,87,58,25,27,77,51,68,31,73,59,11,19
STRG.26267,171,62,20,30,77,70,72,117,170,62,9,90
STRG.19158,292,114,51,108,115,179,96,249,364,88,213,191
STRG.19159,10,5,5,12,8,9,10,24,18,7,5,20
STRG.26064,296,189,115,72,178,128,238,335,376,194,180,308
STRG.19150,16,16,8,3,11,6,23,26,27,12,4,25
STRG.19151,352,46,32,14,70,59,38,239,296,75,62,296
STRG.19152,63,29,33,56,29,36,47,56,98,41,0,108
STRG.19153,369,137,115,25,253,194,158,417,435,227,116,319
STRG.19154,28,36,24,29,27,37,54,89,69,28,41,89
STRG.19155,1660,965,415,444,714,1051,1311,1720,1806,808,691,1790
STRG.19156,479,206,140,330,274,208,302,556,658,281,142,473
STRG.19157,60,47,23,40,25,23,31,69,58,35,18,57
STRG.6841,11,8,3,2,9,7,9,17,18,4,4,13
STRG.6840,38,49,33,31,47,25,53,114,129,68,24,96
STRG.6843,175,39,35,29,71,68,50,139,177,61,45,91
STRG.6842,105,62,42,22,88,71,82,128,158,74,52,103
STRG.15868,148,42,34,9,86,54,46,144,148,73,40,79
STRG.6844,1707,744,396,231,1041,1015,769,1487,1795,860,292,1283
STRG.6847,5,3,2,1,1,4,0,2,0,1,2,0
STRG.6846,295,86,63,43,133,114,44,282,243,170,73,352
STRG.15864,402,202,165,188,208,238,297,632,548,376,210,571
STRG.6848,1,4,2,1,2,6,1,6,6,3,1,5
STRG.15866,383,78,49,61,94,96,46,204,216,85,67,151
STRG.15867,1,0,0,0,1,0,0,1,2,0,0,0
STRG.15860,147,47,34,64,53,85,38,89,123,51,40,95
Pocillopora_acuta_HIv1_PredGene_g9756.t1,0,0,0,0,0,0,0,4,0,1,0,0
STRG.15862,103,75,40,37,70,53,84,150,179,76,32,109
STRG.15863,48,32,18,27,28,37,38,78,59,37,21,84
STRG.4991,7,8,7,0,12,14,0,21,13,12,0,48
STRG.4990,538,222,132,53,228,289,253,513,604,253,181,449
STRG.4993,78,68,20,9,74,44,65,170,169,66,31,82
