"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"Pocillopora_acuta_HIv1_PredGene_g5395.t1",108.692217274023,-1.56745309083372,0.366626518089193,-4.27534019907526,1.90845648851874e-05,0.0318492027064724,"MidvsHigh",84,94,136,213,27,98,183,171,153,126,49,27
"Pocillopora_acuta_HIv1_PredGene_g21773.t1",356.133943170224,-0.942096791425005,0.212231700162416,-4.43900129294559,9.03772737488454e-06,0.024509186924765,"MidvsHigh",276,195,543,467,169,381,524,553,527,630,228,131
"Pocillopora_acuta_HIv1_PredGene_g21773.t2",356.133943170224,-0.942096791425005,0.212231700162416,-4.43900129294559,9.03772737488454e-06,0.024509186924765,"MidvsHigh",276,195,543,467,169,381,524,553,527,630,228,131
"Pocillopora_acuta_HIv1_PredGene_g21777.t2",57.0828768673038,-2.32512805546069,0.436096946800457,-5.33167698723785,9.7309916102261e-08,0.000351856438306425,"MidvsHigh",18,39,86,38,10,77,160,97,71,55,41,6
"Pocillopora_acuta_HIv1_PredGene_g21777.t1",57.0828768673038,-2.32512805546069,0.436096946800457,-5.33167698723785,9.7309916102261e-08,0.000351856438306425,"MidvsHigh",18,39,86,38,10,77,160,97,71,55,41,6
"Pocillopora_acuta_HIv1_PredGene_g3547.t1",415.003381945076,-1.35556719359053,0.213909295104794,-6.33711215273014,2.34111583827596e-10,5.0790508111397e-06,"MidvsHigh",281,342,328,328,156,527,726,757,452,441,206,226
"Pocillopora_acuta_HIv1_PredGene_g3583.t2",81.9113499723952,-3.03614849820518,0.551661215619921,-5.50364682569421,3.720144317521e-08,0.000201771327421545,"MidvsHigh",22,80,70,127,11,71,316,82,61,55,33,5
"Pocillopora_acuta_HIv1_PredGene_g3583.t1",81.9113499723952,-3.03614849820518,0.551661215619921,-5.50364682569421,3.720144317521e-08,0.000201771327421545,"MidvsHigh",22,80,70,127,11,71,316,82,61,55,33,5
"Pocillopora_acuta_HIv1_PredGene_g3586.t1",158.968719368472,-1.25269975138184,0.286047121016976,-4.37934752473,1.19035173913249e-05,0.0256623002585515,"MidvsHigh",120,114,226,149,70,155,259,276,260,230,91,43
"Pocillopora_acuta_HIv1_PredGene_g3585.t1",158.968719368472,-1.25269975138184,0.286047121016976,-4.37934752473,1.19035173913249e-05,0.0256623002585515,"MidvsHigh",120,114,226,149,70,155,259,276,260,230,91,43
"Pocillopora_acuta_HIv1_PredGene_g25362.t1",30.0835522076652,-1.53477112810997,0.358084655453672,-4.28605667608267,1.8187260617709e-05,0.0318492027064724,"MidvsHigh",13,30,22,28,12,37,35,61,51,39,15,14
"Pocillopora_acuta_HIv1_PredGene_g19722.t1",1180.05178521009,0.837333141310855,0.198374187733044,4.22097829803175,2.43244356477658e-05,0.0376941879555913,"MidvsHigh",964,274,3063,2405,614,635,760,619,2958,2899,1549,837
"Pocillopora_acuta_HIv1_PredGene_g22696.t1",38.5800253289335,1.74889150085827,0.401130095195308,4.35991096605889,1.30115373516509e-05,0.0256623002585515,"MidvsHigh",28,10,26,30,63,23,21,16,46,34,56,64
"Pocillopora_acuta_HIv1_PredGene_g1272.t1",40.1267610801369,2.94270093049046,0.500837298451904,5.87556266193912,4.21409519930272e-09,4.57123976744362e-05,"MidvsHigh",26,0,77,63,43,10,13,9,46,99,62,79
