"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"8","Pocillopora_acuta_HIv1_PredGene_17795_t","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",705,135,32,365,644,88,149,104,93,397,442,199,111,181.157324209446,1.19700450453109,0.298995531565562,4.00341937641505,6.24334842019145e-05,0.0118427256605906,"CvsHigh"
"223","Pocillopora_acuta_HIv1_PredGene_g11568.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1158,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.46559403847632,0.315015428449986,-4.65245161383899,3.28011721391106e-06,0.00137770780336432,"CvsHigh"
"224","Pocillopora_acuta_HIv1_PredGene_g11568.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1158,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.25863403873435,0.315856180019127,-3.98483271297123,6.75276810874622e-05,0.0244356705670492,"CvsMid"
"249","Pocillopora_acuta_HIv1_PredGene_g11568.t2","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1125,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.25863403873435,0.315856180019127,-3.98483271297123,6.75276810874622e-05,0.0244356705670492,"CvsMid"
"250","Pocillopora_acuta_HIv1_PredGene_g11568.t2","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1125,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.46559403847632,0.315015428449986,-4.65245161383899,3.28011721391106e-06,0.00137770780336432,"CvsHigh"
"266","Pocillopora_acuta_HIv1_PredGene_g11569.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1011,383,160,185,329,151,299,342,455,419,429,331,181,300.847765588839,-1.07194681263252,0.252224311653615,-4.24997418212663,2.13795156724868e-05,0.00591567709399203,"CvsHigh"
"388","Pocillopora_acuta_HIv1_PredGene_g1629.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1356,70,58,38,34,65,103,56,102,62,77,129,72,80.4807757297838,-1.8603437664317,0.291963545320354,-6.37183578652072,1.86778817951516e-10,2.44068032057644e-07,"CvsHigh"
"389","Pocillopora_acuta_HIv1_PredGene_g1629.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1356,70,58,38,34,65,103,56,102,62,77,129,72,80.4807757297838,-1.9514408793164,0.291177469811856,-6.70189517264961,2.05733610361528e-11,2.84650602900794e-08,"CvsMid"
"416","Pocillopora_acuta_HIv1_PredGene_g1630.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1356,205,245,307,192,191,303,185,272,201,175,381,211,265.286252296087,-1.49440884848015,0.347862952239338,-4.29597011943935,1.73931011614213e-05,0.00506840984780508,"CvsHigh"
"417","Pocillopora_acuta_HIv1_PredGene_g1630.t1","GO:0016491",0.000143629036346412,0.999943126229297,26,1058,"oxidoreductase activity","MF",1356,205,245,307,192,191,303,185,272,201,175,381,211,265.286252296087,-1.3769109008736,0.348046651007789,-3.95611018490386,7.61800347120403e-05,0.0267437402457,"CvsMid"
