"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"40","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"201","Pocillopora_acuta_HIv1_PredGene_g11568.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1158,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.46559403847632,0.315015428449986,-4.65245161383899,3.28011721391106e-06,0.00137770780336432,"CvsHigh"
"202","Pocillopora_acuta_HIv1_PredGene_g11568.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1158,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.25863403873435,0.315856180019127,-3.98483271297123,6.75276810874622e-05,0.0244356705670492,"CvsMid"
"247","Pocillopora_acuta_HIv1_PredGene_g11568.t2","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1125,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.25863403873435,0.315856180019127,-3.98483271297123,6.75276810874622e-05,0.0244356705670492,"CvsMid"
"248","Pocillopora_acuta_HIv1_PredGene_g11568.t2","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1125,205,63,65,110,75,153,182,213,126,199,164,63,136.349184921292,-1.46559403847632,0.315015428449986,-4.65245161383899,3.28011721391106e-06,0.00137770780336432,"CvsHigh"
"274","Pocillopora_acuta_HIv1_PredGene_g11569.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",1011,383,160,185,329,151,299,342,455,419,429,331,181,300.847765588839,-1.07194681263252,0.252224311653615,-4.24997418212663,2.13795156724868e-05,0.00591567709399203,"CvsHigh"
"374","Pocillopora_acuta_HIv1_PredGene_g14714.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",2082,90,84,117,105,31,93,95,129,104,138,98,85,98.7271330554916,-1.05649741777211,0.29428331910916,-3.59006898851857,0.000330590453442918,0.0359991576640318,"CvsHigh"
"379","Pocillopora_acuta_HIv1_PredGene_g15029.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",2661,18,56,220,444,15,19,85,20,216,219,24,28,84.8385201825965,2.45740643292046,0.562216736444617,4.37092365563638,1.23722049516618e-05,0.00593891087077629,"CvsMid"
"384","Pocillopora_acuta_HIv1_PredGene_g16052.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",873,67,29,252,254,47,55,62,74,177,238,111,76,98.3359494391253,0.921335346571371,0.25949633884189,3.55047531954867,0.000384536188952123,0.0405590838580398,"CvsHigh"
"483","Pocillopora_acuta_HIv1_PredGene_g18651.t1","GO:0005576",0.0205005667099719,0.986993188703298,39,2750,"extracellular region","CC",7245,28,11,26,20,27,32,23,34,31,47,30,35,29.3290873427001,-1.27758991782444,0.316285742072689,-4.03935349551995,5.35987341923461e-05,0.0200110448720345,"CvsMid"
