Time,Sample.ID,Sample name: #1_T#_nn_#2_day# = RNA-extraction-nb_tank-nb_species_sample-nb_day-collected,Rep,Species,Treatment in mg/L of sediment,Time point in days,Location,SampleID
Morning,11698X33,1_T2_Pd_4_day7,1,Pocillopora acuta,mid,seven,HIMB,1_2.fastq.gz
Morning,11698X35,2_T7_Pd_13_day4,1,Pocillopora acuta,high,four,HIMB,2_2.fastq.gz
NA,NA,NA,NA,Pocillopora acuta,unknown,unknown,HIMB,4_1.fastq.gz
Morning,11698X15,4_T6_Pd_12_day7,1,Pocillopora acuta,control,seven,HIMB,4_2.fastq.gz
NA,NA,NA,NA,Pocillopora acuta,unknown,unknown,HIMB,11_1.fastq.gz
Morning,11698X11,11_T1_Pd_2_day7,2,Pocillopora acuta,control,seven,HIMB,11_2.fastq.gz
Morning,11698X40,28_T4_Pd_7_day4,1,Pocillopora acuta,mid,four,HIMB,28_2.fastq.gz
NA,NA,NA,NA,Pocillopora acuta,unknown,unknown,HIMB,31_2.fastq.gz
Morning,11698X45,35_T5_Pd_9_day4,2,Pocillopora acuta,high,four,HIMB,35_2.fastq.gz
Morning,11698X46,36_T5_Pd_10_day7,1,Pocillopora acuta,high,seven,HIMB,36_2.fastq.gz
Morning,11698X42,38_T3_Pd_6_day7,2,Pocillopora acuta,high,seven,HIMB,38_2.fastq.gz
NA,NA,NA,NA,Pocillopora acuta,unknown,unknown,HIMB,39_1.fastq.gz
Morning,11698X14,39_T8_Pd_15_day4,1,Pocillopora acuta,control,four,HIMB,39_2.fastq.gz
NA,NA,NA,NA,Pocillopora acuta,unknown,unknown,HIMB,41_1.fastq.gz
Morning,11698X16,41_T6_Pd_11_day4,2,Pocillopora acuta,control,four,HIMB,41_2.fastq.gz
Morning,11698X44,42_T9_Pd_17_day4,2,Pocillopora acuta,mid,four,HIMB,42_2.fastq.gz
Morning,11698X36,47_T4_Pd_8_day7,2,Pocillopora acuta,mid,seven,HIMB,47_2.fastq.gz
