,gene_id,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,length,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare
964,Acerv_evm.model.Segkk454_pilon.2,GO:0036261,0.034668541,1,1,1,7-methylguanosine cap hypermethylation,BP,178,364.6927028,2.29331722,0.523932945,4.377119707,1.20E-05,0.009909287,T1vsT2
965,Acerv_evm.model.Segkk454_pilon.2,GO:0036261,0.034668541,1,1,1,7-methylguanosine cap hypermethylation,BP,178,364.6927028,-2.090325099,0.520588406,-4.015312433,5.94E-05,0.011419956,CvsT1
968,Acerv_evm.model.Segkk454_pilon.2,GO:0009452,0.034668541,1,1,1,7-methylguanosine RNA capping,BP,178,364.6927028,2.29331722,0.523932945,4.377119707,1.20E-05,0.009909287,T1vsT2
969,Acerv_evm.model.Segkk454_pilon.2,GO:0009452,0.034668541,1,1,1,7-methylguanosine RNA capping,BP,178,364.6927028,-2.090325099,0.520588406,-4.015312433,5.94E-05,0.011419956,CvsT1
971,Acerv_evm.model.Segkk657_pilon.10,GO:0001675,0.042846884,0.999533118,1,2,acrosome assembly,BP,1452,166.6424442,1.371824937,0.293233457,4.678268805,2.89E-06,0.005676206,T1vsT2
782,Acerv_evm.model.Segkk3450_pilon.3,GO:0002253,0.047518818,0.999424355,1,2,activation of immune response,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
783,Acerv_evm.model.Segkk3450_pilon.3,GO:0002253,0.047518818,0.999424355,1,2,activation of immune response,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
42,Acerv_evm.model.Segkk1424_pilon.6,GO:0097242,0.047940813,0.999413957,1,2,amyloid-beta clearance,BP,855,213.4661704,1.550610759,0.359293924,4.315716617,1.59E-05,0.009909287,T1vsT2
738,Acerv_evm.model.Segkk3450_pilon.3,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,2262,494.4152512,-0.872868173,0.230211513,-3.791592183,0.000149685,0.014871409,CvsT2
739,Acerv_evm.model.Segkk3450_pilon.3,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,2262,494.4152512,-0.938500769,0.255382349,-3.674885027,0.000237957,0.032596441,CvsT4
628,Acerv_evm.model.Segkk3209_pilon.7,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,945,32.35072136,-1.557406948,0.387723708,-4.016795768,5.90E-05,0.010862838,CvsT4
627,Acerv_evm.model.Segkk3209_pilon.7,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,945,32.35072136,-1.751596105,0.364078911,-4.811034228,1.50E-06,0.00039927,CvsT2
629,Acerv_evm.model.Segkk3209_pilon.7,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,945,32.35072136,-1.907713729,0.362800964,-5.258292895,1.45E-07,6.92E-05,CvsT3
146,Acerv_evm.model.Segkk1945_pilon.2,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,1350,16.8033195,-2.495587387,0.600891203,-4.153143487,3.28E-05,0.00470295,CvsT2
148,Acerv_evm.model.Segkk1945_pilon.2,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,1350,16.8033195,-2.953644154,0.645065098,-4.578831136,4.68E-06,0.001690962,CvsT1
147,Acerv_evm.model.Segkk1945_pilon.2,GO:0006915,0.032676852,0.994962807,3,29,apoptotic process,BP,1350,16.8033195,-2.971983022,0.590917609,-5.029437229,4.92E-07,0.000211784,CvsT3
973,Acerv_evm.model.Segkk657_pilon.10,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,1452,166.6424442,1.371824937,0.293233457,4.678268805,2.89E-06,0.005676206,T1vsT2
891,Acerv_evm.model.Segkk4122_pilon.1,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,266,43.93195934,-1.042633545,0.282853463,-3.686126149,0.000227694,0.020182128,CvsT2
892,Acerv_evm.model.Segkk4122_pilon.1,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,266,43.93195934,-1.18928297,0.289963697,-4.101489198,4.10E-05,0.00796593,CvsT4
386,Acerv_evm.model.Segkk2551_pilon.2,GO:0007610,0.029789836,0.995580194,3,28,behavior,BP,3015,48.28989415,-1.288132589,0.30950367,-4.161929937,3.16E-05,0.007132652,CvsT1
