"","Group.1","x"
"1","Acerv_evm.model.Segkk0_pilon.1","GO:0005515"
"2","Acerv_evm.model.Segkk0_pilon.11","GO:0007166;GO:0007275;GO:0016020;GO:0120025;GO:0004930;GO:0005113;GO:0005886;GO:0005929;GO:0007224;GO:0016021;GO:0030425;GO:0045880;GO:0071679;GO:0005515;GO:0004888"
"3","Acerv_evm.model.Segkk0_pilon.12","GO:0004672;GO:0005524;GO:0006468"
"4","Acerv_evm.model.Segkk0_pilon.16","GO:0005509"
"5","Acerv_evm.model.Segkk0_pilon.17","GO:0005509"
"6","Acerv_evm.model.Segkk0_pilon.2","GO:0005515"
"7","Acerv_evm.model.Segkk0_pilon.21","GO:0005509"
"8","Acerv_evm.model.Segkk0_pilon.22","GO:0005509;NA"
"9","Acerv_evm.model.Segkk0_pilon.23","GO:0005509"
"10","Acerv_evm.model.Segkk0_pilon.3","GO:0005515"
"11","Acerv_evm.model.Segkk0_pilon.4","GO:0005515"
"12","Acerv_evm.model.Segkk0_pilon.5","GO:0005515"
"13","Acerv_evm.model.Segkk0_pilon.9","GO:0000213;GO:0006388;GO:0000214;GO:0003676;GO:0004518"
"14","Acerv_evm.model.Segkk1_pilon.1","GO:0005515"
"15","Acerv_evm.model.Segkk1_pilon.2","GO:0005515"
"16","Acerv_evm.model.Segkk100_pilon.1","GO:0005524;GO:0004713;GO:0006468;GO:0004672"
"17","Acerv_evm.model.Segkk1001_pilon.1","GO:0005515;GO:0007165"
"18","Acerv_evm.model.Segkk1001_pilon.2","GO:0003676;GO:0015074"
"19","Acerv_evm.model.Segkk1001_pilon.7","GO:0005515;GO:0007165"
"20","Acerv_evm.model.Segkk1002_pilon.2","GO:0003676;GO:0015074"
"21","Acerv_evm.model.Segkk1002_pilon.5","GO:0005515"
"22","Acerv_evm.model.Segkk1003_pilon.13","GO:0003676;GO:0015074"
"23","Acerv_evm.model.Segkk1003_pilon.14","GO:0003676;GO:0015074"
"24","Acerv_evm.model.Segkk1003_pilon.18","GO:0004623;GO:0006644;GO:0050482"
"25","Acerv_evm.model.Segkk1003_pilon.20","GO:0003676;GO:0008270"
"26","Acerv_evm.model.Segkk1003_pilon.21","GO:0003676;GO:0005524"
"27","Acerv_evm.model.Segkk1003_pilon.22","GO:0003676;GO:0008270"
"28","Acerv_evm.model.Segkk1003_pilon.25","GO:0004462;GO:0046872"
"29","Acerv_evm.model.Segkk1003_pilon.29","GO:0046983"
"30","Acerv_evm.model.Segkk1003_pilon.3","GO:0004842;GO:0016567;GO:0016740"
"31","Acerv_evm.model.Segkk1003_pilon.30","GO:0004252;GO:0006508"
"32","Acerv_evm.model.Segkk1003_pilon.31","GO:0003676;GO:0015074"
"33","Acerv_evm.model.Segkk1003_pilon.33","GO:0006511;GO:0019773;GO:0005839;GO:0051603"
