"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site","GO.Term","GO.Slim.Term","Cat"
"898","GO:0001595","angiotensin receptor activity","MF",0.022782273,"A.cervicornis","Florida","angiotensin receptor activity","signal transduction activity","F"
"1006","GO:0001733","galactosylceramide sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida","galactosylceramide sulfotransferase activity","other molecular function","F"
"1058","GO:0001784","phosphotyrosine residue binding","MF",0.011361643,"A.cervicornis","Florida","phosphotyrosine binding","other molecular function","F"
"2421","GO:0003690","double-stranded DNA binding","MF",0.004158618,"A.cervicornis","Florida","double-stranded DNA binding","nucleic acid binding activity","F"
"2449","GO:0003723","RNA binding","MF",0.026488352,"A.cervicornis","Florida","RNA binding","nucleic acid binding activity","F"
"2586","GO:0003968","RNA-directed 5'-3' RNA polymerase activity","MF",0.042348194,"A.cervicornis","Florida","RNA-directed RNA polymerase activity","other molecular function","F"
"2692","GO:0004089","carbonate dehydratase activity","MF",0.045886458,"A.cervicornis","Florida","carbonate dehydratase activity","other molecular function","F"
"2765","GO:0004165","dodecenoyl-CoA delta-isomerase activity","MF",0.026387443,"A.cervicornis","Florida","dodecenoyl-CoA delta-isomerase activity","other molecular function","F"
"2887","GO:0004415","hyalurononglucosaminidase activity","MF",0.048080123,"A.cervicornis","Florida","hyalurononglucosaminidase activity","other molecular function","F"
"2991","GO:0004532","exoribonuclease activity","MF",0.044274366,"A.cervicornis","Florida","exoribonuclease activity","other molecular function","F"
"3408","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","MF",0.026197771,"A.cervicornis","Florida","transmembrane receptor protein tyrosine phosphatase activity","signal transduction activity","F"
"3439","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","kinase activity","F"
"3440","GO:0005025","transforming growth factor beta receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","transforming growth factor beta receptor activity, type I","signal transduction activity","F"
"3544","GO:0005161","platelet-derived growth factor receptor binding","MF",0.048939659,"A.cervicornis","Florida","platelet-derived growth factor receptor binding","signal transduction activity","F"
"3681","GO:0005381","iron ion transmembrane transporter activity","MF",0.029949103,"A.cervicornis","Florida","iron ion transmembrane transporter activity","transporter activity","F"
"3748","GO:0005543","phospholipid binding","MF",0.001147086,"A.cervicornis","Florida","phospholipid binding","other molecular function","F"
"6012","GO:0008254","3'-nucleotidase activity","MF",0.026805507,"A.cervicornis","Florida","3'-nucleotidase activity","other molecular function","F"
"8293","GO:0010698","acetyltransferase activator activity","MF",0.021414665,"A.cervicornis","Florida","acetyltransferase activator activity","enzyme regulator activity","F"
"9821","GO:0016034","maleylacetoacetate isomerase activity","MF",0.022991107,"A.cervicornis","Florida","maleylacetoacetate isomerase activity","other molecular function","F"
"10024","GO:0016247","channel regulator activity","MF",0.021364539,"A.cervicornis","Florida","channel regulator activity","other molecular function","F"
"10028","GO:0016251","RNA polymerase II general transcription initiation factor activity","MF",0.01439035,"A.cervicornis","Florida","general RNA polymerase II transcription factor activity","transcription regulatory activity","F"
"10118","GO:0016361","activin receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","activin receptor activity, type I","signal transduction activity","F"
"10119","GO:0016361","activin receptor activity, type I","MF",0.031712692,"A.cervicornis","Florida","activin receptor activity, type I","kinase activity","F"
"10574","GO:0016929","SUMO-specific protease activity","MF",0.042104504,"A.cervicornis","Florida","SUMO-specific protease activity","other molecular function","F"
"12579","GO:0019966","interleukin-1 binding","MF",0.02140892,"A.cervicornis","Florida","interleukin-1 binding","other molecular function","F"
