"","gene_id","Orthogroup"
"1","jamg1.TU.Sc0000055.95","OG0004731"
"2","jamg1.TU.Sc0000225.27","OG0000423"
"3","jamg1.TU.Sc0000225.29","OG0000423"
"4","jamg1.TU.Sc0000551.3","OG0000306"
"5","jamg1.TU.xpSc0007188.2","OG0003587"
"6","plut2.m8.10411","OG0013715"
"7","plut2.m8.10671","OG0002055"
"8","plut2.m8.11052","OG0000960"
"9","plut2.m8.1212","OG0013436"
"10","plut2.m8.12217","OG0000414"
"11","plut2.m8.14149","OG0000187"
"12","plut2.m8.16218","OG0004312"
"13","plut2.m8.1654","OG0000491"
"14","plut2.m8.20414","OG0000250"
"15","plut2.m8.21171","OG0008669"
"16","plut2.m8.21463","OG0000280"
"17","plut2.m8.21554","OG0002213"
"18","plut2.m8.21690","OG0001227"
"19","plut2.m8.21745","OG0000115"
"20","plut2.m8.21905","OG0004472"
"21","plut2.m8.22162","OG0000469"
"22","plut2.m8.22300","OG0000605"
"23","plut2.m8.22609","OG0000000"
"24","plut2.m8.22908","OG0012244"
"25","plut2.m8.23195","OG0000082"
"26","plut2.m8.23282","OG0002706"
"27","plut2.m8.23335","OG0000013"
"28","plut2.m8.23510","OG0002897"
"29","plut2.m8.24267","OG0000295"
"30","plut2.m8.24269","OG0000295"
"31","plut2.m8.24994","OG0002723"
"32","plut2.m8.25307","OG0000082"
"33","plut2.m8.26060","OG0000060"
"34","plut2.m8.26344","OG0000038"
"35","plut2.m8.26944","OG0005006"
"36","plut2.m8.27435","OG0006209"
"37","plut2.m8.28609","OG0004405"
"38","plut2.m8.29610","OG0001092"
"39","plut2.m8.30977","OG0000008"
"40","plut2.m8.31278","OG0000263"
"41","plut2.m8.31556","OG0000446"
"42","plut2.m8.31557","OG0000446"
"43","plut2.m8.32388","OG0001036"
"44","plut2.m8.32950","OG0000115"
"45","plut2.m8.32952","OG0000115"
"46","plut2.m8.32953","OG0000115"
"47","plut2.m8.33084","OG0000082"
"48","plut2.m8.33377","OG0000000"
"49","plut2.m8.33379","OG0000178"
"50","plut2.m8.33535","OG0000221"
"51","plut2.m8.3398","OG0000240"
"52","plut2.m8.3544","OG0003195"
"53","plut2.m8.4130","OG0001189"
"54","plut2.m8.4590","OG0001487"
"55","plut2.m8.5234","OG0000394"
"56","plut2.m8.5539","OG0003190"
"57","plut2.m8.6795","OG0000180"
"58","plut2.m8.7302","OG0000229"
"59","plut2.m8.7555","OG0000487"
"60","plut2.m8.8087","OG0003238"
"61","plut2.m8.8790","OG0000888"
"62","plut2.m8.92","OG0000194"
"63","plut2.m8.9273","OG0000013"
"64","plut2.m8.9304","OG0001593"
"65","plut2.m8.9356","OG0000007"
"66","plut2.m8.9453","OG0000575"
