"","gene_id","scaffold","gene.start","gene.stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1"
"114","plut2.m8.10099","Sc0000119",379235,388256,9021,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","plut2.m8.10100","Sc0000119",393898,400713,6815,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","plut2.m8.11585","Sc0000145",427239,433984,6745,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","plut2.m8.11587","Sc0000145",461619,464987,3368,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","plut2.m8.11589","Sc0000145",449540,450700,1160,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","plut2.m8.11910","Sc0000152",125817,127632,1815,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","plut2.m8.11911","Sc0000152",100227,101363,1136,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","plut2.m8.11945","Sc0000152",605155,607116,1961,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","plut2.m8.12165","Sc0000157",68293,84859,16566,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","plut2.m8.12181","Sc0000157",263528,265792,2264,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8
"366","plut2.m8.12185","Sc0000157",306831,313898,7067,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","plut2.m8.12186","Sc0000157",291084,292553,1469,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","plut2.m8.12584","Sc0000164",419727,422163,2436,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","plut2.m8.1278","Sc0000009",683037,686168,3131,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","plut2.m8.17586","Sc0000277",327927,329783,1856,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","plut2.m8.17739","Sc0000282",119079,146893,27814,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","plut2.m8.17743","Sc0000282",209910,213305,3395,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","plut2.m8.17813","Sc0000284",530712,543620,12908,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034","plut2.m8.18629","Sc0000309",262025,267030,5005,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039","plut2.m8.18630","Sc0000309",243237,246455,3218,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","plut2.m8.19081","Sc0000324",220510,224450,3940,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","plut2.m8.21029","Sc0000401",182768,192618,9850,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1316","plut2.m8.21573","Sc0000424",212070,215006,2936,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471","plut2.m8.23107","Sc0000507",31465,45114,13649,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1498","plut2.m8.23335","Sc0000521",141257,144121,2864,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",105.485817585896,0.843900374063658,0.219552136240729,3.84373565437942,0.000121175529672984,0.0241800261483818,"CvsHigh",390,95,68,113,94,56,79,371,206,59,62,34
"1515","plut2.m8.23626","Sc0000540",41276,47453,6177,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1517","plut2.m8.23632","Sc0000540",215734,218938,3204,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1520","plut2.m8.23634","Sc0000540",58575,106653,48078,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1522","plut2.m8.23636","Sc0000540",169946,173759,3813,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1581","plut2.m8.2421","Sc0000019",261509,272635,11126,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670","plut2.m8.25216","Sc0000676",47832,49996,2164,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672","plut2.m8.25217","Sc0000676",95525,99416,3891,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736","plut2.m8.26154","Sc0000853",26357,30166,3809,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855","plut2.m8.276","Sc0000001",1085638,1094604,8966,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1873","plut2.m8.27787","xfSc0000034",356457,363740,7283,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","plut2.m8.27833","xfSc0000038",136393,139995,3602,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917","plut2.m8.28435","xfSc0000049",14216,21895,7679,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1918","plut2.m8.28443","xfSc0000049",96061,104733,8672,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2066","plut2.m8.30650","xfSc0000238",36028,45630,9602,"GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2077","plut2.m8.31050","xfSc0000330",31,1125,1094,"GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
