"","gene_id","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"187","plut2.m8.3794",198,269,185,30,405,180,265,127,84,245,270,144,"CvsMid","GO:0007017",0.000784409453558714,0.999970206193559,3,18,"microtubule-based process","BP"
"220","plut2.m8.7555",182,286,200,47,166,131,277,99,76,155,221,236,"CvsMid","GO:0007017",0.000784409453558714,0.999970206193559,3,18,"microtubule-based process","BP"
"228","plut2.m8.92",1483,721,594,395,848,711,695,1186,886,662,632,419,"CvsMid","GO:0007017",0.000784409453558714,0.999970206193559,3,18,"microtubule-based process","BP"
"33","plut2.m8.11192",277,249,105,36,286,193,241,141,152,158,233,111,"CvsMid","GO:0006955",0.0118006698861527,0.999438822701882,2,15,"immune response","BP"
"51","plut2.m8.14149",184,75,21,17,2779,52,94,33,114,19,2691,30,"CvsMid","GO:0006955",0.0118006698861527,0.999438822701882,2,15,"immune response","BP"
"37","plut2.m8.1212",682,223,85,97,162,170,240,461,413,121,75,53,"CvsMid","GO:0006206",0.00918043816688533,1,1,1,"pyrimidine nucleobase metabolic process","BP"
"38","plut2.m8.1212",682,223,85,97,162,170,240,461,413,121,75,53,"CvsMid","GO:0006213",0.0227098129384548,0.999870432109573,1,2,"pyrimidine nucleoside metabolic process","BP"
"196","plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"CvsMid","GO:1990544",0.0235325413289144,0.999860815478545,1,2,"mitochondrial ATP transmembrane transport","BP"
"197","plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"CvsMid","GO:0140021",0.0235325413289144,0.999860815478545,1,2,"mitochondrial ADP transmembrane transport","BP"
"208","plut2.m8.7016",768,482,106,180,216,299,232,524,498,255,145,108,"MidvsHigh","GO:0009308",0.0471337177480274,0.999155595198082,1,4,"amine metabolic process","BP"
