"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6","jamg1.TU.Sc0000117.30",163.952961798919,-1.14676345791526,0.229758104561435,-4.99117739547956,6.00123490444789e-07,0.000271202865608358,"CvsMid",261,115,143,68,275,170,150,274,145,148,209,73,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"14","jamg1.TU.xfSc0000469.4",22.026364532316,-1.86347439708043,0.505635644530774,-3.68540947861719,0.000228335229160867,0.034736344515413,"CvsMid",23,11,10,11,60,14,13,29,17,8,68,6,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"24","plut2.m8.10362",81.1376965326609,1.67335752960394,0.350345216861908,4.77631047625664,1.78540664454974e-06,0.000741426299824509,"CvsMid",466,54,44,144,52,18,37,345,185,12,39,16,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"25","plut2.m8.10362",81.1376965326609,2.24563469416163,0.354356995117449,6.33721000319841,2.33963005880716e-10,2.3965610569048e-07,"CvsHigh",466,54,44,144,52,18,37,345,185,12,39,16,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"27","plut2.m8.10671",16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh",16,16,13,5,26,21,21,13,8,22,18,9,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"28","plut2.m8.10671",16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid",16,16,13,5,26,21,21,13,8,22,18,9,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"31","plut2.m8.11192",183.571028386905,-1.63968882515733,0.207412842180454,-7.90543540081651,2.66998704875228e-15,5.12804387550984e-12,"CvsHigh",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0005164",0.0194368683696223,0.99879785809279,2,15,"tumor necrosis factor receptor binding","MF"
"32","plut2.m8.11192",183.571028386905,-1.63968882515733,0.207412842180454,-7.90543540081651,2.66998704875228e-15,5.12804387550984e-12,"CvsHigh",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"33","plut2.m8.11192",183.571028386905,-1.63968882515733,0.207412842180454,-7.90543540081651,2.66998704875228e-15,5.12804387550984e-12,"CvsHigh",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0006955",0.0223841897530507,0.998497224607865,2,16,"immune response","BP"
"34","plut2.m8.11192",183.571028386905,-1.62796269030831,0.209047294955311,-7.78753291524928,6.83302434153467e-15,1.49984884296686e-11,"CvsMid",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0005164",0.0194368683696223,0.99879785809279,2,15,"tumor necrosis factor receptor binding","MF"
"35","plut2.m8.11192",183.571028386905,-1.62796269030831,0.209047294955311,-7.78753291524928,6.83302434153467e-15,1.49984884296686e-11,"CvsMid",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0005515",0.00291767674081288,0.998433871243871,38,2812,"protein binding","MF"
"36","plut2.m8.11192",183.571028386905,-1.62796269030831,0.209047294955311,-7.78753291524928,6.83302434153467e-15,1.49984884296686e-11,"CvsMid",277,249,105,36,286,193,241,141,152,158,233,111,"GO:0006955",0.0223841897530507,0.998497224607865,2,16,"immune response","BP"
