"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"42","plut2.m8.12181",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"44","plut2.m8.12181",12.8314933703619,-1.65825435757478,0.414382610308364,-4.00174697567734,6.28765175640759e-05,0.0137935708396011,"CvsHigh",12,16,14,3,19,11,13,10,10,12,15,8,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"112","plut2.m8.23335",105.485817585896,0.843900374063658,0.219552136240729,3.84373565437942,0.000121175529672984,0.0241800261483818,"CvsHigh",390,95,68,113,94,56,79,371,206,59,62,34,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
"120","plut2.m8.24633",1485.67812011291,-4.63774906255612,0.280036534393105,-16.561228600429,1.32853292606253e-61,2.04129084089508e-57,"CvsHigh",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"122","plut2.m8.24633",1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"192","plut2.m8.3794",218.662426026332,-2.2985250021737,0.19210703558969,-11.964814277198,5.43189905194377e-33,2.78203763110387e-29,"CvsHigh",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"195","plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"223","plut2.m8.7220",25.7778299114225,-3.69533722437882,0.404417629914051,-9.13742861596852,6.39548712731371e-20,1.63777766185292e-16,"CvsHigh",12,40,20,0,34,43,31,7,6,32,20,20,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"225","plut2.m8.7220",25.7778299114225,-3.29101729956359,0.41513142053559,-7.92765167068689,2.23328677189027e-15,5.719075208349e-12,"CvsMid",12,40,20,0,34,43,31,7,6,32,20,20,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"232","plut2.m8.7555",203.555668283883,-2.51384159215156,0.348453803918732,-7.21427507428747,5.4222050579449e-13,8.48236528795748e-10,"CvsMid",182,286,200,47,166,131,277,99,76,155,221,236,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"235","plut2.m8.7555",203.555668283883,-2.12389515301611,0.348550132711801,-6.09351411371361,1.10458591396553e-09,9.98350739298843e-07,"CvsHigh",182,286,200,47,166,131,277,99,76,155,221,236,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"240","plut2.m8.8790",166.754542362687,-1.02980859337283,0.272379062285784,-3.7807920503535,0.000156330213274843,0.0304052370502274,"CvsHigh",477,208,78,61,207,279,172,302,157,203,70,58,"GO:0005576",0.047342874742826,0.991214939639623,3,89,"extracellular region","CC"
"243","plut2.m8.92",731.37953358112,-0.578753009124577,0.141485417178483,-4.09054884005808,4.30353570412266e-05,0.0103318478271632,"CvsHigh",1483,721,594,395,848,711,695,1186,886,662,632,419,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"246","plut2.m8.92",731.37953358112,-0.653324509577531,0.142026471602652,-4.60001929362395,4.22451811479709e-06,0.00144243824075238,"CvsMid",1483,721,594,395,848,711,695,1186,886,662,632,419,"GO:0005874",0.000487471846705454,0.999984293080466,3,18,"microtubule","CC"
"248","plut2.m8.9273",17.9391673187969,-1.62817365563237,0.374927738643645,-4.34263322719873,1.40785058509795e-05,0.00360527070667166,"CvsMid",22,23,23,8,30,16,13,23,10,12,19,9,"GO:0005871",0.00639864937003604,0.999451131144977,3,45,"kinesin complex","CC"
