"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"1006","GO:0001729","jamg1.model.Sc0000101.46","ceramide kinase activity","MF",0.014554175,-1.126112918,0.013793571,"CvsHigh","P.lobata","Hawaii","ceramide kinase activity","kinase activity","F"
"1169","GO:0001872","plut2.m8.5234","(1->3)-beta-D-glucan binding","MF",0.030697457,-2.237768204,0.002684408,"CvsMid","P.lobata","Hawaii","zymosan binding","other molecular function","F"
"1331","GO:0002020","plut2.m8.1212","protease binding","MF",0.043298595,0.782628119,0.049528126,"CvsMid","P.lobata","Hawaii","protease binding","other molecular function","F"
"1332","GO:0002020","jamg1.model.Sc0000225.27","protease binding","MF",0.043298595,-1.229896511,0.001063275,"CvsHigh","P.lobata","Hawaii","protease binding","other molecular function","F"
"2407","GO:0003674","plut2.m8.7220","molecular_function","MF",0.021909676,-3.2910173,5.72e-12,"CvsMid","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2408","GO:0003674","jamg1.model.xfSc0000800.1","molecular_function","MF",0.021909676,-1.821912475,0.000741426,"CvsMid","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2409","GO:0003674","plut2.m8.7220","molecular_function","MF",0.021909676,-3.695337224,1.64e-16,"CvsHigh","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2410","GO:0003674","plut2.m8.5800","molecular_function","MF",0.021909676,-1.834256806,0.018258134,"CvsMid","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2411","GO:0003674","plut2.m8.16587","molecular_function","MF",0.021909676,-1.338480371,0.002884217,"CvsMid","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2412","GO:0003674","plut2.m8.5800","molecular_function","MF",0.021909676,-1.697952149,0.048919107,"CvsHigh","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2413","GO:0003674","plut2.m8.24267","molecular_function","MF",0.021909676,-2.076437762,0.004104981,"CvsHigh","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2414","GO:0003674","plut2.m8.31557","molecular_function","MF",0.021909676,-1.266969454,0.007911212,"CvsHigh","P.lobata","Hawaii","molecular_function","other molecular function","F"
"2431","GO:0003700","plut2.m8.19607","DNA-binding transcription factor activity","MF",0.045552954,-1.218292746,0.032068513,"CvsMid","P.lobata","Hawaii","transcription factor activity","transcription regulatory activity","F"
"2432","GO:0003700","plut2.m8.19607","DNA-binding transcription factor activity","MF",0.045552954,-1.218292746,0.032068513,"CvsMid","P.lobata","Hawaii","transcription factor activity","nucleic acid binding activity","F"
"2433","GO:0003700","plut2.m8.33535","DNA-binding transcription factor activity","MF",0.045552954,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","transcription factor activity","transcription regulatory activity","F"
"2434","GO:0003700","plut2.m8.33535","DNA-binding transcription factor activity","MF",0.045552954,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","transcription factor activity","nucleic acid binding activity","F"
"2435","GO:0003700","plut2.m8.24994","DNA-binding transcription factor activity","MF",0.045552954,-2.155101955,0.001160142,"CvsMid","P.lobata","Hawaii","transcription factor activity","transcription regulatory activity","F"
"2436","GO:0003700","plut2.m8.24994","DNA-binding transcription factor activity","MF",0.045552954,-2.155101955,0.001160142,"CvsMid","P.lobata","Hawaii","transcription factor activity","nucleic acid binding activity","F"
