"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"91","plut2.m8.10671","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid"
"92","plut2.m8.10671","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",16,16,13,5,26,21,21,13,8,22,18,9,821,16.8661945677621,-2.02942258816423,0.371840997197566,-5.4577698625468,4.82152018572615e-08,3.36739352971283e-05,"CvsHigh"
"134","plut2.m8.16218","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",178,29,14,40,41,30,32,111,101,32,22,10,1739,39.9645233316273,1.0486238837883,0.251568940469459,4.16833605067238,3.06831339317454e-05,0.0068325558385691,"CvsMid"
"140","plut2.m8.1654","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",204,42,12,28,25,29,29,84,79,36,16,11,963,36.4791067704145,1.23771389576292,0.310038530716567,3.9921292779394,6.54826553880596e-05,0.0130667662342537,"CvsMid"
"161","plut2.m8.20774","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",27,21,15,9,38,23,25,25,13,20,22,11,941,21.031404190259,-1.45629209085948,0.326101044644655,-4.46576947475395,7.97814804535986e-06,0.00235738932147989,"CvsMid"
"162","plut2.m8.20774","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",27,21,15,9,38,23,25,25,13,20,22,11,941,21.031404190259,-1.34595686787312,0.321723898446725,-4.18357751591153,2.86957181454139e-05,0.00760189153972905,"CvsHigh"
"227","plut2.m8.21703","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid"
"228","plut2.m8.21703","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,2.38346160656204,0.548585068614652,4.34474385637403,1.39438269359726e-05,0.0226256021819826,"MidvsHigh"
"259","plut2.m8.21905","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",161,33,14,35,29,42,39,107,87,20,9,10,1180,36.5947694584531,1.36251190883715,0.289448815522775,4.70726372252143,2.5106401808545e-06,0.000989127855867419,"CvsMid"
"326","plut2.m8.24269","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",182,72,16,10,23,195,105,109,78,38,26,19,1680,62.8735287324401,-1.97431251446676,0.465264060544843,-4.24342364238226,2.2013529830376e-05,0.0285757630728111,"MidvsHigh"
"358","plut2.m8.26038","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",48,40,29,18,39,23,34,36,21,27,33,19,3879,31.414813683251,-1.24220812864111,0.298003294892177,-4.16843756405634,3.0669474499406e-05,0.0068325558385691,"CvsMid"
"398","plut2.m8.32388","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",149,24,8,49,22,22,26,111,98,13,18,10,873,33.6459095547313,1.23335001012765,0.267475120716511,4.61108310493986,4.00576343867334e-06,0.00156452870221162,"CvsHigh"
"399","plut2.m8.32388","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",149,24,8,49,22,22,26,111,98,13,18,10,873,33.6459095547313,1.58303492382942,0.290423261191668,5.45078557872359,5.01478040230815e-08,3.35009134267238e-05,"CvsMid"
"428","plut2.m8.32471","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",18,19,11,0,21,12,20,10,10,16,17,10,975,14.3651277636735,-2.01504423418898,0.424516825401981,-4.74667695981403,2.06785813546208e-06,0.000836122111878284,"CvsMid"
"429","plut2.m8.32471","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",18,19,11,0,21,12,20,10,10,16,17,10,975,14.3651277636735,-1.99128366227327,0.417301774109291,-4.77180732462391,1.82580123756369e-06,0.000877091561239951,"CvsHigh"
"441","plut2.m8.32950","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",12,29,5,9,14,42,28,12,13,8,6,9,2662,16.4144826347689,-2.10584812744719,0.491329561507695,-4.28601959341747,1.81902951341856e-05,0.00527346952333513,"CvsHigh"
"448","plut2.m8.33084","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",35,47,31,12,26,49,34,32,11,36,12,18,2220,30.8083682296178,-1.94782430971811,0.39168247401825,-4.9729677453665,6.59356348821057e-07,0.000414934870749965,"CvsHigh"
"482","plut2.m8.3544","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",1035,520,242,142,627,644,566,527,690,409,323,206,2073,452.577180691017,-1.01299971520641,0.20722973035836,-4.88829336145274,1.01713884273473e-06,0.000558154939950682,"CvsHigh"
"534","plut2.m8.7302","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",393,83,77,146,218,33,101,393,241,51,112,55,9788,128.912059004489,1.14568684515192,0.288747977991788,3.96777443471659,7.25469488019076e-05,0.0154817203936293,"CvsHigh"
"543","plut2.m8.8613","GO:0005524",0.0184355808572816,0.991451998360036,15,833,"ATP binding","MF",71,22,17,8,101,13,16,44,49,18,72,14,3486,33.1178269788825,-1.45219036134829,0.402946979468069,-3.60392417698558,0.000313448532394654,0.0454352518890929,"CvsMid"
"135","plut2.m8.16218","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",178,29,14,40,41,30,32,111,101,32,22,10,1739,39.9645233316273,1.0486238837883,0.251568940469459,4.16833605067238,3.06831339317454e-05,0.0068325558385691,"CvsMid"
"141","plut2.m8.1654","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",204,42,12,28,25,29,29,84,79,36,16,11,963,36.4791067704145,1.23771389576292,0.310038530716567,3.9921292779394,6.54826553880596e-05,0.0130667662342537,"CvsMid"
"215","plut2.m8.21703","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid"
"216","plut2.m8.21703","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,2.38346160656204,0.548585068614652,4.34474385637403,1.39438269359726e-05,0.0226256021819826,"MidvsHigh"
"355","plut2.m8.25928","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",429,87,71,159,66,30,70,341,244,43,53,22,4074,102.382754484371,1.24586415864237,0.326739964396726,3.81301430617054,0.000137282162801876,0.0237004542859644,"CvsMid"
"356","plut2.m8.25928","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",429,87,71,159,66,30,70,341,244,43,53,22,4074,102.382754484371,1.38475341873519,0.324741015355724,4.26417777014806,2.00639660666162e-05,0.00560514252024652,"CvsHigh"
"420","plut2.m8.32388","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",149,24,8,49,22,22,26,111,98,13,18,10,873,33.6459095547313,1.23335001012765,0.267475120716511,4.61108310493986,4.00576343867334e-06,0.00156452870221162,"CvsHigh"
"421","plut2.m8.32388","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",149,24,8,49,22,22,26,111,98,13,18,10,873,33.6459095547313,1.58303492382942,0.290423261191668,5.45078557872359,5.01478040230815e-08,3.35009134267238e-05,"CvsMid"
"430","plut2.m8.32471","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",18,19,11,0,21,12,20,10,10,16,17,10,975,14.3651277636735,-2.01504423418898,0.424516825401981,-4.74667695981403,2.06785813546208e-06,0.000836122111878284,"CvsMid"
"431","plut2.m8.32471","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",18,19,11,0,21,12,20,10,10,16,17,10,975,14.3651277636735,-1.99128366227327,0.417301774109291,-4.77180732462391,1.82580123756369e-06,0.000877091561239951,"CvsHigh"
"436","plut2.m8.32950","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",12,29,5,9,14,42,28,12,13,8,6,9,2662,16.4144826347689,-2.10584812744719,0.491329561507695,-4.28601959341747,1.81902951341856e-05,0.00527346952333513,"CvsHigh"
"479","plut2.m8.3544","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",1035,520,242,142,627,644,566,527,690,409,323,206,2073,452.577180691017,-1.01299971520641,0.20722973035836,-4.88829336145274,1.01713884273473e-06,0.000558154939950682,"CvsHigh"
"535","plut2.m8.7302","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",393,83,77,146,218,33,101,393,241,51,112,55,9788,128.912059004489,1.14568684515192,0.288747977991788,3.96777443471659,7.25469488019076e-05,0.0154817203936293,"CvsHigh"
"551","plut2.m8.8613","GO:0004672",0.0110176326401252,0.996109817578153,10,439,"protein kinase activity","MF",71,22,17,8,101,13,16,44,49,18,72,14,3486,33.1178269788825,-1.45219036134829,0.402946979468069,-3.60392417698558,0.000313448532394654,0.0454352518890929,"CvsMid"
"50","jamg1.model.xfSc0000800.1","GO:0003674",0.0219096764805773,0.993808785455177,6,219,"molecular_function","MF",29,17,15,8,48,11,13,17,10,10,29,7,1683,17.4847418477261,-1.82191247465994,0.381195160214464,-4.77947430821241,1.75754128314918e-06,0.000741426299824509,"CvsMid"
"139","plut2.m8.1654","GO:0004713",0.00238701738761054,0.999579722527025,6,145,"protein tyrosine kinase activity","MF",204,42,12,28,25,29,29,84,79,36,16,11,963,36.4791067704145,1.23771389576292,0.310038530716567,3.9921292779394,6.54826553880596e-05,0.0130667662342537,"CvsMid"
"142","plut2.m8.16587","GO:0003674",0.0219096764805773,0.993808785455177,6,219,"molecular_function","MF",39,22,26,15,70,21,20,39,40,15,43,13,2895,29.1260183750416,-1.33848037141049,0.304025394439257,-4.40252819630142,1.06996679049346e-05,0.00288421749753193,"CvsMid"
"237","plut2.m8.21703","GO:0004713",0.00238701738761054,0.999579722527025,6,145,"protein tyrosine kinase activity","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid"
"238","plut2.m8.21703","GO:0004713",0.00238701738761054,0.999579722527025,6,145,"protein tyrosine kinase activity","MF",44,7,22,12,159,15,10,66,22,17,87,9,2799,36.0511995741304,2.38346160656204,0.548585068614652,4.34474385637403,1.39438269359726e-05,0.0226256021819826,"MidvsHigh"
"322","plut2.m8.24267","GO:0003674",0.0219096764805773,0.993808785455177,6,219,"molecular_function","MF",62,45,10,5,16,90,51,16,27,14,12,12,693,28.8282839354462,-2.07643776235859,0.474395411780366,-4.37701906636469,1.20313453424288e-05,0.00410498071143245,"CvsHigh"
"395","plut2.m8.31557","GO:0003674",0.0219096764805773,0.993808785455177,6,219,"molecular_function","MF",76,36,24,17,48,70,51,30,42,29,39,23,2408,39.9825912563035,-1.26696945385815,0.303784998173597,-4.17061231290342,3.03782290113337e-05,0.00791121167388376,"CvsHigh"
"412","plut2.m8.32388","GO:0004713",0.00238701738761054,0.999579722527025,6,145,"protein tyrosine kinase activity","MF",149,24,8,49,22,22,26,111,98,13,18,10,873,33.6459095547313,1.23335001012765,0.267475120716511,4.61108310493986,4.00576343867334e-06,0.00156452870221162,"CvsHigh"
