"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"1","jamg1.model.Sc0000051.45","GO:0051225",0.0112044403097432,0.999490556819236,2,13,"spindle assembly","BP",604,130,81,141,152,157,182,484,422,98,126,71,402,175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid"
"2","jamg1.model.Sc0000051.45","GO:0007052",0.0282611581905789,0.997783943845024,2,23,"mitotic spindle organization","BP",604,130,81,141,152,157,182,484,422,98,126,71,402,175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid"
"3","jamg1.model.Sc0000051.45","GO:0018105",0.0201228294304294,0.997343127477354,3,58,"peptidyl-serine phosphorylation","BP",604,130,81,141,152,157,182,484,422,98,126,71,402,175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid"
"4","jamg1.model.Sc0000051.45","GO:1904743",0.0394708486529668,0.999474786553221,1,3,"negative regulation of telomeric DNA binding","BP",604,130,81,141,152,157,182,484,422,98,126,71,402,175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid"
"5","jamg1.model.Sc0000051.45","GO:0045944",0.044572701166897,0.983625155341021,7,327,"positive regulation of transcription by RNA polymerase II","BP",604,130,81,141,152,157,182,484,422,98,126,71,402,175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid"
"12","jamg1.model.Sc0000117.30","GO:0051225",0.0112044403097432,0.999490556819236,2,13,"spindle assembly","BP",261,115,143,68,275,170,150,274,145,148,209,73,5229,163.952961798919,-1.14676345791526,0.229758104561435,-4.99117739547956,6.00123490444789e-07,0.000271202865608358,"CvsMid"
"14","jamg1.model.Sc0000225.27","GO:0009949",0.0219919887220597,0.999878538202299,1,2,"polarity specification of anterior/posterior axis","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"15","jamg1.model.Sc0000225.27","GO:0044335",0.0419118972663396,0.999333838263505,1,4,"canonical Wnt signaling pathway involved in neural crest cell differentiation","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"16","jamg1.model.Sc0000225.27","GO:0035282",0.0382621480969235,0.9994456814193,1,4,"segmentation","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"17","jamg1.model.Sc0000225.27","GO:2000044",0.0149649766701725,1,1,1,"negative regulation of cardiac cell fate specification","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"18","jamg1.model.Sc0000225.27","GO:0048561",0.0149649766701725,1,1,1,"establishment of animal organ orientation","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"19","jamg1.model.Sc0000225.27","GO:0040011",0.012369884030407,0.998648080086243,3,47,"locomotion","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"20","jamg1.model.Sc0000225.27","GO:0045944",0.044572701166897,0.983625155341021,7,327,"positive regulation of transcription by RNA polymerase II","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"21","jamg1.model.Sc0000225.27","GO:0001654",0.00162306739677301,0.999918284982943,3,23,"eye development","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"22","jamg1.model.Sc0000225.27","GO:0060061",0.0387218701323366,0.999432168499405,1,4,"Spemann organizer formation","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"23","jamg1.model.Sc0000225.27","GO:0060788",0.0383520505165248,0.999443051868653,1,4,"ectodermal placode formation","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"24","jamg1.model.Sc0000225.27","GO:0010085",0.0239705542091933,0.99985555353802,1,2,"polarity specification of proximal/distal axis","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"26","jamg1.model.Sc0000225.27","GO:0000578",0.0378414596090179,0.999457902080653,1,4,"embryonic axis specification","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"28","jamg1.model.Sc0000225.27","GO:0061317",0.0149649766701725,1,1,1,"canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
"29","jamg1.model.Sc0000225.27","GO:0062009",0.0297553932714629,0.999702848368925,1,3,"secondary palate development","BP",1339,519,227,118,635,731,740,697,519,577,431,289,870,524.436054423632,-1.22989651112396,0.261498905550597,-4.7032568206523,2.56044016057112e-06,0.00106327467749122,"CvsHigh"
