Module	Section	Sample Name	Source
FastQC	all_sections	43_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/43_2_fastqc.zip
FastQC	all_sections	12_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/12_1_fastqc.zip
FastQC	all_sections	38_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/38_2_fastqc.zip
FastQC	all_sections	29_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/29_1_fastqc.zip
FastQC	all_sections	39_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/39_2_fastqc.zip
FastQC	all_sections	6_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/6_1_fastqc.zip
FastQC	all_sections	5_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/5_2_fastqc.zip
FastQC	all_sections	13_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/13_1_fastqc.zip
FastQC	all_sections	28_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/28_2_fastqc.zip
FastQC	all_sections	13_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/13_2_fastqc.zip
FastQC	all_sections	26_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/26_2_fastqc.zip
FastQC	all_sections	31_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/31_2_fastqc.zip
FastQC	all_sections	10_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/10_2_fastqc.zip
FastQC	all_sections	1_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/1_2_fastqc.zip
FastQC	all_sections	46_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/46_1_fastqc.zip
FastQC	all_sections	8_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/8_1_fastqc.zip
FastQC	all_sections	45_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/45_1_fastqc.zip
FastQC	all_sections	45_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/45_2_fastqc.zip
FastQC	all_sections	32_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/32_1_fastqc.zip
FastQC	all_sections	7_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/7_1_fastqc.zip
FastQC	all_sections	11_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/11_2_fastqc.zip
FastQC	all_sections	11_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/11_1_fastqc.zip
FastQC	all_sections	3_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/3_1_fastqc.zip
FastQC	all_sections	3_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/3_2_fastqc.zip
FastQC	all_sections	6_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/6_2_fastqc.zip
FastQC	all_sections	16_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/16_2_fastqc.zip
FastQC	all_sections	35_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/35_2_fastqc.zip
FastQC	all_sections	2_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/2_2_fastqc.zip
FastQC	all_sections	17_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/17_1_fastqc.zip
FastQC	all_sections	9_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/9_2_fastqc.zip
FastQC	all_sections	9_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/9_1_fastqc.zip
FastQC	all_sections	18_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/18_1_fastqc.zip
FastQC	all_sections	15_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/15_2_fastqc.zip
FastQC	all_sections	5_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/5_1_fastqc.zip
FastQC	all_sections	39_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/39_1_fastqc.zip
FastQC	all_sections	42_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/42_2_fastqc.zip
FastQC	all_sections	26_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/26_1_fastqc.zip
FastQC	all_sections	4_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/4_1_fastqc.zip
FastQC	all_sections	34_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/34_1_fastqc.zip
FastQC	all_sections	36_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/36_2_fastqc.zip
FastQC	all_sections	27_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/27_1_fastqc.zip
FastQC	all_sections	21_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/21_1_fastqc.zip
FastQC	all_sections	47_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/47_2_fastqc.zip
FastQC	all_sections	14_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/14_2_fastqc.zip
FastQC	all_sections	37_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/37_2_fastqc.zip
FastQC	all_sections	37_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/37_1_fastqc.zip
FastQC	all_sections	14_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/14_1_fastqc.zip
FastQC	all_sections	4_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/4_2_fastqc.zip
FastQC	all_sections	44_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/44_1_fastqc.zip
FastQC	all_sections	25_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/25_2_fastqc.zip
FastQC	all_sections	19_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/19_2_fastqc.zip
FastQC	all_sections	33_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/33_1_fastqc.zip
FastQC	all_sections	25_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/25_1_fastqc.zip
FastQC	all_sections	30_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/30_1_fastqc.zip
FastQC	all_sections	24_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/24_1_fastqc.zip
FastQC	all_sections	23_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/23_1_fastqc.zip
FastQC	all_sections	32_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/32_2_fastqc.zip
FastQC	all_sections	40_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/raw/40_2_fastqc.zip
